Query ID,Best ID,Search DB,Top %,Low %
ASV_1,Heteropoda venatoria,COI SPECIES DATABASE,100,90.8
ASV_2,Phisis holdhausi,COI SPECIES DATABASE,100,85.37
ASV_3,Neoscona theisi,COI SPECIES DATABASE,99.63,97.09
ASV_4,No match,COI SPECIES DATABASE,,
ASV_5,Pantala flavescens,COI SPECIES DATABASE,100,99.35
ASV_6,Scytodes longipes,COI SPECIES DATABASE,98.71,85.11
ASV_7,No match,COI SPECIES DATABASE,,
ASV_8,Smeringopus pallidus,COI SPECIES DATABASE,100,81.23
ASV_9,Neoscona theisi,COI SPECIES DATABASE,99.68,97.41
ASV_10,No match,COI SPECIES DATABASE,,
ASV_11,No match,COI SPECIES DATABASE,,
ASV_12,No match,COI SPECIES DATABASE,,
ASV_13,Smeringopus pallidus,COI SPECIES DATABASE,100,81.7
ASV_14,Theridion melanostictum,COI SPECIES DATABASE,100,90.94
ASV_15,No match,COI SPECIES DATABASE,,
ASV_16,Wolbachia sp. Tetraponera manangotra,COI SPECIES DATABASE,99.68,98.41
ASV_17,No match,COI SPECIES DATABASE,,
ASV_18,No match,COI SPECIES DATABASE,,
ASV_19,Pantala flavescens,COI SPECIES DATABASE,100,99.03
ASV_20,No match,COI SPECIES DATABASE,,
ASV_21,Neoscona theisi,COI SPECIES DATABASE,100,97.73
ASV_22,Phisis holdhausi,COI SPECIES DATABASE,99.35,85.76
ASV_23,Platnickina mneon,COI SPECIES DATABASE,100,89.96
ASV_24,Pantala flavescens,COI SPECIES DATABASE,100,98.71
ASV_25,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.41
ASV_26,Scholastes lonchifer,COI SPECIES DATABASE,100,88.19
ASV_27,No match,COI SPECIES DATABASE,,
ASV_28,No match,COI SPECIES DATABASE,,
ASV_29,Neoscona theisi,COI SPECIES DATABASE,99.27,96.76
ASV_30,No match,COI SPECIES DATABASE,,
ASV_31,No match,COI SPECIES DATABASE,,
ASV_32,No match,COI SPECIES DATABASE,,
ASV_33,No match,COI SPECIES DATABASE,,
ASV_34,No match,COI SPECIES DATABASE,,
ASV_35,No match,COI SPECIES DATABASE,,
ASV_36,2012,COI SPECIES DATABASE,99.68,89.97
ASV_37,Phisis holdhausi,COI SPECIES DATABASE,99.03,85.44
ASV_38,No match,COI SPECIES DATABASE,,
ASV_39,Conoderus pallipes,COI SPECIES DATABASE,100,86.18
ASV_40,Scytodes longipes,COI SPECIES DATABASE,98.38,84.79
ASV_41,Heteropoda venatoria,COI SPECIES DATABASE,97.75,90.48
ASV_42,No match,COI SPECIES DATABASE,,
ASV_43,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.48
ASV_44,Phisis holdhausi,COI SPECIES DATABASE,98.71,86.08
ASV_45,No match,COI SPECIES DATABASE,,
ASV_46,No match,COI SPECIES DATABASE,,
ASV_47,No match,COI SPECIES DATABASE,,
ASV_48,Mus musculus,COI SPECIES DATABASE,100,99.35
ASV_49,Anisolabis maritima,COI SPECIES DATABASE,100,88.03
ASV_50,No match,COI SPECIES DATABASE,,
ASV_51,No match,COI SPECIES DATABASE,,
ASV_52,Nylanderia bourbonica,COI SPECIES DATABASE,100,94.82
ASV_53,Phisis holdhausi,COI SPECIES DATABASE,99.03,86.05
ASV_54,Phisis holdhausi,COI SPECIES DATABASE,100,85.37
ASV_55,Phisis holdhausi,COI SPECIES DATABASE,99.03,85.76
ASV_56,Heteropoda venatoria,COI SPECIES DATABASE,97.09,90.04
ASV_57,No match,COI SPECIES DATABASE,,
ASV_58,Metcalfa pruinosa,COI SPECIES DATABASE,98.69,70.96
ASV_59,No match,COI SPECIES DATABASE,,
ASV_60,Heteropoda venatoria,COI SPECIES DATABASE,100,90.53
ASV_61,Wolbachia endosymbiont of Formicidae,COI SPECIES DATABASE,98.11,96.17
ASV_62,No match,COI SPECIES DATABASE,,
ASV_63,No match,COI SPECIES DATABASE,,
ASV_64,2012,COI SPECIES DATABASE,100,90.29
ASV_65,No match,COI SPECIES DATABASE,,
ASV_66,No match,COI SPECIES DATABASE,,
ASV_67,No match,COI SPECIES DATABASE,,
ASV_68,No match,COI SPECIES DATABASE,,
ASV_69,No match,COI SPECIES DATABASE,,
ASV_70,No match,COI SPECIES DATABASE,,
ASV_71,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.41
ASV_72,Heteropoda venatoria,COI SPECIES DATABASE,99.35,90.29
ASV_73,No match,COI SPECIES DATABASE,,
ASV_74,No match,COI SPECIES DATABASE,,
ASV_75,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.53
ASV_76,No match,COI SPECIES DATABASE,,
ASV_77,No match,COI SPECIES DATABASE,,
ASV_78,Neoscona theisi,COI SPECIES DATABASE,99.27,96.76
ASV_79,No match,COI SPECIES DATABASE,,
ASV_80,Pycnoscelus surinamensis,COI SPECIES DATABASE,100,83.17
ASV_81,No match,COI SPECIES DATABASE,,
ASV_82,No match,COI SPECIES DATABASE,,
ASV_83,Agonoxena argaula,COI SPECIES DATABASE,100,89.32
ASV_84,Wolbachia endosymbiont,COI SPECIES DATABASE,97.12,88.33
ASV_85,Heteropoda venatoria,COI SPECIES DATABASE,100,90.8
ASV_86,Scytodes longipes,COI SPECIES DATABASE,98.38,84.79
ASV_87,Ornebius novarae,COI SPECIES DATABASE,99.68,84.14
ASV_88,No match,COI SPECIES DATABASE,,
ASV_89,No match,COI SPECIES DATABASE,,
ASV_90,No match,COI SPECIES DATABASE,,
ASV_91,Periplaneta australasiae,COI SPECIES DATABASE,100,91.26
ASV_92,No match,COI SPECIES DATABASE,,
ASV_93,Scytodes longipes,COI SPECIES DATABASE,97.73,85.11
ASV_94,Hasarius adansoni,COI SPECIES DATABASE,100,89.32
ASV_95,Smeringopus pallidus,COI SPECIES DATABASE,100,81.23
ASV_96,No match,COI SPECIES DATABASE,,
ASV_97,No match,COI SPECIES DATABASE,,
ASV_98,Mus musculus,COI SPECIES DATABASE,99.64,99.03
ASV_99,No match,COI SPECIES DATABASE,,
ASV_100,IsotomidaeGEN sp. DPCOL102537,COI SPECIES DATABASE,98.75,81.52
