Query ID,Best ID,Search DB,Top %,Low %
Zotu401,No match,COI FULL DATABASE (includes records without species designation),,
Zotu402,No match,COI FULL DATABASE (includes records without species designation),,
Zotu403,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
Zotu404,Lamprolonchaea metatarsata,COI FULL DATABASE (includes records without species designation),100,95.1
Zotu405,No match,COI FULL DATABASE (includes records without species designation),,
Zotu406,No match,COI FULL DATABASE (includes records without species designation),,
Zotu407,No match,COI FULL DATABASE (includes records without species designation),,
Zotu408,No match,COI FULL DATABASE (includes records without species designation),,
Zotu409,No match,COI FULL DATABASE (includes records without species designation),,
Zotu410,No match,COI FULL DATABASE (includes records without species designation),,
Zotu411,No match,COI FULL DATABASE (includes records without species designation),,
Zotu412,No match,COI FULL DATABASE (includes records without species designation),,
Zotu413,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
Zotu414,Diptera,COI FULL DATABASE (includes records without species designation),100,90.3
Zotu415,No match,COI FULL DATABASE (includes records without species designation),,
Zotu416,No match,COI FULL DATABASE (includes records without species designation),,
Zotu417,No match,COI FULL DATABASE (includes records without species designation),,
Zotu418,No match,COI FULL DATABASE (includes records without species designation),,
Zotu419,Wolbachia endosymbiont of Formicidae,COI FULL DATABASE (includes records without species designation),100,97.71
Zotu420,No match,COI FULL DATABASE (includes records without species designation),,
Zotu421,No match,COI FULL DATABASE (includes records without species designation),,
Zotu422,No match,COI FULL DATABASE (includes records without species designation),,
Zotu423,No match,COI FULL DATABASE (includes records without species designation),,
Zotu424,No match,COI FULL DATABASE (includes records without species designation),,
Zotu425,No match,COI FULL DATABASE (includes records without species designation),,
Zotu426,No match,COI FULL DATABASE (includes records without species designation),,
Zotu427,No match,COI FULL DATABASE (includes records without species designation),,
Zotu428,No match,COI FULL DATABASE (includes records without species designation),,
Zotu429,Isopoda,COI FULL DATABASE (includes records without species designation),100,80.07
Zotu430,No match,COI FULL DATABASE (includes records without species designation),,
Zotu431,No match,COI FULL DATABASE (includes records without species designation),,
Zotu432,No match,COI FULL DATABASE (includes records without species designation),,
Zotu433,No match,COI FULL DATABASE (includes records without species designation),,
Zotu434,No match,COI FULL DATABASE (includes records without species designation),,
Zotu435,No match,COI FULL DATABASE (includes records without species designation),,
Zotu436,No match,COI FULL DATABASE (includes records without species designation),,
Zotu437,Ectopsocus sp.,COI FULL DATABASE (includes records without species designation),100,84.95
Zotu438,No match,COI FULL DATABASE (includes records without species designation),,
Zotu439,No match,COI FULL DATABASE (includes records without species designation),,
Zotu440,No match,COI FULL DATABASE (includes records without species designation),,
Zotu441,No match,COI FULL DATABASE (includes records without species designation),,
Zotu442,No match,COI FULL DATABASE (includes records without species designation),,
Zotu443,Psocodea,COI FULL DATABASE (includes records without species designation),100,84.79
Zotu444,No match,COI FULL DATABASE (includes records without species designation),,
Zotu445,No match,COI FULL DATABASE (includes records without species designation),,
Zotu446,No match,COI FULL DATABASE (includes records without species designation),,
Zotu447,No match,COI FULL DATABASE (includes records without species designation),,
Zotu448,No match,COI FULL DATABASE (includes records without species designation),,
Zotu449,No match,COI FULL DATABASE (includes records without species designation),,
Zotu450,No match,COI FULL DATABASE (includes records without species designation),,
Zotu451,No match,COI FULL DATABASE (includes records without species designation),,
Zotu452,No match,COI FULL DATABASE (includes records without species designation),,
Zotu453,No match,COI FULL DATABASE (includes records without species designation),,
Zotu454,No match,COI FULL DATABASE (includes records without species designation),,
Zotu455,No match,COI FULL DATABASE (includes records without species designation),,
Zotu456,Mus musculus,COI FULL DATABASE (includes records without species designation),99.45,98.06
Zotu457,No match,COI FULL DATABASE (includes records without species designation),,
Zotu458,No match,COI FULL DATABASE (includes records without species designation),,
Zotu459,No match,COI FULL DATABASE (includes records without species designation),,
Zotu460,No match,COI FULL DATABASE (includes records without species designation),,
Zotu461,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.11
Zotu462,No match,COI FULL DATABASE (includes records without species designation),,
Zotu463,No match,COI FULL DATABASE (includes records without species designation),,
Zotu464,No match,COI FULL DATABASE (includes records without species designation),,
Zotu465,No match,COI FULL DATABASE (includes records without species designation),,
Zotu466,No match,COI FULL DATABASE (includes records without species designation),,
Zotu467,No match,COI FULL DATABASE (includes records without species designation),,
Zotu468,No match,COI FULL DATABASE (includes records without species designation),,
Zotu469,No match,COI FULL DATABASE (includes records without species designation),,
Zotu470,No match,COI FULL DATABASE (includes records without species designation),,
Zotu471,No match,COI FULL DATABASE (includes records without species designation),,
Zotu472,No match,COI FULL DATABASE (includes records without species designation),,
Zotu473,No match,COI FULL DATABASE (includes records without species designation),,
Zotu474,Piletocera signiferalis,COI FULL DATABASE (includes records without species designation),100,92.88
Zotu475,No match,COI FULL DATABASE (includes records without species designation),,
Zotu476,No match,COI FULL DATABASE (includes records without species designation),,
Zotu477,No match,COI FULL DATABASE (includes records without species designation),,
Zotu478,No match,COI FULL DATABASE (includes records without species designation),,
Zotu479,No match,COI FULL DATABASE (includes records without species designation),,
Zotu480,No match,COI FULL DATABASE (includes records without species designation),,
Zotu481,No match,COI FULL DATABASE (includes records without species designation),,
Zotu482,No match,COI FULL DATABASE (includes records without species designation),,
Zotu483,No match,COI FULL DATABASE (includes records without species designation),,
Zotu484,No match,COI FULL DATABASE (includes records without species designation),,
Zotu485,No match,COI FULL DATABASE (includes records without species designation),,
Zotu486,No match,COI FULL DATABASE (includes records without species designation),,
Zotu487,No match,COI FULL DATABASE (includes records without species designation),,
Zotu488,No match,COI FULL DATABASE (includes records without species designation),,
Zotu489,No match,COI FULL DATABASE (includes records without species designation),,
Zotu490,No match,COI FULL DATABASE (includes records without species designation),,
Zotu491,No match,COI FULL DATABASE (includes records without species designation),,
Zotu492,No match,COI FULL DATABASE (includes records without species designation),,
Zotu493,No match,COI FULL DATABASE (includes records without species designation),,
Zotu494,Psocodea,COI FULL DATABASE (includes records without species designation),100,100
Zotu495,No match,COI FULL DATABASE (includes records without species designation),,
Zotu496,No match,COI FULL DATABASE (includes records without species designation),,
Zotu497,No match,COI FULL DATABASE (includes records without species designation),,
Zotu498,No match,COI FULL DATABASE (includes records without species designation),,
Zotu499,No match,COI FULL DATABASE (includes records without species designation),,
Zotu500,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,86.08
