"","Class","Order","Family"
"1","Arachnida","Araneae","Araneidae"
"2","Arachnida","Araneae","Oxyopidae"
"3","Arachnida","Araneae","Pholcidae"
"4","Arachnida","Araneae","Salticidae"
"5","Arachnida","Araneae","Theridiidae"
"6","Arachnida","Sarcoptiformes","Acaridae"
"7","Arachnida","Sarcoptiformes","Pyroglyphidae"
"8","Arachnida","Sarcoptiformes","Suidasiidae"
"9","Chilopoda","Geophilomorpha","Mecistocephalidae"
"10","Collembola","Entomobryomorpha","Entomobryidae"
"11","Collembola","Entomobryomorpha","Isotomidae"
"12","Collembola","Symphypleona","Bourletiellidae"
"13","Collembola","Symphypleona","Sminthuridae"
"14","Insecta","Blattodea","Blaberidae"
"15","Insecta","Blattodea","Blattidae"
"16","Insecta","Blattodea","Ectobiidae"
"17","Insecta","Coleoptera","Coccinellidae"
"18","Insecta","Coleoptera","Curculionidae"
"19","Insecta","Coleoptera","Elateridae"
"20","Insecta","Coleoptera","Hydrophilidae"
"21","Insecta","Coleoptera","Staphylinidae"
"22","Insecta","Dermaptera","Anisolabididae"
"23","Insecta","Diptera","Agromyzidae"
"24","Insecta","Diptera","Calliphoridae"
"25","Insecta","Diptera","Cecidomyiidae"
"26","Insecta","Diptera","Ceratopogonidae"
"27","Insecta","Diptera","Chloropidae"
"28","Insecta","Diptera","Culicidae"
"29","Insecta","Diptera","Dolichopodidae"
"30","Insecta","Diptera","Limoniidae"
"31","Insecta","Diptera","Lonchaeidae"
"32","Insecta","Diptera","Phoridae"
"33","Insecta","Diptera","Platystomatidae"
"34","Insecta","Diptera","Psychodidae"
"35","Insecta","Diptera","Sciaridae"
"36","Insecta","Diptera","Stratiomyidae"
"37","Insecta","Hemiptera","Aleyrodidae"
"38","Insecta","Hemiptera","Coccidae"
"39","Insecta","Hemiptera","Pseudococcidae"
"40","Insecta","Hymenoptera","Eulophidae"
"41","Insecta","Hymenoptera","Evaniidae"
"42","Insecta","Hymenoptera","Formicidae"
"43","Insecta","Lepidoptera","Agonoxenidae"
"44","Insecta","Lepidoptera","Crambidae"
"45","Insecta","Lepidoptera","Erebidae"
"46","Insecta","Lepidoptera","Tineidae"
"47","Insecta","Odonata","Libellulidae"
"48","Insecta","Orthoptera","Acrididae"
"49","Insecta","Orthoptera","Mogoplistidae"
"50","Insecta","Orthoptera","Tettigoniidae"
"51","Insecta","Psocoptera","Ectopsocidae"
"52","Insecta","Psocoptera","Lepidopsocidae"
"53","Insecta","Psocoptera","Liposcelididae"
"54","Insecta","Psocoptera","Myopsocidae"
"55","Insecta","Thysanoptera","Thripidae"
"56","Malacostraca","Isopoda","Philosciidae"
