,mass,Web,Poison,herbivore,carnivore,fungivore,detritivore,above,below,Genus,Family,Order,Class,Phylum,Kingdom,sp,RS1,RS2
666,0.010170915,0,0,1,0,1,1,1,1,Allacma,Sminthuridae,Symphypleona,Collembola,Arthropoda,Animalia,Allacma fusca,-0.0814430471911997,0.134646365417049
667,0.005103613,0,0,1,0,1,1,0,1,Arrhopalites,Arrhopalitidae,Symphypleona,Collembola,Arthropoda,Animalia,Arrhopalites pygmaeus,-0.0814430471911998,0.134646365417049
668,0.00595572,0,0,1,0,1,1,0,1,Ceratophysella,Hypogastruridae,Poduromorpha,Collembola,Arthropoda,Animalia,Ceratophysella armata,-0.0923992411493162,0.155716733174554
669,0.00595572,0,0,1,0,1,1,1,1,Ceratophysella,Hypogastruridae,Poduromorpha,Collembola,Arthropoda,Animalia,Ceratophysella denticulata,-0.0923992411493162,0.155716733174554
670,0.00595572,0,0,1,0,1,1,1,1,Ceratophysella,Hypogastruridae,Poduromorpha,Collembola,Arthropoda,Animalia,Ceratophysella gibbosa,-0.0923992411493163,0.155716733174554
671,0.00595572,0,0,1,0,1,1,0,1,Cryptopygus,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Cryptopygus garretti,-0.0932124041948197,0.157354600527054
672,0.008339618,0,0,1,0,1,1,1,1,Desoria,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Desoria violacea,-0.0932124041948199,0.157354600527054
673,0.00845225,0,0,1,0,1,1,0,1,Deuteraphorura,Onychiuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Deuteraphorura inermis,-0.0918454231337705,0.154657607764644
674,0.005103613,0,0,1,0,1,1,1,0,Deuterosminthurus,Bourletiellidae,Symphypleona,Collembola,Arthropoda,Animalia,Deuterosminthurus sp.,-0.0816387761796764,0.135013689921657
675,0.005103613,0,0,1,0,1,1,1,0,Deuterosminthurus,Bourletiellidae,Symphypleona,Collembola,Arthropoda,Animalia,Deuterosminthurus pallipes,-0.0816387761796764,0.135013689921657
676,0.006754651,0,0,1,0,1,1,1,1,Entomobrya,Entomobryidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Entomobrya marginata/lanuginosa,-0.0936615111928119,0.158215497362387
677,0.005410991,0,0,1,0,1,1,0,1,Folsomia,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Folsomia fimetaria,-0.0943433451756155,0.159524651340436
678,0.005410991,0,0,1,0,1,1,0,1,Folsomia,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Folsomia litsteri,-0.0943433451756156,0.159524651340436
679,0.005410991,0,0,1,0,1,1,0,1,Folsomia,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Folsomia quadrioculata,-0.0943433451756154,0.159524651340436
680,0.005410991,0,0,1,0,1,1,0,1,Folsomia,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Folsomia spinosa,-0.0943433451756156,0.159524651340436
681,0.006355782,0,0,1,0,1,1,1,1,Friesea,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Friesea mirabilis,-0.0921769144004355,0.155291347022658
682,0.002697626,0,0,1,0,1,1,0,1,Friesea,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Friesea truncata,-0.0921769144004355,0.155291347022658
683,0.005103613,0,0,1,0,1,1,1,0,Gisianus,Katiannidae,Symphypleona,Collembola,Arthropoda,Animalia,Gisianus flammeolus,-0.0814430471911997,0.134646365417049
684,0.009910329,0,0,1,0,1,1,1,1,Hypogastrura,Hypogastruridae,Poduromorpha,Collembola,Arthropoda,Animalia,Hypogastrura burkilli,-0.0919556549879077,0.154868278674301
685,0.00845225,0,0,1,0,1,1,1,0,Hypogastrura,Hypogastruridae,Poduromorpha,Collembola,Arthropoda,Animalia,Hypogastrura purpurescens,-0.0919556549879078,0.154868278674301
686,0.003268488,0,0,1,0,1,1,1,1,Isotomidae,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Isotomidae,-0.0932124041948194,0.157354600527055
687,0.003268488,0,0,1,0,1,1,0,1,Isotomiella,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Isotomiella minor,-0.0932124041948195,0.157354600527055
688,0.003268488,0,0,1,0,1,1,1,0,Isotomurus,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Isotomurus palustris,-0.0933242766844038,0.157568945216014
689,0.008992619,0,0,1,0,1,1,1,1,Lepidocyrtus,Entomobryidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Lepidocyrtus cyaneus,-0.0938876914938117,0.158649487985082
690,0.008992619,0,0,1,0,1,1,0,1,Lepidocyrtus,Entomobryidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Lepidocyrtus lanuginosus,-0.0938876914938117,0.158649487985082
691,0.011062002,0,0,1,0,1,1,1,0,Lipothrix,Sminthuridae,Symphypleona,Collembola,Arthropoda,Animalia,Lipothrix (Sphyrotheca) lubbocki,-0.0814430471911997,0.134646365417049
692,0.015176733,0,0,1,0,1,1,1,0,Megalothorax,Neelidae,Neelipleona,Collembola,Arthropoda,Animalia,Megalothorax minimus,-0.0787749713958831,0.129632598719023
693,0.014617906,0,0,1,0,1,1,0,1,Mesaphorura,Tullbergiidae,Poduromorpha,Collembola,Arthropoda,Animalia,Mesaphorura sp.,-0.0925108071912758,0.155930301387281
694,0.014617906,0,0,1,0,1,1,0,1,Metaphorura,Tullbergiidae,Poduromorpha,Collembola,Arthropoda,Animalia,Metaphorura affinis,-0.091845423133771,0.154657607764644
695,0.007888359,0,0,1,0,1,1,0,1,Micranurida,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Micranurida cf. sensillata,-0.0923992411493159,0.155716733174553
696,0.012907841,0,0,1,0,1,1,0,1,Micranurida,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Micranurida granulata,-0.0923992411493158,0.155716733174553
697,0.00503632,0,0,1,0,1,1,0,1,Micranurida,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Micranurida pygmaea,-0.0923992411493159,0.155716733174553
698,0.003875485,0,0,1,0,1,1,0,1,Micraphorura,Onychiuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Micraphorura absoloni,-0.0918454231337712,0.154657607764645
699,0.015176733,0,0,1,0,1,1,1,1,Neelides,Neelidae,Neelipleona,Collembola,Arthropoda,Animalia,Neelides minutus,-0.0787749713958832,0.129632598719023
700,0.01674548,0,0,1,0,1,1,1,1,Oncopodura,Oncopoduridae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Oncopodura crassicornis,-0.0932124041948193,0.157354600527055
701,0.006754651,0,0,1,0,1,1,0,1,Onychiuridae,Onychiuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Onychiuridae,-0.0918454231337712,0.154657607764645
702,0.014558369,0,0,1,0,1,1,1,0,Orchesella,Entomobryidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Orchesella bifasciata,-0.0934364180329016,0.157783874651964
703,0.014617906,0,0,1,0,1,1,0,1,Paratullbergia,Tullbergiidae,Poduromorpha,Collembola,Arthropoda,Animalia,Paratullbergia callipygos,-0.0921769144004358,0.155291347022658
704,0.014617906,0,0,1,0,1,1,0,1,Paratullbergia,Tullbergiidae,Poduromorpha,Collembola,Arthropoda,Animalia,Paratullbergia sp.,-0.0921769144004358,0.155291347022658
705,0.002406192,0,0,1,0,1,1,0,1,Parisotoma,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Parisotoma notabilis,-0.0933242766844039,0.157568945216014
706,0.01674548,0,0,1,0,1,1,0,1,Proisotoma,Isotomidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Proisotoma minima,-0.0934364180329018,0.157783874651964
707,0.00873352,0,0,1,0,1,1,0,1,Protaphorura,Onychiuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Protaphorura armata,-0.0923992411493155,0.155716733174553
708,0.00873352,0,0,1,0,1,1,0,1,Protaphorura,Onychiuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Protaphorura aurantiaca,-0.0923992411493155,0.155716733174553
709,0.010691146,0,0,1,0,1,1,1,1,Pseudachorutes,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Pseudachorutes cf. dubius,-0.0920661517580809,0.155079524308624
710,0.00595572,0,0,1,0,1,1,1,1,Pseudachorutes,Neanuridae,Poduromorpha,Collembola,Arthropoda,Animalia,Pseudachorutes subcrassus,-0.0920661517580808,0.155079524308624
711,0.011247207,0,0,1,0,1,1,1,1,Pseudosinella,Entomobryidae,Entomobryomorpha,Collembola,Arthropoda,Animalia,Pseudosinella immaculata,-0.093436418032902,0.157783874651964
712,0.005103613,0,0,1,0,1,1,1,0,Sminthurides,Sminthuridae,Symphypleona,Collembola,Arthropoda,Animalia,Sminthurides sp.,-0.0814430471911997,0.134646365417049
713,0.005103613,0,0,1,0,1,1,1,0,Sminthurinus,Katiannidae,Symphypleona,Collembola,Arthropoda,Animalia,Sminthurinus aureus,-0.0816387761796763,0.135013689921657
714,0.005103613,0,0,1,0,1,1,1,0,Sminthurinus,Katiannidae,Symphypleona,Collembola,Arthropoda,Animalia,Sminthurinus sp. juv,-0.0816387761796763,0.135013689921657
715,0.005103613,0,0,1,0,1,1,1,0,Sminthurus,Sminthuridae,Symphypleona,Collembola,Arthropoda,Animalia,Sminthurus viridis,-0.0815407942295618,0.134829777489006
716,0.004747429,0,0,1,0,1,1,0,1,Stenaphorura,Tullbergiidae,Poduromorpha,Collembola,Arthropoda,Animalia,Stenaphorura denisi,-0.0919556549879076,0.1548682786743
