web.id,observation,site,observer,spider.species.corr,spider.family,web.type,web.size,prey.class,prey.order,prey.family1,prey_family,prey.corr,prey.code,freq,mean.bs,sd.bs,prey.size,species,csv.bs,,,,,,,,,,,,,,,,,,,,,,
Aran.R22,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,orthoptera,acrididae,Acrididae,Acrididae,1,1,20,NA,72.53834213,NA,20,,,,,,,,,,,,,,,,,,,,,,
Aran.TR36,1,Jatun.Sacha,Mark.Robertson,Eriophora.sp,Araneidae,Orb,530,Insecta,orthoptera,acrididae,Acrididae,Acrididae,1,1,20,NA,72.53834213,NA,20,,,,,,,,,,,,,,,,,,,,,,
NA19,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,hymenoptera,bee,Apidae,Apidae,2,1,7,NA,4.165062489,NA,7,,,,,,,,,,,,,,,,,,,,,,
NA8,2,Jatun.Sacha,Jen.Guevara,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,hymenoptera,bee,Apidae,Apidae,2,1,8,NA,6.311739291,NA,8,,,,,,,,,,,,,,,,,,,,,,
Aran.82,4,Jatun.Sacha,Mark.Robertson,Eriophora.sp,Araneidae,Orb,530,Insecta,hymenoptera,wasp,,Apocrita,3,1,4,NA,0.982022831,NA,4,,,,,,,,,,,,,,,,,,,,,,
Leu1,1,Jatun.Sacha,Mark.Robertson,Leucauge.sp,Tetragnathidae,Orb,667.5884389,Insecta,hymenoptera,wasp,,Apocrita,3,1,10,NA,13.12941692,NA,10,,,,,,,,,,,,,,,,,,,,,,
NA14,5,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,hymenoptera,wasp,,Apocrita,3,1,22,NA,66.67774766,NA,22,,,,,,,,,,,,,,,,,,,,,,
NA15,3,Jatun.Sacha,Jen.Guevara,Cyclosa.sp,Araneidae,Orb,47.90928797,Insecta,hymenoptera,wasp,,Apocrita,3,2,2,0,0.635653586,NA,"2,2",,,,,,,,,,,,,,,,,,,,,,
NA4,1,Jatun.Sacha,Jen.Guevara,Cyclosa.sp,Araneidae,Orb,47.90928797,Insecta,hymenoptera,wasp,,Apocrita,3,1,0.6,NA,0.133400729,NA,0.6,,,,,,,,,,,,,,,,,,,,,,
NA6,3,Jatun.Sacha,Jen.Guevara,Cyclosa.sp,Araneidae,Orb,47.90928797,Insecta,hymenoptera,wasp,,Apocrita,3,3,1.67,0.577350269,0.781570175,NA,"1,2,2",,,,,,,,,,,,,,,,,,,,,,
NA7,3,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,hymenoptera,wasp,,Apocrita,3,1,5,NA,1.64288736,NA,5,,,,,,,,,,,,,,,,,,,,,,
AgeleR13,1,Jatun.Sacha,Mark.Robertson,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,hymenoptera,wasp,,Apocrita,3,1,6.298125,NA,3.050432226,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Anel.exi.1,1,Jatun.Sacha,Mark.Robertson,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hymenoptera,wasp,,Apocrita,3,1,10,NA,13.12941692,NA,10,,,,,,,,,,,,,,,,,,,,,,
Anel.exi.2,4,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hymenoptera,wasp,,Apocrita,3,2,12,11.3137085,47.87332498,NA,"4,20",,,,,,,,,,,,,,,,,,,,,,
Anel.exi.2,7,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hymenoptera,wasp,,Apocrita,3,5,7,0,20.82531245,NA,"7,7,7,7,7",,,,,,,,,,,,,,,,,,,,,,
Anel.exi.94,4,Jatun.Sacha,Mark.Robertson,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hymenoptera,wasp,,Apocrita,3,1,4,NA,0.982022831,NA,4,,,,,,,,,,,,,,,,,,,,,,
Dom71,2,Jatun.Sacha,Jen.Guevara,A.domingo,Theridiidae,Sheet_Tangle,11000,Insecta,hymenoptera,wasp,,Apocrita,3,1,7,NA,4.165062489,NA,7,,,,,,,,,,,,,,,,,,,,,,
Mecy.R37,2,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,hymenoptera,wasp,,Apocrita,3,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
NA10,2,Jatun.Sacha,Jen.Guevara,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,hymenoptera,wasp,,Apocrita,3,2,4.5,0.707106781,2.550848272,NA,"4,5",,,,,,,,,,,,,,,,,,,,,,
NA9,1,Jatun.Sacha,Jen.Guevara,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,hymenoptera,wasp,,Apocrita,3,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
TW_globe.158,2,Jatun.Sacha,Jen.Guevara,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,hymenoptera,wasp,,Apocrita,3,1,5,NA,1.64288736,NA,5,,,,,,,,,,,,,,,,,,,,,,
Anel.exi.2,5,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Arachnida,araneae,araneae,,Araneae,4,1,10,NA,24.23445253,NA,10,,,,,,,,,,,,,,,,,,,,,,
Acaearanea.163,1,Jatun.Sacha,Mark.Robertson,Parasteatoda.sp,Theridiidae,Tangle,21,Insecta,diptera,fly,,Diptera,31,1,3.2,NA,0.759873371,NA,5,,,,,,,,,,,,,,,,,,,,,,
NA3,3,Jatun.Sacha,Jen.Guevara,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,hemiptera,berytidae,Berytidae,Berytidae,5,1,0.5,NA,0.273247133,stilt_bug,0.5,,,,,,,,,,,,,,,,,,,,,,
AgeleR8,2,Jatun.Sacha,Mark.Robertson,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,blattodea,blataria,Blattaria,Blattaria,6,1,10,NA,9.498228229,NA,10,,,,,,,,,,,,,,,,,,,,,,
Anel.exi.2,6,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,blattodea,blataria,Blattaria,Blattaria,6,1,10,NA,9.498228229,NA,10,,,,,,,,,,,,,,,,,,,,,,
Aran.25,1,Jatun.Sacha,Mark.Robertson,Eriophora.sp,Araneidae,Orb,530,Insecta,coleoptera,carabidae,Carabidae,Carabidae,7,1,10,NA,19.24469193,NA,10,,,,,,,,,,,,,,,,,,,,,,
