Link ID,Link reference ,Body size reference,Geographic location,General habitat,Specific habitat,Link methodology,Body size methodology,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,taxon_Family,taxon_Order,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
2169,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia bipunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0045,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,8.369860071,-9.99E+02
2168,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia bipunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0045,-999,-999,-999,-999,Aphis sarathamni ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,3.887797407,-9.99E+02
2165,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia decempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.00425,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,7.205770204,-9.99E+02
2164,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia decempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.00425,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,3.347078024,-9.99E+02
2161,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anatis ocellata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0085,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,44.29747755,-9.99E+02
2160,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anatis ocellata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0085,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,20.57616458,-9.99E+02
2224,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,4.836249705,-9.99E+02
2223,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,2.246436488,-9.99E+02
2215,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Coccinella septempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0066,-999,-999,-999,-999,Acyrthosiphon spartii ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,22.83003212,-9.99E+02
2214,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Coccinella septempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0066,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,10.60454284,-9.99E+02
