Plot_Id;Agromyzidae;Anthomyiidae;Aphididae;Apidae;Braconidae;Calliphoridae;Canacidae;Cecidomyiidae;Ceratopogonidae;Chironomidae;Collembola;Crambidae;Culicidae;Empididae;Enchytraeidae;Erebidae;Eulophidae;Fanniidae;Geometridae;Heleomyzidae;Hemiptera;Ichneumonidae;Limoniidae;Liposcelidae;Lycaenidae;Lycosidae;Lygaeidae;Mesostigmata;Muscidae;Mycetophilidae;Noctuidae;Nymphalidae;Oribatida;other Araneae;Phoridae;Pieridae;Piophilidae;Prostigmata;Pteromalidae;Scathophagidae;Sciaridae;Syrphidae;Tachinidae;Tenthredinidae;Thomisidae;Tipulidae;Tortricidae;Trichoceridae
A_t2;0;0.071428571;0;0;0.071428571;0;0;0;0;1.785714286;6.857142857;0;0;0.071428571;0;0;0;0;0;0;0;0.071428571;0;0;0;0.285714286;0;20.71428571;0.642857143;0;0.071428571;0;0.071428571;0;0;0;0;2.642857143;0;0;0.642857143;0;0;0;0;0;0;0
A_t3;0;0;0;0;0;0.142857143;0;0;0;1.428571429;2.142857143;0;0;0;0;0;0;0;0;0;0;0.714285714;0;0;0.142857143;3.285714286;0;10;3.857142857;0;1;1.857142857;0;0.142857143;0;0;0;11.85714286;0;0;0.285714286;0;0;0;0.142857143;0.142857143;0;0
A_t4;0;0;0;0;0;0.071428571;0;0;0;0.071428571;0.142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285714286;0;0.214285714;1;0;0;0.071428571;0;0.071428571;0.071428571;0;0;2.214285714;0;0;0;0;0;0;0;0;0;0
B_t2;0;0;0;0.142857143;0;0;0;0;0;0;0.357142857;0;0;0.071428571;0;0;0;0;0;0;0.071428571;0.142857143;0;0;0;0.214285714;0;1.214285714;1.285714286;0.285714286;0;0.5;0;0.142857143;0.071428571;0;0;2.857142857;0;0;0;0;0;0;0.071428571;0;0;0
B_t3;0;0;0;0;0.071428571;0;0;0;0;0.071428571;0.071428571;0;0;0;0;0;0;0;0;0;0.071428571;0.142857143;0;0;0.071428571;0.357142857;0;0.785714286;0.5;0;0.214285714;2.071428571;0;0;0;0;0;0.357142857;0;0;0.071428571;0;0;0;0.142857143;0;0;0
B_t4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.071428571;0;0;0;0.214285714;0;0.928571429;0.571428571;0;0.142857143;0.214285714;0;0;0;0;0;0.785714286;0;0;0;0;0;0;0.071428571;0.071428571;0;0
C_t2;0;0;0;0.071428571;0;0.071428571;0;0;0;0.571428571;0.5;0;0;0;0;0;0;0;0;0;0.071428571;0;0;0;0;0.214285714;0;1.214285714;0.857142857;0.285714286;0;0.857142857;0;0.214285714;0.714285714;0;0;0.285714286;0;0;0.428571429;0;0.214285714;0;0.285714286;0;0;0
C_t3;0;0;0;0;0;0;0;0;0;0.142857143;0;0;0;0.071428571;0;0;0;0;0;0;0;0.071428571;0;0;0.142857143;0.214285714;0;0.428571429;0.5;0;0.071428571;1.285714286;0.071428571;0.285714286;1.285714286;0;0;0.285714286;0;0;0.142857143;0;0.071428571;0;0.142857143;0;0;0
C_t4;0;0;0;0;0;0;0;0;0;0.071428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.071428571;0;0;0.5;0.642857143;0;0.071428571;0;0.071428571;0.142857143;0;0;0;0.5;0;0;0;0;0.142857143;0;0;0;0;0
D_t2;0;0;0;0;0;0;0;0;0;0.071428571;0.214285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.357142857;0.785714286;1.357142857;0.571428571;0.714285714;0;0;29.92857143;0;0;0.5;0;0;1.357142857;0;0.142857143;0;0.142857143;0;0;0
D_t3;0;0;0;0;0;0;0;0;0;0.285714286;0.142857143;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0;0;0.5;0;0.642857143;0.928571429;0;0.357142857;1.214285714;0;1.214285714;1.428571429;0;0;0.5;0;0;0.428571429;0;0.142857143;0;0.142857143;0;0;0
D_t4;0;0;0;0;0;0;0;0;0;0.142857143;0.142857143;0;0.071428571;0;0;0;0;0;0;0;0;0;0;0;0.071428571;0.142857143;0;0.142857143;0.642857143;0.071428571;0.285714286;0.142857143;0;0;0.928571429;0;0;0;0;0;0.214285714;0;0.214285714;0;0;0;0;0
DX_t2;0;0;0;0;0;0;0;0;0;1.928571429;0;0;0;0;0;0;0;0;0;0;0;0.285714286;0;0;0;0.142857143;0;0.5;0.785714286;0;0.071428571;0;0;0;4.357142857;0;0;0;0;0;0.714285714;0;0.214285714;0;0;0;0;0
DX_t3;0.071428571;0;0;0;0;0.071428571;0;0;0.214285714;0.571428571;0;0;0.071428571;0;0;0;0;0;0;0;0;0.285714286;0;0;0.142857143;0.285714286;0;1.071428571;0.285714286;0;0.357142857;0.214285714;0;0.142857143;0;0;0;0.142857143;0;0;0.071428571;0;0.357142857;0;0;0;0;0
DX_t4;0;0;0;0;0;0.071428571;0;0;0;1.357142857;0.071428571;0;0.071428571;0;0;0;0;0;0;0;0;0.142857143;0;0;0;0.214285714;0;0.357142857;0.214285714;0.285714286;0.142857143;0.071428571;0;0.071428571;0.5;0;0;0.714285714;0;0;0.571428571;0;0.357142857;0;0;0;0;0
E_t2;0;0;0;0;0;0;0;0;0;0.625;6;0;0;0;0;0;0;0;0;0;0;0.0625;0;0;0;0.3125;0;0.125;0.8125;0.125;0;0;0;0;0;0;0;0.3125;0;0;0.125;0;0;0;0.1875;0.0625;0;0
