Taxon;Feeding mode;Habitat;bodymass (dry weight g)
Agromyzidae;herbivore;aboveground;0.0000612
Anthomyiidae;herbivore;aboveground;0.001647667
Aphididae;herbivore;aboveground;0.00047175
Apidae;herbivore;aboveground;NA
Braconidae;parasitoid;aboveground;0.000136222
Calliphoridae;herbivore;aboveground;0.007363
Canacidae;herbivore;aboveground;NA
Cecidomyiidae;herbivore;aboveground;0.000031825
Ceratopogonidae;herbivore;aboveground;2.04432E-05
Chironomidae;herbivore;aboveground;9.76936E-05
Collembola;detritivore;belowground;2.20466E-05
Crambidae;herbivore;aboveground;NA
Culicidae;carnivore;aboveground;0.0006826
Empididae;herbivore;aboveground;0.001004667
Enchytraeidae;detritivore;belowground;NA
Erebidae;herbivore;aboveground;NA
Eulophidae;parasitoid;aboveground;4.66667E-06
Fanniidae;herbivore;aboveground;NA
Geometridae;herbivore;aboveground;NA
Heleomyzidae;herbivore;aboveground;NA
Hemiptera;herbivore;aboveground;NA
Ichneumonidae;parasitoid;aboveground;0.002069704
Limoniidae;herbivore;aboveground;0.00030425
Liposcelidae;herbivore;aboveground;NA
Lycaenidae;herbivore;aboveground;NA
Lycosidae;carnivore;aboveground;0.005467
Mesostigmata;carnivore;belowground;3.79073E-13
Muscidae;herbivore;aboveground;0.00185008
Mycetophilidae;detritivore;aboveground;0.000194517
Noctuidae;herbivore;aboveground;0.028825
Nymphalidae;herbivore;aboveground;NA
Oribatida;detritivore;belowground;2.32784E-13
other Araneae;carnivore;aboveground;NA
Phoridae;herbivore;aboveground;0.0000696
Pieridae;herbivore;aboveground;NA
Piophilidae;herbivore;aboveground;0.000384
Prostigmata;omnivore;belowground;1.94348E-12
Pteromalidae;parasitoid;aboveground;0.000031
Scathophagidae;carnivore;aboveground;0.0020964
Sciaridae;detritivore;aboveground;5.63734E-05
Syrphidae;herbivore;aboveground;0.012723794
Tachinidae;herbivore;aboveground;0.0153148
Tenthredinidae;herbivore;aboveground;NA
Thomisidae;carnivore;aboveground;0.00282585
Tipulidae;herbivore;aboveground;0.006305
Tortricidae;herbivore;aboveground;NA
Trichoceridae;herbivore;aboveground;NA
