Spider,T. scu,T. dub,T. tri
Hibana incursa (Chamberlin 1919),0,3,0
Hibana sp.,0,0,3
Cyclosa tubinata (Walckenaer 1842),0,0,1
"Eustala californiensis (Linnaeus, 1758)",0,0,1
Eustala sp.,0,50,10
Gen. sp3 ,0,1,0
Gen. sp6 ,0,0,4
Metepeira arizonica Chamberlin & Ivie 1942,0,0,138
Metepeira crassipes Chamberlin & Ivie 1942,0,1,0
Meteperia sp.,0,0,4
Neoscona sp1,0,0,1
Neoscona sp2,0,0,1
Gen. sp1 ,0,1,0
Gen. sp8,0,0,1
Mallos pallidus (Banks 1904),0,1,0
Gen. sp9 ,0,0,1
Mimetus sp.,0,0,1
Cheiracnathium sp.,0,14,0
Hamataliwa sp.,1,0,0
Oxyopes flavus Banks 1898,0,2,0
Oxyopes salticus Hentz 1845,0,3,0
Tibellus sp.,0,2,0
Gen. sp7 ,0,0,1
Colonus sp.,7,0,1
Gen. sp2 ,0,14,0
Gen. sp4 ,0,2,0
Habronattus ammophilus (Chamberlin 1924),2,0,0
"Habronattus californicus (Banks, 1904)",4,0,0
Habronattus conjunctus (Banks 1898),0,0,3
Habronattus pyrrithrix (Chamberlin 1924),1,0,0
Habronattus sp.,1,0,0
Marpissa robusta (Banks 1905),0,0,4
Paramarpissa sp.,0,0,3
Peckhamia picata (Hentz 1846),1,0,0
Peckhamia sp. ,0,2,0
Phidippus phoenix Edwards 2004,6,14,1
Salticus sp.,1,0,0
Sarinda cutleri (Peckham 1965),0,0,1
Sassacus vitis Cockerell 1894,164,0,0
Euryopis sp.,0,2,0
Gen. sp5 ,0,1,0
Latrodectus hesperus Chamberlin & Ivie 1935,0,0,2
Theridion sp.,0,10,0
Theridion submissum Gertsch & Davis 1936,0,0,100
Mecaphesa celer,0,3,0
Mecaphesa sp.,0,5,0
Xysticus sp.,0,2,0
