Broom_FW-O	Anystis baccarum _-999	Araneus diadematus _-999	Linyphia triangularis _-999	Philodromus aurelolus caespiticolis_-999	Pisaura mirabilis _-999	Evarcha arcuata _-999	Meta segmentata _-999	Xysticus cristatus _-999	Abax parallelepipedus _-999	Harpalus rubripes _-999	Bruchidius ater _-999	Gonioctena olivacea _-999	Phytodecta olivacea _-999	Exochomus quadripustulatus _-999	Adalia bipunctata _-999	Adalia decempunctata _-999	Anatis ocellata _-999	Coccinella septempunctata _-999	Propylaea quatuordecimpunctata _-999	Apion fuscirostre _-999	Apion immune _-999	Hylastinus obscurus _-999	Phloeophthorus rhododactylus _-999	Sitona regensteinensis _-999	Ilyobates nigricollis _-999	Philonthus politus _-999	Xantholinus linearis _-999	Forficula auricularia _-999	Anthocoris sarothamni _-999	Heterocordylus tibialis _-999	Acyrthosiphon spartii _-999	Aphis sarathamni _-999	Arytaina genistae _-999	Arytaina spartii _-999	Aprostocetus tibialis _-999	Chrysocharis gemma _-999	Necremnus metalarus _-999	Pringalio soemias _-999	Cheiropachys colon _-999	Dinotiscus bidentulus _-999	Habrocytus sequester _-999	Mesopolobus mediterraneus _-999	Centistes excrucians _-999	Microctonus _-999	Apanteles fulvipes _-999	Apanteles vitripennis _-999	Braconid_-999	Agonopteryx assimilella _-999	Chesias legatella _-999	Leucoptera spartifoliella _-999	Fringilla coelebs _-999	Parus caeruleus _-999	Parus major _-999	Paecilomyces _-999	Beauveria bassiana _-999
Anystis baccarum _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Araneus diadematus _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linyphia triangularis _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Philodromus aurelolus caespiticolis_-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pisaura mirabilis _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evarcha arcuata _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meta segmentata _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xysticus cristatus _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abax parallelepipedus _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harpalus rubripes _-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
