Spider no	Site	Date	Month	Identity	Sex	Age	Predation events	Pepred	Weight	Aqua	Terr	Chir	Aqu	Det	Pred	Herb	Leps	Cole	Hete	Coll	Anthomyidae	Bibionidae	Ceratopogonidae	Chironomidae	Chloropidae	Coelopidae	Culicidae	Dolichopodidae	Drosophilidae	Empididae	Ephydridae	Lonchopteridae	Muscidae	Opomyzidae	Phoridae	Scathophagidae	Scatopsidae	Sphaeroceridae	Collembola	Heteroptera	Coleoptera	Lepidoptera
Spindel_1	Rohalla	151004	10	Pardosa sp	f	subad	5	4	0.4	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Spindel_2	Rohalla	151004	10	Pardosa sp	f	subad	1	1	0.6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_3	Rohalla	151004	10	Pardosa sp	m	subad	5	5	0.5	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_4	Rohalla	151004	10	Pardosa sp	f	subad	5	5	0.5	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
Spindel_5	Rohalla	151004	10	Pardosa sp	m	subad	1	1	0.5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_6	Rohalla	151004	10	Pardosa sp	m	subad	2	2	0.6	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_7	Rohalla	151004	10	Pardosa sp	m	subad	6	6	0.6	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Spindel_8	S om Byxelkrok	151004	10	Pardosa prativaga	f	ad	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_9	S om Byxelkrok	151004	10	Pardosa sp	m	subad	2	2	0.6	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_10	Borga hage	151004	10	Pardosa sp	m	subad	2	2	0.8	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
