OTUId	PH32_8	PH32_26	PH32_30	PH32_20	PH32_24	PH32_9	PH32_22	PH32_14	PH32_2	PH32_28	PH32_19	PH32_1	PH32_6	PH32_21	PH32_16	PH32_10	PH32_25	PH32_33	PH32_7	PH32_11	PH32_5	PH32_23	PH32_27	PH32_34	PH32_36	PH32_17	PH32_18	PH32_4	PH32_13	PH32_29	PH32_12	PH32_3	PH32_35	PH32_15	PH32_32	PH32_31
OTU_4	3733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	2096	0	0	0	0	0	0	0	2087	0	0	0	0	0	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	0	0	4227	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	55	0	0	0	0	0	0
OTU_10	0	0	0	776	0	0	0	0	0	0	154	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	0	0	0	0	1845	0	0	0	0	0	0	0	486	0	0	0	2	0	0	0	2307	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	0	0	0	0	0	546	0	0	0	69	0	0	0	132	0	0	0	0	0	0	0	0	0	53	0	583	38	0	0	123	0	0	0	0	2	0
OTU_9	0	0	0	784	0	0	0	0	863	0	266	70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	0	1641	438	0	0	0	3088	0	0	0	0	0	0	159	0	0	1017	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
OTU_1	8	0	0	0	3240	1027	0	0	5	0	0	0	323	0	0	1435	0	0	1	0	3	428	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_14	455	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	0	0	3	269	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	132	0	0	0	0
OTU_11	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0
OTU_16	0	1	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_136	1	0	0	0	498	137	0	0	0	0	0	0	27	0	0	163	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	1	6	0	0	0	0	0	0	131	0	327	11	0	0	576	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	10	1	1
OTU_8	0	229	180	0	2	0	0	0	564	2	0	82	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0
OTU_17	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0	0	0	0	2	0	0	0	240	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	126	0	0	0	0	0
OTU_22	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_70	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	48	0	0	0	5	0	0	0	14	0	0	0
