OTUId	frw_bird34_Z_16-7-2013_Sa_c	Xd2X9	Xl8X82	frw_bird7_Z_0-1-2013_Du_c	Eb21X94	Eb22X7	frw_bird26_H_25-7-2013_Sa_a	rvr_bird2_H_1-8-2013_Du_j	frw_bird3_H_2-8-2013_Du_j	Xl7X74	rvr_bird53_Z_16-6-2013_Sn_N	Eb13X30	Xl6X66	Xd8X57	frw_bird2_H_1-8-2013_Du_j	frw_bird48_Z_13-6-2013_Sn_N	rvr_bird63_H_24-7-2013_Sa_j	rvr_bird72_Z_14-6-2013_Sn_N	rvr_bird32_Z_18-7-2013_Sa_a	Eb8X85	Er2X63	rvr_bird3_H_2-8-2013_Du_j	Xd13X2	Xl11X11	frw_bird32_Z_18-7-2013_Sa_a	Xd9X65	frw_bird16_H_15-7-2013_Sa_a	Xl10X3	frw_bird24_H_26-7-2013_Sa_j	Xl1X26	frw_bird29_Z_15-7-2013_Sa_c	Eb24X23	Xl5X58	frw_bird35_Z_17-7-2013_Sa_N	Eb14X38	Eb16X54	rvr_bird25_H_26-7-2013_Sa_j	Eb25X31	rvr_bird27_Z_9-7-2013_Sa_N	Xd3X17	Xd6X41	rvr_bird79_Z_14-6-2013_Sn_N	Xd4X25	Pg11X4	Xd11X81	frw_bird69_Z_10-7-2013_Sa_c	Pg15X36	Xl3X42	frw_bird17_H_16-7-2013_Sa_a	Pg4X43	Pg14X28	rvr_bird48_Z_13-6-2013_Sn_N	Xl2X34	Eb1X29	Pg12X12	Pg9X83	Eb6X69	Xl9X90	Eb3X45	rvr_bird30_Z_21-7-2013_Sa_N	rvr_bird4_Z_30-6-2013_Du_N	Xd10X73	Pg6X59	Eb17X62	rvr_bird47_Z_13-6-2013_Sn_N	rvr_bird7_Z_0-1-2013_Du_c	Pg25X21	Pg13X20	frw_bird20_H_28-7-2013_Sa_j	Eb26X39	Pg17X52	Pg5X51	rvr_bird61_Z_12-7-2013_Sn_N	Pg8X75	rvr_bird51_Z_16-6-2013_Sn_N	Pg3X35	frw_bird47_Z_13-6-2013_Sn_N	rvr_bird22_H_17-7-2013_Sa_a	rvr_bird28_Z_28-6-2013_Sa_N	Eb18X70	Pg22X92	Eb20X86	Xd15X18	Pg21X84	Eb2X37	Er4X79	Eb12X22	Pg20X76	Xd1X1	Pg18X60	rvr_bird33_Z_17-7-2013_Sa_N	rvr_bird16_H_15-7-2013_Sa_a	Eb19X78	Xl4X50	Pg24X13	rvr_bird54_Z_19-6-2013_Sn_N	frw_bird18_H_18-7-2013_Sa_a	frw_bird23_H_20-7-2013_Sa_a	rvr_bird6_Z_12-7-2013_Du_N	Pg16X44	Eb27X47	Pg10X91	Xd12X89	Pg19X68	rvr_bird46_Z_27-6-2013_Sn_N	frw_bird4_Z_30-6-2013_Du_N	rvr_bird41_Z_30-6-2013_Sn_N	rvr_bird84_Z_22-6-2013_Sn_N	Eb11X14	Pg2X27	Eb7X77	Pg7X67	frw_bird30_Z_21-7-2013_Sa_N	Pg1X19	Pg23X5	rvr_bird31_Z_18-7-2013_Sa_c	Eb9X93	Xd7X49	Er3X71	Eb15X46	frw_bird70_Z_14-7-2013_Sa_c	rvr_bird34_Z_16-7-2013_Sa_c	Eb23X15	frw_bird9_Z_0-1-2013_Du_c	frw_bird33_Z_17-7-2013_Sa_N	rvr_bird70_Z_14-7-2013_Sa_c	Xd14X10	rvr_bird35_Z_17-7-2013_Sa_N	rvr_bird21_H_10-7-2013_Sa_a	frw_bird21_H_10-7-2013_Sa_a	rvr_bird64_H_12-7-2013_Sa_a	frw_bird27_Z_9-7-2013_Sa_N	rvr_bird40_Z_7-7-2013_sn_a	Xd5X33	rvr_bird66_H_29-7-2013_Sa_a	rvr_bird78_Z_14-6-2013_Sn_N	rvr_bird55_Z_22-6-2013_Sn_N	rvr_bird29_Z_15-7-2013_Sa_c	rvr_bird9_Z_0-1-2013_Du_c	frw_bird73_Z_14-6-2013_Sn_N	rvr_bird67_H_28-7-2013_Sa_j	rvr_bird26_H_25-7-2013_Sa_a	frw_bird76_Z_14-6-2013_Sn_N	rvr_bird17_H_16-7-2013_Sa_a	frw_bird13_H_28-7-2013_Sa_j	rvr_bird24_H_26-7-2013_Sa_j	frw_bird37_Z_15-7-2013_Sa_a	rvr_bird50_Z_14-6-2013_Sn_N	rvr_bird65_H_12-7-2013_Sa_a	rvr_bird39_Z_18-6-2013_Sn_N	rvr_bird69_Z_10-7-2013_Sa_c	rvr_bird49_Z_14-6-2013_Sn_N	rvr_bird23_H_20-7-2013_Sa_a	rvr_bird52_Z_16-6-2013_Sn_N	rvr_bird43_Z_23-6-2013_Sn_N	rvr_bird20_H_28-7-2013_Sa_j	rvr_bird19_H_15-7-2013_Sa_a	frw_bird15_H_28-7-2013_Sa_j	rvr_bird73_Z_14-6-2013_Sn_N	rvr_bird58_Z_26-6-2013_Sn_N	rvr_bird15_H_28-7-2013_Sa_j	rvr_bird37_Z_15-7-2013_Sa_a	rvr_bird59_Z_26-6-2013_Sn_N	frw_bird62_Z_19-7-2013_Sn_N	rvr_bird76_Z_14-6-2013_Sn_N	rvr_bird80_Z_14-6-2013_Sn_N	frw_bird6_Z_12-7-2013_Du_N	rvr_bird62_Z_19-7-2013_Sn_N	rvr_bird18_H_18-7-2013_Sa_a	frw_bird53_Z_16-6-2013_Sn_N	frw_bird49_Z_14-6-2013_Sn_N	frw_bird80_Z_14-6-2013_Sn_N	frw_bird75_Z_14-6-2013_Sn_N	frw_bird51_Z_16-6-2013_Sn_N	frw_bird31_Z_18-7-2013_Sa_c	frw_bird55_Z_22-6-2013_Sn_N	rvr_bird77_Z_14-6-2013_Sn_N
OTU_46	20235	0	0	0	0	0	28573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	480	0	59	0	0	69	0	0	0	0	0	0	0	0	0	223	0	0	131	0	0	201	140	0	0	0	136	155	0	0	0	0	0	0	70	0	0	0	213	101	0	0	164	78	0	165	0	72	0	0	0	0	70	0	0	111	0	0	0	84	0	159	0	0	0	0	67	0	0	37	0	145	0	271	0	218	0	0	0	0	0	27	0	46	0	150	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	0	10320	0	0	0	0	0	0	0	2	0	0	0	4715	0	0	0	0	0	0	0	0	379	2	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	863	570	0	542	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	27859	0	0	0	0	0	0	1673	0	0	3270	0	0	0	0	0	0	0	0	0	0	2201	0	0	0	1961	0	1513	0	0	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366	0	0	0	0	1019	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1	201940	0	0	0	0	0	10394	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	2902	0	2392	0	0	1494	0	0	0	0	0	0	0	0	0	1290	21	254	801	0	0	321	862	0	0	0	724	760	0	8	0	0	0	0	584	0	0	0	385	474	111	0	474	403	0	389	0	243	0	0	0	0	431	0	0	161	0	0	0	379	0	656	0	0	0	0	217	0	0	111	0	479	0	422	0	179	0	0	0	0	0	59	0	337	0	108	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	132	0	0	18472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	182	0	0	0	0	0	0	0	25	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_172	0	0	0	0	17256	121	0	0	0	0	0	411	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	276	0	0	23	998	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	387	0	362	0	0	0	0	189	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	263	0	160	0	0	113	0	222	0	0	0	0	0	113	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	51	0	127	0	0	0	0	0	73	0	0	2	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	0	0	0	0	197	27061	0	0	0	0	0	800	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	242	0	0	90	412	0	1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	659	0	454	0	0	0	0	719	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	70	0	465	0	0	174	0	832	0	0	0	0	0	131	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	144	0	91	0	0	0	0	0	14	0	0	37	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	9935	1531	0	0	0	0	0	424	0	0	0	0	0	0	883	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	0	0	0	0	0	0	0	424	4987	0	0	0	0	0	1833	0	0	0	0	0	0	1340	0	0	0	0	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	0	0	113	0	0	0	0	0	0	7546	0	0	7	0	0	0	0	0	0	0	0	0	0	71	0	0	0	49	0	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	95	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
