,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,26457,rabbit carcass (L. californicus),taxon,1561,6735,2019-03-14T22:20:16.905Z,2019-03-14T22:20:16.905Z,6735,,,,,Lepus californicus,48087,180115,327965,228603,2436801,199e42f04a464b8459548c28b5456928,species,2019-03-14T20:35:37.962Z,2019-06-14T15:27:53.230Z,NA
2,26458,B. plinthopyga larvae,taxon,1561,6736,2019-03-14T22:20:16.951Z,2019-03-14T22:20:16.951Z,6736,Animalia,Insecta,Diptera,Sarcophagidae,Blaesoxipha plinthopyga,128954,NA,729823,32620,1481874,2c075c6172ecc586ac80f48d64d9ae9b,species,2019-03-14T20:35:38.015Z,2019-06-14T15:27:53.286Z,NA
3,26459,C. macellaria larvae,taxon,1561,5715,2019-03-14T22:20:16.990Z,2019-03-14T22:20:16.990Z,5715,Animalia,Insecta,Diptera,Calliphoridae,Musca macellaria,66361,151663,10822956,32670,1502216,cd9a3815689b3b55c87d801a2c6af703,species,2019-03-04T18:22:47.962Z,2019-06-14T15:26:58.027Z,NA
4,26460,M. domestica larvae,taxon,1561,937,2019-03-14T22:20:17.026Z,2019-03-14T22:20:17.026Z,937,Animalia,Insecta,Diptera,Muscidae,Musca domestica,7370,150251,46807345,25385,1524843,aaf65da4ad0b7c133372c12952125e0f,species,2019-02-21T21:17:58.237Z,2019-06-14T15:21:07.974Z,NA
5,26462,Blaesoxipha plinthopyga,taxon,1561,6736,2019-03-14T22:20:17.135Z,2019-03-14T22:20:17.135Z,6736,Animalia,Insecta,Diptera,Sarcophagidae,Blaesoxipha plinthopyga,128954,NA,729823,32620,1481874,2c075c6172ecc586ac80f48d64d9ae9b,species,2019-03-14T20:35:38.015Z,2019-06-14T15:27:53.286Z,NA
6,26463,Cochyliomyia macellaria,taxon,1561,5715,2019-03-14T22:20:17.188Z,2019-03-14T22:20:17.188Z,5715,Animalia,Insecta,Diptera,Calliphoridae,Musca macellaria,66361,151663,10822956,32670,1502216,cd9a3815689b3b55c87d801a2c6af703,species,2019-03-04T18:22:47.962Z,2019-06-14T15:26:58.027Z,NA
7,26464,Musca domestica,taxon,1561,937,2019-03-14T22:20:17.234Z,2019-03-14T22:20:17.234Z,937,Animalia,Insecta,Diptera,Muscidae,Musca domestica,7370,150251,46807345,25385,1524843,aaf65da4ad0b7c133372c12952125e0f,species,2019-02-21T21:17:58.237Z,2019-06-14T15:21:07.974Z,NA
8,26465,Boreocanthon puncticollis,taxon,1561,6737,2019-03-14T22:20:17.284Z,2019-03-14T22:20:17.284Z,6737,Animalia,Insecta,Coleoptera,Scarabaeidae,Canthon puncticollis,NA,927486,1045018,379789,NA,3c1e0a688f20a1de33deb78ad19ad672,species,2019-03-14T20:35:38.055Z,2019-06-14T15:27:53.338Z,NA
9,26466,Dermestes marmoratus,taxon,1561,6738,2019-03-14T22:20:17.329Z,2019-03-14T22:20:17.329Z,6738,Animalia,Insecta,Coleoptera,Dermestidae,Dermestes marmoratus,NA,728086,354192,596088,1095853,9e5330a072e1474d623cda9c5ed4de1a,species,2019-03-14T20:35:38.099Z,2019-06-14T15:27:53.395Z,NA
10,26468,Saprinus discoidalis,taxon,1561,6713,2019-03-14T22:20:17.424Z,2019-03-14T22:20:17.424Z,6713,Animalia,Insecta,Coleoptera,Histeridae,Saprinus discoidalis,NA,728912,991387,489834,1044813,53dcece028b4fb6bf3955ce41292d62b,species,2019-03-14T19:20:06.111Z,2019-06-14T15:27:52.470Z,NA
11,26469,Eleodes carbonarius,taxon,1561,6219,2019-03-14T22:20:17.470Z,2019-03-14T22:20:17.470Z,6219,Animalia,Insecta,Coleoptera,Tenebrionidae,Eleodes carbonarius,NA,NA,3275851,NA,NA,NA,NA,2019-03-06T19:20:21.646Z,2019-06-14T15:27:25.326Z,NA
12,26470,E. longicollis,taxon,1561,6739,2019-03-14T22:20:17.524Z,2019-03-14T22:20:17.524Z,6739,Animalia,Insecta,Coleoptera,Cerambycidae,Eleodes longicollis,NA,NA,47368377,382244,9765778,NA,NA,2019-03-14T20:35:38.159Z,2019-06-14T15:27:53.448Z,NA
13,26471,Embaphion sp.,taxon,1561,6740,2019-03-14T22:20:17.570Z,2019-03-14T22:20:17.570Z,6740,Animalia,Insecta,Coleoptera,Tenebrionidae,Saphenista embaphion,NA,NA,368595,383182,NA,ddff27810909b1d2ec1d02b378d0d73e,species,2019-03-14T20:35:38.206Z,2019-06-14T15:27:53.503Z,NA
14,26472,Silpha truncata,taxon,1561,6714,2019-03-14T22:20:17.615Z,2019-03-14T22:20:17.615Z,6714,Animalia,Insecta,Coleoptera,Silphidae,Thanatophilus truncatus,NA,1014341,3383936,591039,8904845,2ebea756fd2d1646858d13a50a5b7cde,species,2019-03-14T19:20:06.164Z,2019-06-14T15:27:52.524Z,NA
15,26473,Necrophorus marginatus,taxon,1561,6741,2019-03-14T22:20:17.658Z,2019-03-14T22:20:17.658Z,6741,Animalia,Insecta,Coleoptera,Silphidae,Nicrophorus marginatus,64901,718738,1043267,109982,1039011,f4cb04bed069e6338980645a2dfa8a93,species,2019-03-14T20:35:38.260Z,2019-06-14T15:27:53.555Z,NA
16,26475,Pheidole sp.,taxon,1561,5545,2019-03-14T22:20:17.750Z,2019-03-14T22:20:17.750Z,5545,Animalia,Insecta,Hymenoptera,Formicidae,Pheidole,190769,154226,32986,2041,NA,d83028cbb56787c62e5d96351093e3f3,genus,2019-03-01T18:22:26.676Z,2019-06-14T15:26:49.290Z,NA
17,26476,Novomessor cockerelli,taxon,1561,6742,2019-03-14T22:20:17.797Z,2019-03-14T22:20:17.797Z,6742,Animalia,Insecta,Hymenoptera,Formicidae,Novomessor cockerelli,602603,NA,52218974,716174,NA,NA,NA,2019-03-14T20:35:38.305Z,2019-06-14T15:27:53.609Z,NA
18,26479,Syspira longipes,taxon,1561,6744,2019-03-14T22:20:17.937Z,2019-03-14T22:20:17.937Z,6744,Animalia,Arachnida,Araneae,Araneomorphae,Syspira longipes,NA,889886,1202363,747320,2164074,8b57cd8131640caad939686aba5b5ff6,species,2019-03-14T20:35:38.438Z,2019-06-14T15:27:53.662Z,NA
19,26480,Psilochorus utahensis,taxon,1561,6745,2019-03-14T22:20:17.981Z,2019-03-14T22:20:17.981Z,6745,Animalia,Arachnida,Araneae,Pholcidae,Psilochorus utahensis,NA,865975,1183709,NA,2149795,f2fc340e6a0a046e476f85292766b4e3,species,2019-03-14T20:35:38.483Z,2019-06-14T15:27:53.712Z,NA
20,26481,Creophilis maxillosus,taxon,1561,6746,2019-03-14T22:20:18.022Z,2019-03-14T22:20:18.022Z,6746,Animalia,Insecta,Coleoptera,Staphylinidae,Creophilus maxillosus,623683,186413,1041405,247521,1039254,d237e82c823bf3e0103a4aa6dd9f0270,species,2019-03-14T20:35:38.524Z,2019-06-14T15:27:53.766Z,NA
21,26461,dipteran eggs (unknown),taxon,1561,NA,2019-03-14T22:20:17.078Z,2019-03-14T22:20:17.078Z,NA,Animalia,Insecta,Diptera,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,26474,Conomyrma bicolor,taxon,1561,NA,2019-03-14T22:20:17.705Z,2019-03-14T22:20:17.705Z,NA,Animalia,Insecta,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,26478,Iridomyrmex pruinosum,taxon,1561,NA,2019-03-14T22:20:17.890Z,2019-03-14T22:20:17.890Z,NA,Animalia,Insecta,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,26467,Trox suberosus,taxon,1561,NA,2019-03-14T22:20:17.373Z,2019-03-14T22:20:17.373Z,NA,Animalia,Insecta,Coleoptera,Trogidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,26477,Crematogaster clara,taxon,1561,NA,2019-03-14T22:20:17.844Z,2019-03-14T22:20:17.844Z,NA,Animalia,Insecta,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
