"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"1",26482,"carrion","taxon",1562,5515,"2019-03-14T22:20:34.396Z","2019-03-14T22:20:34.396Z",5515,"Leporidae",9979,50875,1689,1552,NA,"7acccf49da3ce5959dd3f762928f9476","family","2019-03-01T16:05:30.224Z","2019-06-14T15:26:47.481Z",NA
"2",26483,"C. macellaria larvae","taxon",1562,5715,"2019-03-14T22:20:34.430Z","2019-03-14T22:20:34.430Z",5715,"Musca macellaria",66361,151663,10822956,32670,1502216,"cd9a3815689b3b55c87d801a2c6af703","species","2019-03-04T18:22:47.962Z","2019-06-14T15:26:58.027Z",NA
"3",26484,"M. domestica larvae","taxon",1562,937,"2019-03-14T22:20:34.461Z","2019-03-14T22:20:34.461Z",937,"Musca domestica",7370,150251,46807345,25385,1524843,"aaf65da4ad0b7c133372c12952125e0f","species","2019-02-21T21:17:58.237Z","2019-06-14T15:21:07.974Z",NA
"4",26485,"B. plinthopyga larvae","taxon",1562,6736,"2019-03-14T22:20:34.488Z","2019-03-14T22:20:34.488Z",6736,"Blaesoxipha plinthopyga",128954,NA,729823,32620,1481874,"2c075c6172ecc586ac80f48d64d9ae9b","species","2019-03-14T20:35:38.015Z","2019-06-14T15:27:53.286Z",NA
"5",26486,"Blaesoxipha plinthopyga","taxon",1562,6736,"2019-03-14T22:20:34.525Z","2019-03-14T22:20:34.525Z",6736,"Blaesoxipha plinthopyga",128954,NA,729823,32620,1481874,"2c075c6172ecc586ac80f48d64d9ae9b","species","2019-03-14T20:35:38.015Z","2019-06-14T15:27:53.286Z",NA
"6",26487,"Cochyliomyia macellaria","taxon",1562,5715,"2019-03-14T22:20:34.570Z","2019-03-14T22:20:34.570Z",5715,"Musca macellaria",66361,151663,10822956,32670,1502216,"cd9a3815689b3b55c87d801a2c6af703","species","2019-03-04T18:22:47.962Z","2019-06-14T15:26:58.027Z",NA
"7",26488,"Musca domestica","taxon",1562,937,"2019-03-14T22:20:34.619Z","2019-03-14T22:20:34.619Z",937,"Musca domestica",7370,150251,46807345,25385,1524843,"aaf65da4ad0b7c133372c12952125e0f","species","2019-02-21T21:17:58.237Z","2019-06-14T15:21:07.974Z",NA
"8",26489,"Saprinus discoidalis","taxon",1562,6713,"2019-03-14T22:20:34.666Z","2019-03-14T22:20:34.666Z",6713,"Saprinus discoidalis",NA,728912,991387,489834,1044813,"53dcece028b4fb6bf3955ce41292d62b","species","2019-03-14T19:20:06.111Z","2019-06-14T15:27:52.470Z",NA
"9",26490,"Dermestes marmoratus","taxon",1562,6738,"2019-03-14T22:20:34.719Z","2019-03-14T22:20:34.719Z",6738,"Dermestes marmoratus",NA,728086,354192,596088,1095853,"9e5330a072e1474d623cda9c5ed4de1a","species","2019-03-14T20:35:38.099Z","2019-06-14T15:27:53.395Z",NA
"10",26492,"Pheidole sp.","taxon",1562,5545,"2019-03-14T22:20:34.843Z","2019-03-14T22:20:34.843Z",5545,"Pheidole",190769,154226,32986,2041,NA,"d83028cbb56787c62e5d96351093e3f3","genus","2019-03-01T18:22:26.676Z","2019-06-14T15:26:49.290Z",NA
"11",26493,"Novomessor cockerelli","taxon",1562,6742,"2019-03-14T22:20:34.893Z","2019-03-14T22:20:34.893Z",6742,"Novomessor cockerelli",602603,NA,52218974,716174,NA,NA,NA,"2019-03-14T20:35:38.305Z","2019-06-14T15:27:53.609Z",NA
"12",26491,"Conomyrma bicolor","taxon",1562,NA,"2019-03-14T22:20:34.798Z","2019-03-14T22:20:34.798Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",26495,"Iridomyrmex pruinosum","taxon",1562,NA,"2019-03-14T22:20:34.985Z","2019-03-14T22:20:34.985Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",26494,"Crematogaster clara","taxon",1562,NA,"2019-03-14T22:20:34.938Z","2019-03-14T22:20:34.938Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
