"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",96039,23914,23903,"1968-02-29T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:27.688Z","2019-03-01T18:31:27.688Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",95993,23944,23903,"1968-02-29T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:23.939Z","2019-03-01T18:31:23.939Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",95932,23940,23915,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:21.781Z","2019-03-01T18:31:21.781Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",95939,23941,23910,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.001Z","2019-03-01T18:31:22.001Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",95950,23942,23909,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.357Z","2019-03-01T18:31:22.357Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",95951,23942,23910,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.402Z","2019-03-01T18:31:22.402Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",95952,23942,23911,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.430Z","2019-03-01T18:31:22.430Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",95954,23942,23913,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.494Z","2019-03-01T18:31:22.494Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",95956,23942,23915,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.579Z","2019-03-01T18:31:22.579Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",95958,23943,23905,"1968-02-29T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1461,"2019-03-01T18:31:22.646Z","2019-03-01T18:31:22.646Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
