,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,23904,H. flavifacies eggs,taxon,1461,5553,2019-03-01T18:31:00.052Z,2019-03-01T18:31:00.052Z,5553,Animalia,Insecta,Hymenoptera,Chalcididae,Hemilucilia flavifacies,NA,NA,757444,NA,NA,NA,NA,2019-03-01T18:22:27.584Z,2019-06-14T15:26:49.618Z,NA
2,23905,C. conspersa eggs,taxon,1461,5554,2019-03-01T18:31:00.076Z,2019-03-01T18:31:00.076Z,5554,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina conspersa,NA,NA,760018,NA,1524062,1a0bca881ee94b6ee3ac17026c5d7f43,species,2019-03-01T18:22:27.848Z,2019-06-14T15:26:49.673Z,NA
3,23906,G. sp. eggs,taxon,1461,5555,2019-03-01T18:31:00.105Z,2019-03-01T18:31:00.105Z,5555,Animalia,Insecta,Diptera,Muscidae,Gymnogeophagus,81348,169921,25166,189522,NA,cf7a2e645940a352f1305502a51fcf6c,genus,2019-03-01T18:22:28.025Z,2019-06-14T15:26:49.729Z,NA
4,23907,C. gemina eggs,taxon,1461,5556,2019-03-01T18:31:00.136Z,2019-03-01T18:31:00.136Z,5556,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina gemina,NA,NA,760010,NA,1524073,e649aa1318bb5da91e9b09003c61bf50,species,2019-03-01T18:22:28.197Z,2019-06-14T15:26:49.783Z,NA
5,23908,Fannia sp. 1 eggs,taxon,1461,5557,2019-03-01T18:31:00.169Z,2019-03-01T18:31:00.169Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
6,23909,Fannia sp. 2 eggs,taxon,1461,5557,2019-03-01T18:31:00.208Z,2019-03-01T18:31:00.208Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
7,23910,H. flavifacies larvae,taxon,1461,5553,2019-03-01T18:31:00.272Z,2019-03-01T18:31:00.272Z,5553,Animalia,Insecta,Hymenoptera,Chalcididae,Hemilucilia flavifacies,NA,NA,757444,NA,NA,NA,NA,2019-03-01T18:22:27.584Z,2019-06-14T15:26:49.618Z,NA
8,23911,C. conspersa larvae,taxon,1461,5554,2019-03-01T18:31:00.316Z,2019-03-01T18:31:00.316Z,5554,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina conspersa,NA,NA,760018,NA,1524062,1a0bca881ee94b6ee3ac17026c5d7f43,species,2019-03-01T18:22:27.848Z,2019-06-14T15:26:49.673Z,NA
9,23912,C. gemina larvae,taxon,1461,5556,2019-03-01T18:31:00.349Z,2019-03-01T18:31:00.349Z,5556,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina gemina,NA,NA,760010,NA,1524073,e649aa1318bb5da91e9b09003c61bf50,species,2019-03-01T18:22:28.197Z,2019-06-14T15:26:49.783Z,NA
10,23913,G. sp. larvae,taxon,1461,5555,2019-03-01T18:31:00.378Z,2019-03-01T18:31:00.378Z,5555,Animalia,Insecta,Diptera,Muscidae,Gymnogeophagus,81348,169921,25166,189522,NA,cf7a2e645940a352f1305502a51fcf6c,genus,2019-03-01T18:22:28.025Z,2019-06-14T15:26:49.729Z,NA
11,23914,Fannia sp. 1 larvae,taxon,1461,5557,2019-03-01T18:31:00.412Z,2019-03-01T18:31:00.412Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
12,23915,Fannia sp. 2 larvae,taxon,1461,5557,2019-03-01T18:31:00.441Z,2019-03-01T18:31:00.441Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
13,23918,Deltochilum lobipes,taxon,1461,5560,2019-03-01T18:31:00.518Z,2019-03-01T18:31:00.518Z,5560,Animalia,Insecta,Coleoptera,Scarabaeidae,Deltochilum lobipes,NA,NA,978166,382494,1093262,51c933c2be5b9a83a7f514490076ea28,species,2019-03-01T18:22:28.973Z,2019-06-14T15:26:49.893Z,NA
14,23919,Eurysternus caribaeus,taxon,1461,5561,2019-03-01T18:31:00.573Z,2019-03-01T18:31:00.573Z,5561,Animalia,Insecta,Coleoptera,Scarabaeidae,Eurysternus caribaeus,206866,NA,142010,168099,4997972,466a5c1b4b275cd57c54161dd8184cad,species,2019-03-01T18:22:29.269Z,2019-06-14T15:26:49.949Z,NA
15,23921,E. plebejus,taxon,1461,5563,2019-03-01T18:31:00.637Z,2019-03-01T18:31:00.637Z,5563,Animalia,Insecta,Hemiptera,Cicadellidae,Euscelis plebejus,6827,NA,51546555,NA,NA,NA,NA,2019-03-01T18:22:29.711Z,2019-06-14T15:26:50.003Z,NA
16,23922,Onthophagus praecellens,taxon,1461,5564,2019-03-01T18:31:00.683Z,2019-03-01T18:31:00.683Z,5564,Animalia,Insecta,Coleoptera,Scarabaeidae,Onthophagus praecellens,476079,NA,1027568,153879,1091841,826bdbd950892bea1bd3bcf73c5bccae,species,2019-03-01T18:22:29.921Z,2019-06-14T15:26:50.056Z,NA
17,23923,Hemilucilia flavifacies,taxon,1461,5553,2019-03-01T18:31:00.713Z,2019-03-01T18:31:00.713Z,5553,Animalia,Insecta,Hymenoptera,Chalcididae,Hemilucilia flavifacies,NA,NA,757444,NA,NA,NA,NA,2019-03-01T18:22:27.584Z,2019-06-14T15:26:49.618Z,NA
18,23924,Chrysotus sp.,taxon,1461,5565,2019-03-01T18:31:00.747Z,2019-03-01T18:31:00.747Z,5565,Animalia,Insecta,Diptera,Dolichopodidae,Chrysotus,377522,137325,54792,166692,NA,4b50f87709851f84053c903312815161,genus,2019-03-01T18:22:29.993Z,2019-06-14T15:26:50.115Z,NA
19,23926,Cyrtoneurina conspersa,taxon,1461,5554,2019-03-01T18:31:00.823Z,2019-03-01T18:31:00.823Z,5554,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina conspersa,NA,NA,760018,NA,1524062,1a0bca881ee94b6ee3ac17026c5d7f43,species,2019-03-01T18:22:27.848Z,2019-06-14T15:26:49.673Z,NA
20,23927,C. gemina,taxon,1461,5556,2019-03-01T18:31:00.857Z,2019-03-01T18:31:00.857Z,5556,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina gemina,NA,NA,760010,NA,1524073,e649aa1318bb5da91e9b09003c61bf50,species,2019-03-01T18:22:28.197Z,2019-06-14T15:26:49.783Z,NA
21,23928,Graphomyia sp.,taxon,1461,5567,2019-03-01T18:31:00.898Z,2019-03-01T18:31:00.898Z,5567,Animalia,Insecta,Diptera,Muscidae,Graphomya,1072499,150633,78701,261949,NA,9e0b565785bdf56ab1ad06bdbbfb840c,genus,2019-03-01T18:22:30.125Z,2019-06-14T15:26:50.169Z,NA
22,23929,Fannia sp. 1,taxon,1461,5557,2019-03-01T18:31:00.926Z,2019-03-01T18:31:00.926Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
23,23930,Fannia sp. 2,taxon,1461,5557,2019-03-01T18:31:00.953Z,2019-03-01T18:31:00.953Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
24,23931,Glyphidops flavifrons,taxon,1461,5568,2019-03-01T18:31:00.976Z,2019-03-01T18:31:00.976Z,5568,Animalia,Insecta,Diptera,Neriidae,Glyphidops flavifrons,NA,142104,734690,NA,1675627,423133af62b086b6703f63fa78d3cf3c,species,2019-03-01T18:22:30.209Z,2019-06-14T15:26:50.223Z,NA
