food web,interaction,consumer,resource
1,0,666,666
26,0,666,666
7,0,666,666
14,0,666,666
10,0,666,666
48,0,666,666
18,0,666,666
14,0,765,666
1,0,766,666
7,0,769,666
48,0,773,666
14,0,773,666
26,0,773,666
48,0,774,666
26,0,676,666
7,0,776,666
14,0,776,666
26,0,776,666
7,1,778,666
26,1,778,666
10,1,778,666
14,1,778,666
26,0,779,666
7,0,780,666
1,0,781,666
26,0,782,666
14,0,782,666
7,0,782,666
1,0,783,666
48,0,783,666
1,0,784,666
26,0,677,666
18,0,786,666
14,1,789,666
7,1,790,666
14,1,790,666
18,0,791,666
7,0,791,666
10,0,792,666
26,0,678,666
10,0,794,666
26,0,795,666
26,1,797,666
1,1,797,666
10,1,797,666
26,1,798,666
18,1,799,666
7,1,799,666
1,1,799,666
10,1,799,666
48,1,800,666
18,1,800,666
7,1,800,666
7,0,679,666
14,0,679,666
1,0,679,666
48,0,679,666
10,0,679,666
26,0,679,666
18,0,679,666
26,0,803,666
18,0,803,666
48,0,803,666
1,0,804,666
10,0,810,666
1,0,680,666
10,0,680,666
18,0,680,666
26,0,811,666
48,0,811,666
1,0,811,666
26,1,812,666
7,1,812,666
18,0,681,666
26,0,821,666
14,0,821,666
1,0,821,666
18,0,821,666
1,0,822,666
18,0,825,666
10,0,825,666
7,0,825,666
1,0,825,666
26,0,825,666
14,0,825,666
26,0,682,666
18,1,832,666
26,0,833,666
7,0,833,666
14,0,833,666
10,0,833,666
48,0,834,666
26,1,835,666
18,0,836,666
26,0,836,666
7,0,837,666
48,1,839,666
7,1,839,666
26,1,839,666
14,1,839,666
18,1,839,666
1,1,839,666
10,1,839,666
7,0,840,666
18,0,840,666
14,0,840,666
1,0,840,666
10,0,840,666
26,0,840,666
1,0,841,666
48,0,841,666
48,0,842,666
10,0,843,666
1,0,843,666
26,0,843,666
48,0,843,666
7,0,843,666
26,0,846,666
1,0,846,666
48,0,846,666
18,0,846,666
7,0,847,666
26,0,847,666
18,0,847,666
10,0,847,666
48,0,847,666
14,0,847,666
1,0,847,666
14,1,848,666
1,1,848,666
7,1,848,666
7,0,849,666
10,0,849,666
10,0,850,666
48,0,850,666
7,0,850,666
26,0,850,666
18,0,850,666
26,1,851,666
26,0,852,666
48,1,860,666
18,1,860,666
7,1,862,666
18,1,862,666
18,0,869,666
10,0,686,666
26,0,871,666
18,0,872,666
48,1,874,666
48,0,876,666
10,1,877,666
18,1,877,666
14,1,877,666
26,1,878,666
18,1,880,666
10,1,880,666
1,1,880,666
26,1,880,666
1,0,687,666
10,0,687,666
18,0,687,666
48,0,687,666
14,0,687,666
26,0,687,666
7,0,687,666
14,1,883,666
48,0,885,666
7,0,887,666
48,0,889,666
18,0,894,666
14,0,895,666
48,0,895,666
1,0,895,666
26,0,895,666
10,0,895,666
18,1,897,666
18,0,900,666
26,0,900,666
14,0,689,666
7,0,689,666
10,0,903,666
1,0,903,666
26,0,903,666
48,0,903,666
14,0,903,666
7,0,906,666
26,0,906,666
14,0,906,666
10,0,906,666
7,0,909,666
1,0,910,666
48,0,690,666
7,0,690,666
26,0,690,666
48,0,912,666
10,0,912,666
48,0,913,666
26,0,914,666
18,0,914,666
1,1,915,666
10,1,915,666
10,1,916,666
1,1,916,666
26,1,919,666
18,1,919,666
26,1,921,666
26,1,924,666
14,1,924,666
48,1,924,666
7,1,924,666
10,1,924,666
1,1,924,666
18,1,924,666
18,1,925,666
1,1,925,666
48,1,925,666
10,1,925,666
14,1,925,666
26,0,926,666
26,1,927,666
48,1,927,666
18,1,927,666
10,0,928,666
10,0,692,666
18,0,692,666
1,0,692,666
26,0,692,666
48,0,692,666
7,0,692,666
14,1,930,666
26,0,931,666
18,0,932,666
26,0,932,666
18,0,933,666
7,0,933,666
26,0,933,666
14,0,933,666
7,0,934,666
26,0,934,666
18,0,934,666
1,0,937,666
10,0,693,666
1,0,693,666
48,0,693,666
14,0,693,666
7,0,693,666
26,0,693,666
18,0,693,666
7,0,945,666
26,0,946,666
48,0,947,666
48,0,948,666
48,0,950,666
1,1,952,666
14,0,953,666
48,0,953,666
7,0,953,666
26,0,953,666
1,0,953,666
10,0,953,666
18,0,953,666
14,0,956,666
10,0,959,666
26,0,960,666
10,0,960,666
1,0,960,666
18,0,960,666
48,0,960,666
14,0,960,666
18,0,962,666
1,0,962,666
7,0,963,666
14,0,963,666
14,0,964,666
10,0,964,666
1,0,964,666
26,0,964,666
26,0,965,666
48,0,966,666
7,0,966,666
1,0,966,666
26,0,966,666
18,0,966,666
14,0,966,666
26,0,696,666
10,0,696,666
7,0,969,666
1,0,970,666
26,0,970,666
18,0,970,666
7,0,972,666
14,0,972,666
26,0,974,666
26,0,976,666
48,0,697,666
18,0,697,666
10,0,980,666
14,0,980,666
18,0,981,666
26,0,981,666
14,0,981,666
48,0,981,666
7,0,981,666
10,0,981,666
1,0,981,666
26,0,698,666
48,0,988,666
1,0,989,666
48,0,989,666
18,0,989,666
26,0,989,666
1,0,990,666
1,0,993,666
48,0,993,666
10,0,993,666
7,0,994,666
10,0,995,666
14,0,995,666
7,0,995,666
18,0,995,666
1,0,995,666
14,0,996,666
48,0,996,666
18,0,996,666
1,0,996,666
10,0,996,666
7,0,996,666
26,0,996,666
26,0,997,666
10,0,997,666
18,0,997,666
1,0,997,666
14,0,997,666
7,0,997,666
48,0,998,666
18,0,1000,666
14,0,1000,666
1,0,1004,666
7,0,1005,666
7,0,1006,666
14,0,1006,666
1,0,1006,666
10,0,1006,666
48,0,1008,666
10,0,1009,666
14,0,1009,666
1,0,1009,666
48,0,1009,666
14,0,1010,666
26,0,1011,666
14,0,1011,666
10,0,1011,666
1,0,1011,666
7,0,1014,666
1,0,1015,666
1,0,1019,666
7,0,1019,666
14,0,1019,666
48,0,1019,666
10,0,1019,666
7,0,1020,666
10,0,1020,666
1,0,1021,666
48,0,1023,666
18,0,702,666
1,0,1028,666
26,0,1029,666
18,0,1030,666
48,0,1030,666
26,0,1030,666
14,0,1033,666
14,0,1036,666
18,0,1037,666
26,0,1037,666
26,0,1041,666
18,0,1041,666
7,0,1041,666
14,0,1041,666
10,0,1053,666
26,0,1053,666
18,0,1053,666
14,0,1055,666
26,0,1055,666
