Wasp ID,Cell number,Spider family,Spider genus,Carapace width (mm),Body length (mm)
a,c2,Anyphaneidae,Hibana,1.97,6.91
a,c2,Araneidae,Araneus,2.51,5.68
a,c2,Araneidae,Araneus,,
a,c2,Araneidae,Argiope,2.43,5.63
a,c2,Araneidae,Argiope,2.57,10.05
a,c2,Araneidae,Argiope,,
a,c2,Araneidae,Argiope,1.85,4.25
a,c2,Araneidae,Argiope ,,
a,c2,Araneidae,Argiope ,2.06,5.28
a,c2,Araneidae,Neoscona,2.52,5.83
a,c2,Araneidae,Neoscona,1.86,7.32
a,c2,Araneidae,Neoscona,2.96,9.21
a,c2,Araneidae,Neoscona,2.04,5.66
aa,c1,Araneidae,Araneus ,1.68,4.74
aa,c1,Araneidae,Neoscona,1.49,4.99
aa,c1,Araneidae,Neoscona,2.17,4.77
aa,c1,Araneidae,Neoscona,1.34,3.51
aa,c1,Araneidae,Neoscona,1.05,2.91
aa,c1,Araneidae,Neoscona,2.15,5.16
aa,c1,Araneidae,Neoscona,2.2,5.33
aa,c1,Araneidae,Neoscona,2.12,4.05
aa,c1,Pisauridae,Pisaurina,2.19,9.36
aa,c1,Eutichuridae,Cheiracanthium,1.55,5.69
aa,c1,Eutichuridae,Cheiracanthium,1.45,4.7
aa,c1,Eutichuridae,Cheiracanthium,1.34,4.28
aa,c1,Eutichuridae,Cheiracanthium,1.15,3.67
b,c1,Araneidae,Argiope,2.62,6.25
b,c1,Araneidae,Gea,2.07,5.58
b,c1,Nephilidae,Nephila,2.84,11.19
b,c1,Nephilidae,Nephila,3.55,13.46
b,c1,Nephilidae,Nephila,3.13,12.08
b,c1,Nephilidae,Nephila,2.44,9.66
b,c1,Nephilidae,Nephila,1.78,7.05
b,c1,Nephilidae,Nephila,2.76,11.89
b,c1,Nephilidae,Nephila,1.86,7.7
bb,c3,Anyphaneidae,Hibana,2.73,7.82
bb,c3,Anyphaneidae,Hibana,2.87,9.92
bb,c3,Anyphaneidae,Hibana,2.25,8.58
bb,c3,Anyphaneidae,Hibana,2.29,7.78
bb,c3,Anyphaneidae,Hibana,2.07,6.24
bb,c3,Anyphaneidae,Hibana,2.52,6.94
bb,c3,Anyphaneidae,Hibana,2.45,6.48
bb,c3,Anyphaneidae,Hibana,2.73,7.39
bb,c3,Anyphaneidae,Hibana,2.18,6.89
bb,c3,Anyphaneidae,Hibana,2.83,9.43
bb,c3,Anyphaneidae,Hibana,2.44,7.69
bb,c3,Anyphaneidae,Hibana,2.35,7.63
bb,c3,Anyphaneidae,Hibana,1.7,6.28
c,c5,Nephilidae,Nephila,1.33,6.68
c,c5,Nephilidae,Nephila,2.37,10.96
c,c5,Nephilidae,Nephila,1.83,8.45
c,c5,Nephilidae,Nephila,3.45,13.27
c,c5,Nephilidae,Nephila,1.61,6.78
c,c5,Nephilidae,Nephila,2.49,10.52
c,c5,Nephilidae,Nephila,2.03,7.76
c,c5,Nephilidae,Nephila,1.81,6.18
c,c5,Nephilidae,Nephila,2.37,8.61
c,c5,Nephilidae,Nephila,2.04,8.56
c,c5,Nephilidae,Nephila,1.71,6.36
c,c5,Nephilidae,Nephila,1.79,7.07
c,c5,Nephilidae,Nephila,1.75,7.22
c,c5,Nephilidae,Nephila,,
c,c5,Nephilidae,Nephila,1.55,6.98
c,c5,Nephilidae,Nephila,1.98,6.83
cc,c4,Araneidae,Araneus ,2.38,5.45
cc,c4,Nephilidae,Nephila,3.09,13.54
cc,c4,Nephilidae,Nephila,2.6,12.03
cc,c4,Nephilidae,Nephila,2.41,11.57
cc,c4,Nephilidae,Nephila,1.64,7.36
cc,c4,Nephilidae,Nephila,1.38,5.66
d,c2,Araneidae,Larinia,2.02,7.38
d,c2,Araneidae,Larinia,1.74,7.44
d,c2,Araneidae,Neoscona,2.56,6.86
d,c2,Araneidae,Neoscona,2.23,5.55
d,c2,Nephilidae,Nephila,1.99,7.47
dd,c3,Nephilidae,Nephila,2.63,11.23
dd,c3,Nephilidae,Nephila,2.09,10.4
dd,c3,Nephilidae,Nephila,2.27,9.95
dd,c3,Nephilidae,Nephila,2.25,10.14
dd,c3,Nephilidae,Nephila,1.98,6.68
dd,c3,Nephilidae,Nephila,1.3,7.6
dd,c3,Nephilidae,Nephila,1.38,5.87
dd,c3,Nephilidae,Nephila,1.3,7.6
dd,c3,Nephilidae,Nephila,1.38,5.87
e,c1,Araneidae,Acanthepeira,2.71,8.77
e,c1,Araneidae,Argiope,1.82,6.94
e,c1,Araneidae,Neoscona,1.92,7.04
e,c1,Araneidae,Neoscona,2.14,7.51
e,c1,Araneidae,Neoscona,2.1,5.86
e,c1,Araneidae,Neoscona,1.87,5.17
e,c1,Araneidae,Neoscona,2.18,5.63
e,c1,Thomisidae,Misume,2.36,6.68
e,c1,Thomisidae,Misume,2.48,6.84
e,c1,Thomisidae,Misume,2.05,6.19
f,c2,Nephilidae,Nephila,2.34,11.22
f,c2,Nephilidae,Nephila,1.99,10.2
f,c2,Nephilidae,Nephila,2.22,8.28
f,c2,Nephilidae,Nephila,1.58,7.35
f,c2,Nephilidae,Nephila,1.84,9.15
f,c2,Nephilidae,Nephila,2.23,9.4
f,c2,Nephilidae,Nephila,1.98,9.35
f,c2,Nephilidae,Nephila,2.32,8.93
f,c2,Nephilidae,Nephila,1.62,6.69
f,c2,Nephilidae,Nephila,1.77,7.04
f,c2,Nephilidae,Nephila,1.75,7.17
f,c2,Nephilidae,Nephila,1.71,7.46
f,c2,Nephilidae,Nephila,2.86,11.21
g,c3,Nephilidae,Nephila,1.71,5.82
g,c3,Nephilidae,Nephila,1.27,4.97
g,c3,Nephilidae,Nephila,1.67,6.26
g,c3,Nephilidae,Nephila,1.7,6.69
g,c3,Nephilidae,Nephila,1.63,7.6
g,c3,Nephilidae,Nephila,2.09,6.99
g,c3,Nephilidae,Nephila,1.95,7.94
g,c3,Nephilidae,Nephila,2.91,8.76
g,c3,Nephilidae,Nephila,2.76,9.57
g,c3,Nephilidae,Nephila,1.22,6.34
g,c3,Nephilidae,Nephila,1.97,7.57
g,c3,Nephilidae,Nephila,1.63,7.06
g,c3,Nephilidae,Nephila,2.55,7.91
g,c3,Nephilidae,Nephila,2.08,9.01
g,c3,Nephilidae,Nephila,1.77,
g,c3,Nephilidae,Nephila,2.78,10.19
h,c1,Nephilidae,Nephila,2.78,11.92
h,c1,Nephilidae,Nephila,2.98,10.33
h,c1,Nephilidae,Nephila,2.78,12.43
h,c1,Nephilidae,Nephila,1.76,6.98
h,c1,Nephilidae,Nephila,1.75,6.84
h,c1,Nephilidae,Nephila,2.51,9.02
h,c1,Nephilidae,Nephila,2.26,7.7
h,c1,Nephilidae,Nephila,3.08,10.86
h,c1,Nephilidae,Nephila,2,9.61
i,c4,Nephilidae,Nephila,3.27,10.01
i,c4,Nephilidae,Nephila,2.64,9.35
i,c4,Nephilidae,Nephila,2.29,8.52
i,c4,Nephilidae,Nephila,1.69,6.78
i,c4,Nephilidae,Nephila,2.46,8.9
i,c4,Nephilidae,Nephila,2.21,8.03
i,c4,Nephilidae,Nephila,2.15,8.83
i,c4,Nephilidae,Nephila,2.48,8.79
i,c4,Nephilidae,Nephila,1.84,7.43
i,c4,Nephilidae,Nephila,1.68,6.55
i,c4,Nephilidae,Nephila,1.82,7.29
i,c4,Nephilidae,Nephila,1.57,7.04
j,c1,Nephilidae,Nephila,2.57,10.43
j,c1,Nephilidae,Nephila,1.42,6.12
j,c1,Nephilidae,Nephila,2.47,10.88
j,c1,Nephilidae,Nephila,2.51,8.53
j,c1,Nephilidae,Nephila,2.17,8.8
j,c1,Nephilidae,Nephila,2.47,10.48
j,c1,Nephilidae,Nephila,1.53,7.09
j,c1,Nephilidae,Nephila,1.37,7.82
j,c1,Nephilidae,Nephila,1.64,5.61
j,c1,Nephilidae,Nephila,1.94,7.38
