,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,26615,Psen spp.,taxon,1566,6774,2019-03-15T15:17:21.060Z,2019-03-15T15:17:21.060Z,6774,Animalia,Insecta,Hymenoptera,Crabronidae,Psen,421427,13575,2760713,314652,NA,b2e4e5b1227133b1e188c738bcf2639b,genus,2019-03-15T15:17:18.158Z,2019-06-14T15:27:55.730Z,NA
2,26616,Oxybelus uniglumis,taxon,1566,6775,2019-03-15T15:17:21.089Z,2019-03-15T15:17:21.089Z,6775,Animalia,Insecta,Hymenoptera,Crabronidae,Oxybelus uniglumis,1889544,1005306,3794110,192991,4494793,84585aa30ddbfc2630fb39936feed321,species,2019-03-15T15:17:18.204Z,2019-06-14T15:27:55.778Z,NA
3,26617,Crossocerus wesmaeli,taxon,1566,6776,2019-03-15T15:17:21.117Z,2019-03-15T15:17:21.117Z,6776,Animalia,Insecta,Hymenoptera,Crabronidae,Crossocerus wesmaeli,2494909,1022404,3794039,308642,4494895,ff83d37144f1291bf7a5fc7a293ad959,species,2019-03-15T15:17:18.261Z,2019-06-14T15:27:55.832Z,NA
4,26618,ichneumonids (unspecified),taxon,1566,1601,2019-03-15T15:17:21.155Z,2019-03-15T15:17:21.155Z,1601,Animalia,Insecta,Hymenoptera,Ichneumonidae,Ichneumonidae,7408,153360,703,563,NA,737259109923320b83a427ec5c4d3a07,family,2019-02-21T22:09:58.416Z,2019-06-14T15:21:26.597Z,NA
5,26619,Exochamus quadripustulatus,taxon,1566,6777,2019-03-15T15:17:21.194Z,2019-03-15T15:17:21.194Z,6777,Animalia,Insecta,Coleoptera,Coccinelidae,Brumus quadripustulatus,115346,692613,1174717,106952,1043102,e48c1c143b22ab6d4b1e901f2200dfef,species,2019-03-15T15:17:18.310Z,2019-06-14T15:27:55.886Z,NA
6,26620,Coccinella 7-punctata,taxon,1566,6778,2019-03-15T15:17:21.251Z,2019-03-15T15:17:21.251Z,6778,Animalia,Insecta,Coleoptera,Coccinelidae,Coccinella septempunctata,41139,114347,1174745,105900,4990191,66b3371b6e03fc522ec3aa6a2ad3004b,species,2019-03-15T15:17:18.359Z,2019-06-14T15:27:55.938Z,NA
7,26621,Anatis ocellata,taxon,1566,6779,2019-03-15T15:17:21.292Z,2019-03-15T15:17:21.292Z,6779,Animalia,Insecta,Coleoptera,Coccinelidae,Anatis ocellata,703254,NA,3216152,398247,5749359,NA,NA,2019-03-15T15:17:18.420Z,2019-06-14T15:27:55.989Z,NA
8,26622,Adalia bipunctata,taxon,1566,6780,2019-03-15T15:17:21.326Z,2019-03-15T15:17:21.326Z,6780,Animalia,Insecta,Coleoptera,Coccinelidae,Adalia bipunctata,7084,114341,1174823,26229,1043097,5c8154ba044a6a32f1e906047945d07d,species,2019-03-15T15:17:18.490Z,2019-06-14T15:27:56.045Z,NA
9,26623,Syrphus vitripennis larvae,taxon,1566,6781,2019-03-15T15:17:21.361Z,2019-03-15T15:17:21.361Z,6781,Animalia,Insecta,Diptera,Syrphidae,Syrphus vitripennis,224256,140302,750855,30774,1537212,581e908e0c739b0d8e2c9d4afb09ead1,species,2019-03-15T15:17:18.548Z,2019-06-14T15:27:56.347Z,NA
10,26627,Panolis griseovariegata larvae,taxon,1566,6784,2019-03-15T15:17:21.520Z,2019-03-15T15:17:21.520Z,6784,Animalia,Insecta,Lepidoptera,Noctuidae,Panolis griseovariegata,NA,NA,465237,NA,NA,NA,NA,2019-03-15T15:17:18.743Z,2019-06-14T15:27:56.413Z,NA
11,26630,Linyphia triangularis,taxon,1566,6787,2019-03-15T15:17:21.660Z,2019-03-15T15:17:21.660Z,6787,Animalia,Arachnida,Araneae,Linyphiidae,Linyphia triangularis,94031,859725,1191011,31442,2136609,9113d09a74266b076339f3907a27bd01,species,2019-03-15T15:17:18.894Z,2019-06-14T15:27:56.464Z,NA
12,26631,Agelena labyrinthica,taxon,1566,6788,2019-03-15T15:17:21.693Z,2019-03-15T15:17:21.693Z,6788,Animalia,Arachnida,Araneae,Agelenidae,Agelena labyrinthica,286032,873624,1199757,286936,2139576,27f8d92283dd22a32429f342df4cce2a,species,2019-03-15T15:17:18.953Z,2019-06-14T15:27:56.768Z,NA
13,26632,young Pinus sp.,taxon,1566,6090,2019-03-15T15:17:21.730Z,2019-03-15T15:17:21.730Z,6090,Plantae,,,,Pinus,139271,2419,14031,100249,NA,5802b2ad2dad3a3bb507f5838a16833e,genus,2019-03-06T16:46:13.902Z,2019-06-14T15:27:17.217Z,NA
14,26633,Formica fusca,taxon,1566,721,2019-03-15T15:17:21.773Z,2019-03-15T15:17:21.773Z,721,Animalia,Insecta,Hymenoptera,Formicidae,Formica fusca,72779,154213,600028,21630,1314881,3f74a8d073eacb280a31092ef3d6b06f,species,2019-02-21T21:17:48.337Z,2019-06-14T15:21:03.489Z,NA
