prey_Family,prey_ID,Anystis baccarum ,Araneus diadematus ,Linyphia triangularis ,Philodromus aurelolus caespiticolis,Pisaura mirabilis ,Evarcha arcuata ,Meta segmentata ,Xysticus cristatus ,Abax parallelepipedus ,Harpalus rubripes ,Bruchidius ater ,Gonioctena olivacea ,Phytodecta olivacea ,Exochomus quadripustulatus ,Adalia bipunctata ,Adalia decempunctata ,Anatis ocellata ,Coccinella septempunctata ,Propylaea quatuordecimpunctata ,Apion fuscirostre ,Apion immune ,Hylastinus obscurus ,Phloeophthorus rhododactylus ,Sitona regensteinensis ,Ilyobates nigricollis ,Philonthus politus ,Xantholinus linearis ,Forficula auricularia ,Anthocoris sarothamni ,Heterocordylus tibialis ,Acyrthosiphon spartii ,Aphis sarathamni ,Arytaina genistae ,Arytaina spartii ,Aprostocetus tibialis ,Chrysocharis gemma ,Necremnus metalarus ,Pringalio soemias ,Cheiropachys colon ,Dinotiscus bidentulus ,Habrocytus sequester ,Mesopolobus mediterraneus ,Centistes excrucians ,Microctonus ,Apanteles fulvipes ,Apanteles vitripennis ,Braconid,Agonopteryx assimilella ,Chesias legatella ,Leucoptera spartifoliella ,Fringilla coelebs ,Parus caeruleus ,Parus major ,Paecilomyces ,Beauveria bassiana 
Anystidae,Anystis baccarum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneidae,Araneus diadematus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linyphiidae,Linyphia triangularis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philodromidae,Philodromus aurelolus caespiticolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pisauridae,Pisaura mirabilis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salticidae,Evarcha arcuata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetragnathidae,Meta segmentata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomisidae,Xysticus cristatus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carabidae,Abax parallelepipedus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carabidae,Harpalus rubripes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
