"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",98707,24739,24738,"1936-09-01T00:00:00.000Z","directed","herbivory","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:11.895Z","2019-03-06T16:47:11.895Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",98708,24740,24738,"1936-09-01T00:00:00.000Z","directed","herbivory","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:11.939Z","2019-03-06T16:47:11.939Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",98709,24741,24738,"1936-09-01T00:00:00.000Z","directed","herbivory","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:11.972Z","2019-03-06T16:47:11.972Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",98710,24742,24738,"1936-09-01T00:00:00.000Z","directed","herbivory","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.013Z","2019-03-06T16:47:12.013Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",98711,24759,24738,"1936-09-01T00:00:00.000Z","directed","herbivory","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.048Z","2019-03-06T16:47:12.048Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",98712,24760,24739,"1936-09-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.085Z","2019-03-06T16:47:12.085Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",98713,24760,24740,"1936-09-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.134Z","2019-03-06T16:47:12.134Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",98714,24760,24741,"1936-09-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.170Z","2019-03-06T16:47:12.170Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",98715,24760,24742,"1936-09-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.207Z","2019-03-06T16:47:12.207Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",98716,24760,24743,"1936-09-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1494,"2019-03-06T16:47:12.241Z","2019-03-06T16:47:12.241Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
