"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"1",24875,"Ips grandicollis","taxon",1496,6072,"2019-03-06T16:47:50.893Z","2019-03-06T16:47:50.893Z",6072,"Ips grandicollis",102832,114939,49870276,160817,9533187,"414e6ba950fe94fe13eb0d15c162c64e","species","2019-03-06T16:46:12.889Z","2019-06-14T15:27:16.539Z",NA
"2",24876,"I. calligraphus","taxon",1496,6073,"2019-03-06T16:47:51.025Z","2019-03-06T16:47:51.025Z",6073,"Ips calligraphus",102827,114938,50959746,492618,5018614,"dd9fe231e2d89eec477afb7ee7b02064","species","2019-03-06T16:46:12.936Z","2019-06-14T15:27:16.594Z",NA
"3",24877,"Xyleborus fitchi","taxon",1496,6074,"2019-03-06T16:47:51.054Z","2019-03-06T16:47:51.054Z",6074,"Xyleborus fitchi",NA,NA,49763765,NA,5020765,"fa35c9531f3f049e2388b4394be5c722","species","2019-03-06T16:46:12.991Z","2019-06-14T15:27:16.649Z",NA
"4",24879,"Pithyophthorus annectens","taxon",1496,6075,"2019-03-06T16:47:51.345Z","2019-03-06T16:47:51.345Z",6075,"Pityophthorus annectens",NA,620626,51516540,475176,1239690,"c3aa4cdb2e2b4f8a2e7ba257dddb6dbe","species","2019-03-06T16:46:13.045Z","2019-06-14T15:27:16.704Z",NA
"5",24880,"P. pullus","taxon",1496,6076,"2019-03-06T16:47:51.375Z","2019-03-06T16:47:51.375Z",6076,"Crypturgus pullus",NA,620490,21926453,NA,1231296,"d137e40c5232a5b1980f5f482df5fffa","species","2019-03-06T16:46:13.131Z","2019-06-14T15:27:16.760Z",NA
"6",24881,"Dendroctonus valens","taxon",1496,6077,"2019-03-06T16:47:51.664Z","2019-03-06T16:47:51.664Z",6077,"Dendroctonus valens",77173,114924,52392664,152553,1228028,"e2abcee164944afa7e198beab2b849f3","species","2019-03-06T16:46:13.190Z","2019-06-14T15:27:16.818Z",NA
"7",24884,"E. ligata","taxon",1496,5963,"2019-03-06T16:47:52.022Z","2019-03-06T16:47:52.022Z",5963,"Entomobrya ligata",1602985,99689,1022839,715608,2120783,"e709a122f51219bd8c8ae3a85b02da1d","species","2019-03-06T16:46:05.402Z","2019-06-14T15:27:11.447Z",NA
"8",24885,"Entomobrya sp.","taxon",1496,6080,"2019-03-06T16:47:52.104Z","2019-03-06T16:47:52.104Z",6080,"Entomobrya",187625,99645,28145,5518,NA,"a444aa2d847c9dd25f164452611455c7","genus","2019-03-06T16:46:13.339Z","2019-06-14T15:27:16.875Z",NA
"9",24886,"Pseudachorutes sp.","taxon",1496,6081,"2019-03-06T16:47:52.167Z","2019-03-06T16:47:52.167Z",6081,"Pseudachorutes",52429,100158,110910,96678,NA,"a328afab086639d93df90bef9039fa9d","genus","2019-03-06T16:46:13.401Z","2019-06-14T15:27:16.936Z",NA
"10",24887,"Isotoma sensibilis","taxon",1496,5965,"2019-03-06T16:47:52.198Z","2019-03-06T16:47:52.198Z",5965,"Isotoma sensibilis",NA,99381,1017578,NA,5166934,"f7a2d1b04d468eef47a71b8ededed933","species","2019-03-06T16:46:05.554Z","2019-06-14T15:27:11.562Z",NA
"11",24889,"uropodid sp.","taxon",1496,6083,"2019-03-06T16:47:52.259Z","2019-03-06T16:47:52.259Z",6083,"Uropodidae",281631,154427,3206013,171851,NA,"dca678d4a757c26da244f0cfb16cd84a","family","2019-03-06T16:46:13.517Z","2019-06-14T15:27:16.998Z",NA
"12",24890,"Sciara coprophila larvae","taxon",1496,6084,"2019-03-06T16:47:52.298Z","2019-03-06T16:47:52.298Z",6084,"Bradysia tilicola",1262229,NA,2688475,642398,1488558,"814e753911a71d5a9d5869b496d54d80","species","2019-03-06T16:46:13.565Z","2019-06-14T15:27:17.053Z",NA
"13",24892,"Lonchaea sp. larvae","taxon",1496,5975,"2019-03-06T16:47:52.355Z","2019-03-06T16:47:52.355Z",5975,"Lonchaeidae",198645,142167,436,177374,NA,"caa0048cd6249df29a114ed3f8a82bc5","family","2019-03-06T16:46:06.095Z","2019-06-14T15:27:11.962Z",NA
"14",24894,"Sarcophaga sp. larvae","taxon",1496,5816,"2019-03-06T16:47:52.416Z","2019-03-06T16:47:52.416Z",5816,"Sarcophaga",226134,151827,13651,2362,NA,"e8dd185f1302857c144e98172f8be56c","genus","2019-03-05T16:31:57.910Z","2019-06-14T15:27:03.537Z",NA
"15",24895,"chironomid larvae","taxon",1496,1543,"2019-03-06T16:47:52.442Z","2019-03-06T16:47:52.442Z",1543,"Chironomidae",7149,127917,482,1882,NA,"df82bd09428672183007dc400917c267","family","2019-02-21T22:09:54.363Z","2019-06-14T15:21:23.898Z",NA
"16",24896,"cecidomyid larvae","taxon",1496,1571,"2019-03-06T16:47:52.469Z","2019-03-06T16:47:52.469Z",1571,"Cecidomyiidae",33406,122975,488,1857,NA,"ade5ca7b6ce006fb7d48bc2bbcd0e234","family","2019-02-21T22:09:56.183Z","2019-06-14T15:21:25.522Z",NA
"17",24897,"dolicopodid larvae","taxon",1496,6011,"2019-03-06T16:47:52.498Z","2019-03-06T16:47:52.498Z",6011,"Dolichopodidae",92558,136824,463,166663,NA,"5bd9c91da57e9f6f5a801b96f76e638e","family","2019-03-06T16:46:08.107Z","2019-06-14T15:27:13.891Z",NA
"18",24898,"Dendroides bicolor larvae","taxon",1496,6025,"2019-03-06T16:47:52.537Z","2019-03-06T16:47:52.537Z",6025,"Dendroides bicolor",NA,NA,13809496,NA,NA,NA,NA,"2019-03-06T16:46:10.329Z","2019-06-14T15:27:14.575Z",NA
"19",24900,"Acanthocinus obsoletus larvae","taxon",1496,6088,"2019-03-06T16:47:52.592Z","2019-03-06T16:47:52.592Z",6088,"Acanthocinus obsoletus",NA,702404,977749,155328,8005688,"b53cd3d819fea5301ec428ce59146d66","species","2019-03-06T16:46:13.776Z","2019-06-14T15:27:17.109Z",NA
"20",24901,"Monochammus titillator larvae","taxon",1496,6089,"2019-03-06T16:47:52.616Z","2019-03-06T16:47:52.616Z",6089,"Monochamus titillator",908209,702982,353734,155377,1155824,"4d9f341c915c937738a97b5028b25fd1","species","2019-03-06T16:46:13.854Z","2019-06-14T15:27:17.163Z",NA
"21",24902,"phloem (Pinus spp.)","taxon",1496,6090,"2019-03-06T16:47:52.643Z","2019-03-06T16:47:52.643Z",6090,"Pinus",139271,2419,14031,100249,NA,"5802b2ad2dad3a3bb507f5838a16833e","genus","2019-03-06T16:46:13.902Z","2019-06-14T15:27:17.217Z",NA
"22",24903,"sapwood","taxon",1496,6090,"2019-03-06T16:47:52.692Z","2019-03-06T16:47:52.692Z",6090,"Pinus",139271,2419,14031,100249,NA,"5802b2ad2dad3a3bb507f5838a16833e","genus","2019-03-06T16:46:13.902Z","2019-06-14T15:27:17.217Z",NA
