"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",100100,25090,25104,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.096Z","2019-03-06T19:21:45.096Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",100101,25090,25105,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.140Z","2019-03-06T19:21:45.140Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",100102,25091,25103,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.178Z","2019-03-06T19:21:45.178Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",100103,25091,25104,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.212Z","2019-03-06T19:21:45.212Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",100104,25091,25105,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.249Z","2019-03-06T19:21:45.249Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",100105,25092,25103,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.289Z","2019-03-06T19:21:45.289Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",100106,25092,25104,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.324Z","2019-03-06T19:21:45.324Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",100107,25092,25105,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.357Z","2019-03-06T19:21:45.357Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",100116,25101,25093,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.683Z","2019-03-06T19:21:45.683Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",100117,25101,25094,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.716Z","2019-03-06T19:21:45.716Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"11",100118,25101,25095,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.764Z","2019-03-06T19:21:45.764Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"12",100119,25102,25093,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.795Z","2019-03-06T19:21:45.795Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"13",100120,25102,25094,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.824Z","2019-03-06T19:21:45.824Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"14",100121,25102,25095,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.861Z","2019-03-06T19:21:45.861Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"15",100088,25079,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.628Z","2019-03-06T19:21:44.628Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"16",100089,25080,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.668Z","2019-03-06T19:21:44.668Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"17",100090,25081,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.698Z","2019-03-06T19:21:44.698Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"18",100091,25082,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.733Z","2019-03-06T19:21:44.733Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"19",100092,25083,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.773Z","2019-03-06T19:21:44.773Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"20",100093,25084,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.810Z","2019-03-06T19:21:44.810Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"21",100094,25085,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.853Z","2019-03-06T19:21:44.853Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"22",100095,25086,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.901Z","2019-03-06T19:21:44.901Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"23",100098,25089,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.019Z","2019-03-06T19:21:45.019Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"24",100096,25087,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.939Z","2019-03-06T19:21:44.939Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"25",100097,25088,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.980Z","2019-03-06T19:21:44.980Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"26",100108,25093,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.390Z","2019-03-06T19:21:45.390Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"27",100109,25094,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.423Z","2019-03-06T19:21:45.423Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"28",100110,25095,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.457Z","2019-03-06T19:21:45.457Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
