,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,25079,Pogonomyrmex maricopa,taxon,1499,6211,2019-03-06T19:21:34.925Z,2019-03-06T19:21:34.925Z,6211,Animalia,Insecta,Hymenoptera,Formicidae,Pogonomyrmex maricopa,144040,154234,599424,83523,1325392,9e48400b965b7739792486da762a6201,species,2019-03-06T19:20:20.408Z,2019-06-14T15:27:25.045Z,NA
2,25083,Pheidole militicida,taxon,1499,6215,2019-03-06T19:21:35.093Z,2019-03-06T19:21:35.093Z,6215,Animalia,Insecta,Hymenoptera,Formicidae,Pheidole militicida,458954,581084,448659,78099,1322550,fa0702096aefcbc2988f984a92562c83,species,2019-03-06T19:20:21.105Z,2019-06-14T15:27:25.104Z,NA
3,25084,Canthon ebenus,taxon,1499,6216,2019-03-06T19:21:35.128Z,2019-03-06T19:21:35.128Z,6216,Animalia,Insecta,Coleoptera,Scarabaeidae,Canthon ebenus,NA,927462,50959883,NA,1092740,NA,NA,2019-03-06T19:20:21.268Z,2019-06-14T15:27:25.158Z,NA
4,25085,C. melanus,taxon,1499,6217,2019-03-06T19:21:35.156Z,2019-03-06T19:21:35.156Z,6217,Animalia,Insecta,Coleoptera,Scarabaeidae,Canthon melanus,NA,927473,1045023,379785,1092638,832186d8439080f98d2c7bfc50876d29,species,2019-03-06T19:20:21.436Z,2019-06-14T15:27:25.212Z,NA
5,25086,Phanaeus difformis,taxon,1499,6218,2019-03-06T19:21:35.192Z,2019-03-06T19:21:35.192Z,6218,Animalia,Insecta,Coleoptera,Scarabaeidae,Phanaeus difformis,NA,927644,1044571,379804,1087517,ec60ca6ed6ecc18f2c4a42b9fdad841d,species,2019-03-06T19:20:21.598Z,2019-06-14T15:27:25.270Z,NA
6,25087,Eleodes carbonarius,taxon,1499,6219,2019-03-06T19:21:35.227Z,2019-03-06T19:21:35.227Z,6219,Animalia,Insecta,Coleoptera,Tenebrionidae,Eleodes carbonarius,NA,NA,3275851,NA,NA,NA,NA,2019-03-06T19:20:21.646Z,2019-06-14T15:27:25.326Z,NA
7,25088,E. fusiformis,taxon,1499,6220,2019-03-06T19:21:35.258Z,2019-03-06T19:21:35.258Z,6220,Animalia,Insecta,Coleoptera,Tenebrionidae,Eleodes fusiformis,NA,NA,49867108,382236,9727639,NA,NA,2019-03-06T19:20:21.702Z,2019-06-14T15:27:25.378Z,NA
8,25090,Saprinus pennsylvanicus,taxon,1499,6222,2019-03-06T19:21:35.321Z,2019-03-06T19:21:35.321Z,6222,Animalia,Insecta,Coleoptera,Histeridae,Saprinus pennsylvanicus,NA,NA,49769620,489832,NA,NA,NA,2019-03-06T19:20:21.814Z,2019-06-14T15:27:25.433Z,NA
9,25091,Philonthus sp.,taxon,1499,6223,2019-03-06T19:21:35.358Z,2019-03-06T19:21:35.358Z,6223,Animalia,Insecta,Coleoptera,Staphylinidae,Philonthus,219450,113292,100658,2988,NA,f9c8e15d01053cc4d9392e00105aa412,genus,2019-03-06T19:20:21.878Z,2019-06-14T15:27:25.488Z,NA
10,25092,Aleochara sp.,taxon,1499,6224,2019-03-06T19:21:35.391Z,2019-03-06T19:21:35.391Z,6224,Animalia,Insecta,Coleoptera,Staphylinidae,Aleochara,135866,186399,11130,71378,NA,e82be00af76092815c4aa9c55e3e3e84,genus,2019-03-06T19:20:21.941Z,2019-06-14T15:27:25.541Z,NA
11,25094,R. planifrons,taxon,1499,6226,2019-03-06T19:21:35.449Z,2019-03-06T19:21:35.449Z,6226,Animalia,Insecta,Diptera,Sarcophagidae,Ravinia planifrons,1266476,151884,729720,668221,1483331,3c51039b9ec74b80acf0bd589ded0106,species,2019-03-06T19:20:22.051Z,2019-06-14T15:27:25.596Z,NA
12,25095,Oxysarcodexia conclausa,taxon,1499,6227,2019-03-06T19:21:35.477Z,2019-03-06T19:21:35.477Z,6227,Animalia,Insecta,Diptera,Sarcophagidae,Oxysarcodexia conclausa,NA,NA,781592,853681,1482322,60e2487493d8999ec5a415fd35601535,species,2019-03-06T19:20:22.098Z,2019-06-14T15:27:25.649Z,NA
13,25096,Semiothisa sp.,taxon,1499,6228,2019-03-06T19:21:35.514Z,2019-03-06T19:21:35.514Z,6228,Animalia,Insecta,Lepidoptera,Geometridae,Semiothisa,214344,189257,40449,7706,NA,62669ec26938f09f5b7579abefcdeb51,genus,2019-03-06T19:20:22.147Z,2019-06-14T15:27:25.705Z,NA
14,25097,Bulia deducta,taxon,1499,6229,2019-03-06T19:21:35.546Z,2019-03-06T19:21:35.546Z,6229,Animalia,Insecta,Lepidoptera,Erabidae,Bulia deducta,935717,938021,543404,90038,1767320,dd32cd8a134967552408512411bf8d3b,species,2019-03-06T19:20:22.197Z,2019-06-14T15:27:25.761Z,NA
15,25098,Gryllus integer,taxon,1499,6230,2019-03-06T19:21:35.614Z,2019-03-06T19:21:35.614Z,6230,Animalia,Insecta,Orthoptera,Gryllidae,Gryllus integer,128157,658222,500841,643039,1716719,43aabd0e05d3b45272e1153de4dbdc95,species,2019-03-06T19:20:22.242Z,2019-06-14T15:27:25.813Z,NA
16,25099,Ammobaenetes phrixocnemoides,taxon,1499,6231,2019-03-06T19:21:35.686Z,2019-03-06T19:21:35.686Z,6231,Animalia,Insecta,Orthoptera,Rhaphidophoridae,Ammobaenetes phrixocnemoides,NA,657867,606836,NA,1729321,6de11fc4501554c78bc32f57db161925,species,2019-03-06T19:20:22.299Z,2019-06-14T15:27:25.872Z,NA
17,25100,Stenopelmatus fuscus,taxon,1499,6232,2019-03-06T19:21:35.715Z,2019-03-06T19:21:35.715Z,6232,Animalia,Insecta,Orthoptera,Stenopelmatidae,Stenopelmatus fuscus,202428,102384,606331,487829,1725010,f37e285248d0b03433aa5c5c79b961a7,species,2019-03-06T19:20:22.345Z,2019-06-14T15:27:25.927Z,NA
18,25101,Psilochorus imitatus,taxon,1499,6233,2019-03-06T19:21:35.754Z,2019-03-06T19:21:35.754Z,6233,Animalia,Arachnida,Araneae,Pholcidae,Psilochorus imitatus,2068986,865954,1183685,NA,2149791,10cf302c14d6ab61175183e2a8d9ddda,species,2019-03-06T19:20:22.389Z,2019-06-14T15:27:25.979Z,NA
19,25104,R. planifrons larvae,taxon,1499,6226,2019-03-06T19:21:35.845Z,2019-03-06T19:21:35.845Z,6226,Animalia,Insecta,Diptera,Sarcophagidae,Ravinia planifrons,1266476,151884,729720,668221,1483331,3c51039b9ec74b80acf0bd589ded0106,species,2019-03-06T19:20:22.051Z,2019-06-14T15:27:25.596Z,NA
