"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at"
"1",33119,"fungi","taxon",5013,NA,"2019-03-29T14:42:23.886Z","2019-03-29T14:42:23.886Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",33020,"carrion","taxon",5013,8293,"2019-03-29T14:42:19.046Z","2019-03-29T14:42:19.046Z",NA,8293,"Corvus corone",30422,559494,45510014,17129,NA,"75557ec68199b310e949dccbea936143","species","2019-03-28T20:28:10.796Z","2019-06-14T15:29:20.046Z"
"3",33021,"dung","taxon",5013,5814,"2019-03-29T14:42:19.103Z","2019-03-29T14:42:19.103Z",NA,5814,"Symplocos cochinchinensis laurina",NA,15864,47146626,NA,NA,"2383685ae91d8c85ea9957b0cb1ca26e","infraspecies","2019-03-05T16:31:57.769Z","2019-06-14T15:27:03.429Z"
"4",33022,"Anthriscus sylvestris","taxon",5013,8294,"2019-03-29T14:42:19.157Z","2019-03-29T14:42:19.157Z",NA,8294,"Anthriscus sylvestris",48027,29588,584996,288586,5371742,"6bd99a85b1271a03b7fed58b49203385","species","2019-03-28T20:28:10.893Z","2019-06-14T15:29:20.099Z"
"5",33023,"Carum carvi","taxon",5013,8295,"2019-03-29T14:42:19.214Z","2019-03-29T14:42:19.214Z",NA,8295,"Carum carvi",48032,29610,581712,281574,3034714,"dfc5018fe4956139952c9a37e04a7d16","species","2019-03-28T20:28:11.068Z","2019-06-14T15:29:20.158Z"
"6",33024,"Daucus carota","taxon",5013,2611,"2019-03-29T14:42:19.255Z","2019-03-29T14:42:19.255Z",NA,2611,"Daucus carota",4039,29477,581785,121458,3034742,"d68359be5957bfa4a88d7e8d49c42420","species","2019-02-22T00:24:21.268Z","2019-06-14T15:22:22.034Z"
"7",33025,"Heracleum sphondylium","taxon",5013,8296,"2019-03-29T14:42:19.293Z","2019-03-29T14:42:19.293Z",NA,8296,"Heracleum sphondylium",40919,29671,581673,288860,3034830,"caa067f2cbc2cef0a1f06497e2cb1a1d","species","2019-03-28T20:28:11.183Z","2019-06-14T15:29:20.215Z"
"8",33026,"Pastinaca sativa","taxon",5013,277,"2019-03-29T14:42:19.329Z","2019-03-29T14:42:19.329Z",NA,277,"Pastinaca sativa",4041,29795,581528,124642,8262702,"f5db859c35f7a43a035a73ae91ea32f4","species","2019-02-21T21:17:25.929Z","2019-06-14T15:20:48.339Z"
"9",33027,"Pimpinella major","taxon",5013,8297,"2019-03-29T14:42:19.382Z","2019-03-29T14:42:19.382Z",NA,8297,"Pimpinella major",1000425,29823,581425,459617,5371874,"b34cbecfb7f964d914c79ec2ebc9bd0d","species","2019-03-28T20:28:11.259Z","2019-06-14T15:29:20.281Z"
"10",33028,"Achillea millefolium","taxon",5013,4,"2019-03-29T14:42:19.428Z","2019-03-29T14:42:19.428Z",NA,4,"Achillea millefolium",13329,35423,467225,121416,9221087,"579936b1e1f1d249e9e19afd35f15109","species","2019-02-21T21:17:12.689Z","2019-06-14T15:20:36.386Z"
