"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",103986,26486,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.556Z","2019-03-14T22:20:40.556Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",103987,26487,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.595Z","2019-03-14T22:20:40.595Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",103988,26488,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.635Z","2019-03-14T22:20:40.635Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",103989,26489,26483,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.677Z","2019-03-14T22:20:40.677Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",103990,26489,26484,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.714Z","2019-03-14T22:20:40.714Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",103991,26489,26485,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.747Z","2019-03-14T22:20:40.747Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",103992,26490,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.836Z","2019-03-14T22:20:40.836Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",103993,26491,26483,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.880Z","2019-03-14T22:20:40.880Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",103994,26491,26484,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.929Z","2019-03-14T22:20:40.929Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",103995,26491,26485,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:40.977Z","2019-03-14T22:20:40.977Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"11",103996,26491,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.021Z","2019-03-14T22:20:41.021Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"12",103997,26492,26483,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.069Z","2019-03-14T22:20:41.069Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"13",103998,26492,26484,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.114Z","2019-03-14T22:20:41.114Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"14",103999,26492,26485,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.159Z","2019-03-14T22:20:41.159Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"15",104000,26492,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.211Z","2019-03-14T22:20:41.211Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"16",104001,26493,26483,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.257Z","2019-03-14T22:20:41.257Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"17",104002,26493,26484,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.308Z","2019-03-14T22:20:41.308Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"18",104003,26493,26485,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.375Z","2019-03-14T22:20:41.375Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"19",104004,26493,26482,"1980-05-01T00:00:00.000Z","directed","scavenger","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.418Z","2019-03-14T22:20:41.418Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"20",104005,26494,26483,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.472Z","2019-03-14T22:20:41.472Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"21",104006,26494,26484,"1980-05-01T00:00:00.000Z","directed","predation","field observation and literature",25,1,NA,TRUE,1562,"2019-03-14T22:20:41.525Z","2019-03-14T22:20:41.525Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
