"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",103028,26149,26147,"1976-05-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.662Z","2019-03-14T19:20:23.662Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",103029,26150,26147,"1976-05-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.705Z","2019-03-14T19:20:23.705Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",103030,26151,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.736Z","2019-03-14T19:20:23.736Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",103031,26152,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.779Z","2019-03-14T19:20:23.779Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",103032,26153,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.814Z","2019-03-14T19:20:23.814Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",103033,26154,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.855Z","2019-03-14T19:20:23.855Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",103034,26155,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.886Z","2019-03-14T19:20:23.886Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",103035,26147,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.921Z","2019-03-14T19:20:23.921Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",103036,26156,26147,"1976-05-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.958Z","2019-03-14T19:20:23.958Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",103037,26156,26148,"1976-05-01T00:00:00.000Z","directed","scavenger","field observation",25,1,NA,TRUE,1544,"2019-03-14T19:20:23.992Z","2019-03-14T19:20:23.992Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
