,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,26173,Saprinus discoidalis,taxon,1546,6713,2019-03-14T19:20:28.282Z,2019-03-14T19:20:28.282Z,6713,Animalia,Insecta,Coleoptera,Histeridae,Saprinus discoidalis,NA,728912,991387,489834,1044813,53dcece028b4fb6bf3955ce41292d62b,species,2019-03-14T19:20:06.111Z,2019-06-14T15:27:52.470Z,NA
2,26174,S. pennsylvanicus,taxon,1546,6222,2019-03-14T19:20:28.314Z,2019-03-14T19:20:28.314Z,6222,Animalia,Insecta,Coleoptera,Histeridae,Saprinus pennsylvanicus,NA,NA,49769620,489832,NA,NA,NA,2019-03-06T19:20:21.814Z,2019-06-14T15:27:25.433Z,NA
3,26175,Silpha truncata,taxon,1546,6714,2019-03-14T19:20:28.341Z,2019-03-14T19:20:28.341Z,6714,Animalia,Insecta,Coleoptera,Silphidae,Thanatophilus truncatus,NA,1014341,3383936,591039,8904845,2ebea756fd2d1646858d13a50a5b7cde,species,2019-03-14T19:20:06.164Z,2019-06-14T15:27:52.524Z,NA
4,26176,S. truncata larvae,taxon,1546,6714,2019-03-14T19:20:28.377Z,2019-03-14T19:20:28.377Z,6714,Animalia,Insecta,Coleoptera,Silphidae,Thanatophilus truncatus,NA,1014341,3383936,591039,8904845,2ebea756fd2d1646858d13a50a5b7cde,species,2019-03-14T19:20:06.164Z,2019-06-14T15:27:52.524Z,NA
5,26178,Necrobia rufipes,taxon,1546,6716,2019-03-14T19:20:28.464Z,2019-03-14T19:20:28.464Z,6716,Animalia,Insecta,Coleoptera,Cleridae,Necrobia rufipes,433251,113859,1174593,165974,1161902,fcc9c6a1785ae933474cb13109fbd071,species,2019-03-14T19:20:06.285Z,2019-06-14T15:27:52.581Z,NA
6,26181,Proctacanthella leucopogon,taxon,1546,6719,2019-03-14T19:20:28.585Z,2019-03-14T19:20:28.585Z,6719,Animalia,Insecta,Diptera,Asillidae,Proctacanthella leucopogon,1717612,NA,49862030,768708,9404927,NA,NA,2019-03-14T19:20:06.449Z,2019-06-14T15:27:52.635Z,NA
7,26182,Euxesta sp.,taxon,1546,5569,2019-03-14T19:20:28.621Z,2019-03-14T19:20:28.621Z,5569,Animalia,Insecta,Diptera,Ulidiidae,Euxesta,286468,120200,54559,470669,NA,aae8e3cd64efd8c4632c59c129b58cc8,genus,2019-03-01T18:22:30.272Z,2019-06-14T15:26:50.278Z,NA
8,26183,Piophila sp.,taxon,1546,6720,2019-03-14T19:20:28.656Z,2019-03-14T19:20:28.656Z,6720,Animalia,Insecta,Diptera,Piophilidae,Piophila,53709,143247,54538,365802,NA,3afeaf4a22cd3bc24459a21c32594e55,genus,2019-03-14T19:20:06.515Z,2019-06-14T15:27:52.687Z,NA
9,26184,Musca domestica,taxon,1546,937,2019-03-14T19:20:28.694Z,2019-03-14T19:20:28.694Z,937,Animalia,Insecta,Diptera,Muscidae,Musca domestica,7370,150251,46807345,25385,1524843,aaf65da4ad0b7c133372c12952125e0f,species,2019-02-21T21:17:58.237Z,2019-06-14T15:21:07.974Z,NA
10,26185,Cochliomyia macellaria,taxon,1546,5715,2019-03-14T19:20:28.741Z,2019-03-14T19:20:28.741Z,5715,Animalia,Insecta,Diptera,Muscidae,Musca macellaria,66361,151663,10822956,32670,1502216,cd9a3815689b3b55c87d801a2c6af703,species,2019-03-04T18:22:47.962Z,2019-06-14T15:26:58.027Z,NA
11,26186,C. macellaria larvae,taxon,1546,5715,2019-03-14T19:20:28.769Z,2019-03-14T19:20:28.769Z,5715,Animalia,Insecta,Diptera,Muscidae,Musca macellaria,66361,151663,10822956,32670,1502216,cd9a3815689b3b55c87d801a2c6af703,species,2019-03-04T18:22:47.962Z,2019-06-14T15:26:58.027Z,NA
12,26187,Phaenicia sericata,taxon,1546,1369,2019-03-14T19:20:28.800Z,2019-03-14T19:20:28.800Z,1369,Animalia,Insecta,Diptera,Calliphoridae,Lucilia sericata,13632,NA,757419,26218,5063973,53e38b17f1c8efbb891cc31ccc9dc820,species,2019-02-21T21:18:18.208Z,2019-06-14T15:21:18.374Z,NA
13,26188,P. sericata larvae,taxon,1546,6721,2019-03-14T19:20:28.833Z,2019-03-14T19:20:28.833Z,6721,Animalia,Insecta,Diptera,Calliphoridae,Phaenicia sericata,13632,151622,14980013,NA,NA,NA,NA,2019-03-14T19:20:06.593Z,2019-03-14T19:20:06.593Z,NA
14,26189,Oxysarcodexia ochripyga,taxon,1546,6702,2019-03-14T19:20:28.866Z,2019-03-14T19:20:28.866Z,6702,Animalia,Insecta,Diptera,Sarcophagidae,Oxysarcodexia ochripyga,NA,151839,729748,NA,1482387,ecab6e2b5e3e9ac27602dad3c2b6e9a4,species,2019-03-14T19:20:05.445Z,2019-06-14T15:27:52.039Z,NA
15,26190,O. ochripyga larvae,taxon,1546,6702,2019-03-14T19:20:28.908Z,2019-03-14T19:20:28.908Z,6702,Animalia,Insecta,Diptera,Sarcophagidae,Oxysarcodexia ochripyga,NA,151839,729748,NA,1482387,ecab6e2b5e3e9ac27602dad3c2b6e9a4,species,2019-03-14T19:20:05.445Z,2019-06-14T15:27:52.039Z,NA
16,26192,Pogonomyrmex desertorum,taxon,1546,6706,2019-03-14T19:20:28.968Z,2019-03-14T19:20:28.968Z,6706,Animalia,Insecta,Hymenoptera,Formicidae,Pogonomyrmex desertorum,144038,581433,449713,101120,1325353,f5def998ba405ef6a6561df80db8fd65,species,2019-03-14T19:20:05.668Z,2019-06-14T15:27:52.204Z,NA
17,26193,Solenopsis xyloni,taxon,1546,6709,2019-03-14T19:20:28.997Z,2019-03-14T19:20:28.997Z,6709,Animalia,Insecta,Hymenoptera,Formicidae,Solenopsis xyloni,310435,154242,599614,83895,5035045,b1036acdf23104e1c811b6ee4c21e630,species,2019-03-14T19:20:05.861Z,2019-06-14T15:27:52.305Z,NA
18,26194,carcass,taxon,1546,5515,2019-03-14T19:20:29.028Z,2019-03-14T19:20:29.028Z,5515,NA,,,,Leporidae,9979,50875,1689,1552,NA,7acccf49da3ce5959dd3f762928f9476,family,2019-03-01T16:05:30.224Z,2019-06-14T15:26:47.481Z,NA
