"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",98694,24736,24729,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:48.703Z","2019-03-06T15:58:48.703Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",98695,24736,24730,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:48.797Z","2019-03-06T15:58:48.797Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",98696,24736,24731,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:48.871Z","2019-03-06T15:58:48.871Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",98697,24736,24732,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:48.957Z","2019-03-06T15:58:48.957Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",98698,24737,24732,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:48.998Z","2019-03-06T15:58:48.998Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",98699,24737,24733,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.074Z","2019-03-06T15:58:49.074Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",98700,24737,24734,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.138Z","2019-03-06T15:58:49.138Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",98701,24729,24732,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.222Z","2019-03-06T15:58:49.222Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",98702,24730,24732,"1948-01-01T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.287Z","2019-03-06T15:58:49.287Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",98703,24731,24735,"1948-01-01T00:00:00.000Z","directed","herbivory","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.344Z","2019-03-06T15:58:49.344Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"11",98704,24732,24735,"1948-01-01T00:00:00.000Z","directed","herbivory","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.417Z","2019-03-06T15:58:49.417Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"12",98705,24733,24735,"1948-01-01T00:00:00.000Z","directed","herbivory","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.478Z","2019-03-06T15:58:49.478Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"13",98706,24734,24735,"1948-01-01T00:00:00.000Z","directed","herbivory","field observation",25,1,NA,TRUE,1493,"2019-03-06T15:58:49.539Z","2019-03-06T15:58:49.539Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
