,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
1,24964,rotting wood (Pinus spp.),taxon,1497,6090,2019-03-06T16:48:24.107Z,2019-03-06T16:48:24.107Z,6090,Plantae,,,,Pinus,139271,2419,14031,100249,NA,5802b2ad2dad3a3bb507f5838a16833e,genus,2019-03-06T16:46:13.902Z,2019-06-14T15:27:17.217Z,NA
2,24966,Entomobrya ligata,taxon,1497,5963,2019-03-06T16:48:24.159Z,2019-03-06T16:48:24.159Z,5963,Animalia,Entognatha,,Entomobryidae,Entomobrya ligata,1602985,99689,1022839,715608,2120783,e709a122f51219bd8c8ae3a85b02da1d,species,2019-03-06T16:46:05.402Z,2019-06-14T15:27:11.447Z,NA
3,24968,Entomobrya sp.,taxon,1497,6080,2019-03-06T16:48:24.226Z,2019-03-06T16:48:24.226Z,6080,Animalia,Entognatha,,Entomobryidae,Entomobrya,187625,99645,28145,5518,NA,a444aa2d847c9dd25f164452611455c7,genus,2019-03-06T16:46:13.339Z,2019-06-14T15:27:16.875Z,NA
4,24969,Isotoma sensibilis,taxon,1497,5965,2019-03-06T16:48:24.251Z,2019-03-06T16:48:24.251Z,5965,Animalia,Entognatha,Collembola,Isotomidae,Isotoma sensibilis,NA,99381,1017578,NA,5166934,f7a2d1b04d468eef47a71b8ededed933,species,2019-03-06T16:46:05.554Z,2019-06-14T15:27:11.562Z,NA
5,24970,chironomid larvae,taxon,1497,1543,2019-03-06T16:48:24.277Z,2019-03-06T16:48:24.277Z,1543,Animalia,Insecta,Diptera,Chironomidae,Chironomidae,7149,127917,482,1882,NA,df82bd09428672183007dc400917c267,family,2019-02-21T22:09:54.363Z,2019-06-14T15:21:23.898Z,NA
6,24971,cecidomyid larvae,taxon,1497,1571,2019-03-06T16:48:24.301Z,2019-03-06T16:48:24.301Z,1571,Animalia,Insecta,Diptera,Cecidomyiidae,Cecidomyiidae,33406,122975,488,1857,NA,ade5ca7b6ce006fb7d48bc2bbcd0e234,family,2019-02-21T22:09:56.183Z,2019-06-14T15:21:25.522Z,NA
7,24972,dolicopodid larvae,taxon,1497,6011,2019-03-06T16:48:24.328Z,2019-03-06T16:48:24.328Z,6011,Animalia,Insecta,Diptera,Dolichopodidae,Dolichopodidae,92558,136824,463,166663,NA,5bd9c91da57e9f6f5a801b96f76e638e,family,2019-03-06T16:46:08.107Z,2019-06-14T15:27:13.891Z,NA
8,24974,Leptura sp. larvae,taxon,1497,6137,2019-03-06T16:48:24.381Z,2019-03-06T16:48:24.381Z,6137,Animalia,Insecta,Coleoptera,Cerambycidae,Leptura,41152,95117,9282,107022,NA,a09e8045d9ed4c041df849a2b9ba3ac2,genus,2019-03-06T16:46:18.352Z,2019-06-14T15:27:19.848Z,NA
9,24976,Parcoblatta sp.,taxon,1497,5979,2019-03-06T16:48:24.452Z,2019-03-06T16:48:24.452Z,5979,Animalia,Insecta,Blattodea,Ectobiidae,Parcoblatta,37812,102418,63528,2323,NA,7479d26ece158f402553ea406516a004,genus,2019-03-06T16:46:06.356Z,2019-06-14T15:27:12.121Z,NA
10,24978,Platysoma lecontei,taxon,1497,6024,2019-03-06T16:48:24.511Z,2019-03-06T16:48:24.511Z,6024,Animalia,Insecta,Coleoptera,Histeridae,Platysoma leconti,NA,728715,538501,548575,4990291,822ce364c3b96088bc4779ad0ee42507,species,2019-03-06T16:46:10.168Z,2019-06-14T15:27:14.281Z,NA
11,24979,Alaus myops larvae,taxon,1497,6107,2019-03-06T16:48:24.536Z,2019-03-06T16:48:24.536Z,6107,Animalia,Insecta,Coleoptera,Elateridae,Alaus myops,225337,NA,10448693,173125,6980183,NA,NA,2019-03-06T16:46:14.765Z,2019-06-14T15:27:18.178Z,NA
12,24980,Orthostethus infuscatus larvae,taxon,1497,6027,2019-03-06T16:48:24.568Z,2019-03-06T16:48:24.568Z,6027,Animalia,Insecta,Coleoptera,Elateridae,Orthostethus infuscatus,NA,NA,19664436,659822,6986678,NA,NA,2019-03-06T16:46:10.436Z,2019-06-14T15:27:14.632Z,NA
13,24981,Melanotus sp. larvae,taxon,1497,6109,2019-03-06T16:48:24.591Z,2019-03-06T16:48:24.591Z,6109,Animalia,Insecta,Coleoptera,Elateridae,Melanotus,185570,107951,22026,638500,NA,9bfe1d01bedb858388f3483f3d8aad29,genus,2019-03-06T16:46:14.893Z,2019-06-14T15:27:18.279Z,NA
14,24983,Uloma punctulata,taxon,1497,6138,2019-03-06T16:48:24.649Z,2019-03-06T16:48:24.649Z,6138,Animalia,Insecta,Coleoptera,Tenebrionidae,Uloma punctulata,NA,NA,49292415,382180,9730358,NA,NA,2019-03-06T16:46:18.398Z,2019-06-14T15:27:19.903Z,NA
15,24986,Passalus cornutus,taxon,1497,6051,2019-03-06T16:48:24.752Z,2019-03-06T16:48:24.752Z,6051,Animalia,Insecta,Coleoptera,Passalidae,Odontotaenius disjunctus,295546,929878,2655197,25453,6992074,09580330b9c84a84d0171f5f4c6a6f5a,species,2019-03-06T16:46:11.764Z,2019-06-14T15:27:15.777Z,NA
16,24987,Pseudolucanus capreolus larvae,taxon,1497,6140,2019-03-06T16:48:24.776Z,2019-03-06T16:48:24.776Z,6140,Animalia,Insecta,Coleoptera,Lucanidae,Lucanus capreolus,617990,930039,2655186,379701,7711888,2404e08014ff7f304624516e5fbf75e6,species,2019-03-06T16:46:18.485Z,2019-06-14T15:27:19.961Z,NA
17,24988,Leptinothorax curvispinosus,taxon,1497,5998,2019-03-06T16:48:24.800Z,2019-03-06T16:48:24.800Z,5998,Animalia,Insecta,Hymenoptera,Formicidae,Leptothorax curvispinosus,300111,579502,482737,NA,1323842,08981502051b3e7a9eb7d79dba1b471d,species,2019-03-06T16:46:07.338Z,2019-06-14T15:27:13.325Z,NA
18,24989,Ponera coarctata,taxon,1497,5999,2019-03-06T16:48:24.827Z,2019-03-06T16:48:24.827Z,5999,Animalia,Insecta,Hymenoptera,Formicidae,Ponera coarctata,219805,583949,486046,97492,5035388,641dcc79013337405313f7e3f6ed0f4a,species,2019-03-06T16:46:07.388Z,2019-06-14T15:27:13.378Z,NA
19,24990,lumbricid (undet.),taxon,1497,4737,2019-03-06T16:48:24.850Z,2019-03-06T16:48:24.850Z,4737,Animalia,Clitellata,Haplotaxida,Lumbricidae,Lumbricidae,6392,69165,2564945,25193,NA,4998e281e9963dbd391571a0f4d2c03a,family,2019-02-24T20:46:09.822Z,2019-06-14T15:26:03.910Z,NA
20,24992,Zonitoides arboreus,taxon,1497,6059,2019-03-06T16:48:24.909Z,2019-03-06T16:48:24.909Z,6059,Animalia,Gastropoda,,Gastrodontidae,Zonitoides arboreus,1389669,77291,396091,277721,2295425,75e15fffe037878c861a8605c35c24ea,species,2019-03-06T16:46:12.204Z,2019-06-14T15:27:15.995Z,NA
21,24994,Cambala annulata,taxon,1497,6063,2019-03-06T16:48:24.960Z,2019-03-06T16:48:24.960Z,6063,Animalia,Diplopoda,Spirostreptida,Cambalidae,Cambala annulata,1348319,569929,51547596,NA,1024072,71148f62a682d11e34c9a2fb3490563c,species,2019-03-06T16:46:12.419Z,2019-06-14T15:27:16.145Z,NA
22,24996,Polydesmus serratus,taxon,1497,6065,2019-03-06T16:48:25.042Z,2019-03-06T16:48:25.042Z,6065,Animalia,Diplopoda,Polydesmida,Polydesmidae,Polydesmus serratus,NA,571302,NA,NA,9291474,2c298b4a72ac3a3ef99786610399a6bb,species,2019-03-06T16:46:12.516Z,2019-06-14T15:27:16.198Z,NA
23,24997,Geophilus varians,taxon,1497,6002,2019-03-06T16:48:25.077Z,2019-03-06T16:48:25.077Z,6002,Animalia,Chilopoda,Geophilomorpha,Geophilidae,Geophilus varians,NA,NA,52430806,NA,5179812,8360826f62f04366cef5ca03bf0d27a6,species,2019-03-06T16:46:07.526Z,2019-06-14T15:27:13.486Z,NA
24,24999,Uropoda sp.,taxon,1497,5967,2019-03-06T16:48:25.133Z,2019-03-06T16:48:25.133Z,5967,Animalia,Arachnida,Mesostigmata,Uropodidae,Uropoda,281632,154425,3206115,171852,NA,ce1145c9d648fd99ed12c0dee41f59d9,genus,2019-03-06T16:46:05.668Z,2019-06-14T15:27:11.617Z,NA
25,24965,fungi,taxon,1497,NA,2019-03-06T16:48:24.134Z,2019-03-06T16:48:24.134Z,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,24975,various larvae (unspecified),taxon,1497,NA,2019-03-06T16:48:24.423Z,2019-03-06T16:48:24.423Z,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,24998,Linotaenia bidens,taxon,1497,NA,2019-03-06T16:48:25.104Z,2019-03-06T16:48:25.104Z,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,24973,Derobrachus brunneus larvae,taxon,1497,NA,2019-03-06T16:48:24.352Z,2019-03-06T16:48:24.352Z,NA,Animalia,Insecta,Coleoptera,Cerambycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,24985,Scotobates calcaratus larvae,taxon,1497,NA,2019-03-06T16:48:24.718Z,2019-03-06T16:48:24.718Z,NA,Animalia,Insecta,Coleoptera,Tenebrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,24993,Philomycus carolinensis,taxon,1497,NA,2019-03-06T16:48:24.934Z,2019-03-06T16:48:24.934Z,NA,Animalia,Gastropoda,,Philomycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,24995,Fontaria coriacen,taxon,1497,NA,2019-03-06T16:48:24.984Z,2019-03-06T16:48:24.984Z,NA,Animalia,Diplopoda,Polydesmida,Xystodesmidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,24967,E. corticola,taxon,1497,NA,2019-03-06T16:48:24.200Z,2019-03-06T16:48:24.200Z,NA,Fungi,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,24977,Tachymenis flavicauda,taxon,1497,NA,2019-03-06T16:48:24.486Z,2019-03-06T16:48:24.486Z,NA,Animalia,Insecta,Coleoptera,Dytiscidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,24982,Elater verticinus,taxon,1497,NA,2019-03-06T16:48:24.617Z,2019-03-06T16:48:24.617Z,NA,Animalia,Insecta,Coleoptera,Elateridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,24984,Xylopinus rufipes larvae,taxon,1497,NA,2019-03-06T16:48:24.688Z,2019-03-06T16:48:24.688Z,NA,Animalia,Insecta,Coleoptera,Tenebrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,24991,Polygyra thyriodes,taxon,1497,NA,2019-03-06T16:48:24.878Z,2019-03-06T16:48:24.878Z,NA,Animalia,Gastropoda,,Polygyridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
