"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",100484,25278,25271,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.090Z","2019-03-07T17:18:33.090Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"2",100485,25278,25272,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.131Z","2019-03-07T17:18:33.131Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"3",100486,25278,25273,"1981-03-13T00:00:00.000Z","directed","parasitism","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.163Z","2019-03-07T17:18:33.163Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"4",100487,25271,25274,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.199Z","2019-03-07T17:18:33.199Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"5",100488,25279,25274,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.230Z","2019-03-07T17:18:33.230Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"6",100489,25280,25274,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.261Z","2019-03-07T17:18:33.261Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"7",100490,25277,25273,"1981-03-13T00:00:00.000Z","directed","herbivory","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.296Z","2019-03-07T17:18:33.296Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"8",100491,25281,25272,"1981-03-13T00:00:00.000Z","directed","parasitism","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.337Z","2019-03-07T17:18:33.337Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"9",100492,25282,25272,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.369Z","2019-03-07T17:18:33.369Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"10",100493,25283,25272,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.417Z","2019-03-07T17:18:33.417Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"11",100494,25284,25272,"1981-03-13T00:00:00.000Z","directed","predation","field observation",25,1,NA,TRUE,1510,"2019-03-07T17:18:33.478Z","2019-03-07T17:18:33.478Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
