ID,Year,Order,Species,Extract_ID
Sand 11,2015,Araneae,Heteropoda venatoria,HEV45
Sand 5,2015,Araneae,Heteropoda venatoria,HEV49
Sand 6,2015,Araneae,Heteropoda venatoria,HEV50
Sand 8,2015,Araneae,Heteropoda venatoria,HEV52
Fern 5,2015,Araneae,Heteropoda venatoria,HEV65
Fern 4,2015,Araneae,Heteropoda venatoria,HEV66
Fern 7,2015,Araneae,Heteropoda venatoria,HEV68
Fern 8,2015,Araneae,Heteropoda venatoria,HEV70
Leslie 3,2015,Araneae,Heteropoda venatoria,HEV71
Leslie 11,2015,Araneae,Heteropoda venatoria,HEV74
Leslie 13,2015,Araneae,Heteropoda venatoria,HEV76
Fern 6,2015,Araneae,Heteropoda venatoria,HEV79
Leslie 6,2015,Araneae,Heteropoda venatoria,HEV81
Leslie 5,2015,Araneae,Heteropoda venatoria,HEV82
Leslie 2,2015,Araneae,Heteropoda venatoria,HEV83
Leslie 8,2015,Araneae,Heteropoda venatoria,HEV87
Leslie 4,2015,Araneae,Heteropoda venatoria,HEV88
Leslie 1,2015,Araneae,Heteropoda venatoria,HEV89
Holei 1,2015,Araneae,Heteropoda venatoria,HEV101
Holei 2,2015,Araneae,Heteropoda venatoria,HEV102
Holei 3,2015,Araneae,Heteropoda venatoria,HEV103
Holei 4,2015,Araneae,Heteropoda venatoria,HEV104
Holei 5,2015,Araneae,Heteropoda venatoria,HEV105
Holei 6,2015,Araneae,Heteropoda venatoria,HEV106
Holei 7,2015,Araneae,Heteropoda venatoria,HEV107
Holei 8,2015,Araneae,Heteropoda venatoria,HEV108
Holei 9,2015,Araneae,Heteropoda venatoria,HEV109
Holei 10,2015,Araneae,Heteropoda venatoria,HEV110
Holei 11,2015,Araneae,Heteropoda venatoria,HEV111
East 1,2015,Araneae,Heteropoda venatoria,HEV90
East 2,2015,Araneae,Heteropoda venatoria,HEV91
East 3,2015,Araneae,Heteropoda venatoria,HEV92
East 4,2015,Araneae,Heteropoda venatoria,HEV93
East 5,2015,Araneae,Heteropoda venatoria,HEV94
East 6,2015,Araneae,Heteropoda venatoria,HEV95
East 7,2015,Araneae,Heteropoda venatoria,HEV96
East 8,2015,Araneae,Heteropoda venatoria,HEV97
East 9,2015,Araneae,Heteropoda venatoria,HEV98
East 10,2015,Araneae,Heteropoda venatoria,HEV99
East 11,2015,Araneae,Heteropoda venatoria,HEV100
