ASV,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_24,d__Eukaryota,,,,,,
ASV_47,d__Eukaryota,,,,,,
ASV_137,d__Eukaryota,,,,,,
ASV_139,d__Eukaryota,,,,,,
ASV_162,d__Eukaryota,,,,,,
ASV_209,d__Eukaryota,,,,,,
ASV_241,d__Eukaryota,,,,,,
ASV_255,d__Eukaryota,,,,,,
ASV_288,d__Eukaryota,,,,,,
ASV_290,d__Eukaryota,,,,,,
ASV_317,d__Eukaryota,,,,,,
ASV_319,d__Eukaryota,,,,,,
ASV_329,d__Eukaryota,,,,,,
ASV_337,d__Eukaryota,,,,,,
ASV_354,d__Eukaryota,,,,,,
ASV_357,d__Eukaryota,,,,,,
ASV_382,d__Eukaryota,,,,,,
ASV_404,d__Eukaryota,,,,,,
ASV_406,d__Eukaryota,,,,,,
ASV_426,d__Eukaryota,,,,,,
ASV_429,d__Eukaryota,,,,,,
ASV_461,d__Eukaryota,,,,,,
ASV_467,d__Eukaryota,,,,,,
ASV_478,d__Eukaryota,,,,,,
ASV_514,d__Eukaryota,,,,,,
ASV_555,d__Eukaryota,p__Chordata,c__Actinopteri,o__Salmoniformes,f__Salmonidae,g__Oncorhynchus,s__Oncorhynchus nerka
ASV_446,d__Eukaryota,p__Chordata,c__Actinopteri,o__Salmoniformes,f__Salmonidae,g__Salmo,s__Salmo salar
ASV_143,d__Eukaryota,p__Chordata,c__Mammalia,o__Rodentia,f__Muridae,g__Mus,s__Mus musculus
ASV_212,d__Eukaryota,p__Chordata,c__Mammalia,o__Rodentia,f__Muridae,g__Mus,s__Mus musculus
ASV_223,d__Eukaryota,p__Chordata,c__Mammalia,o__Rodentia,f__Muridae,g__Mus,s__Mus musculus
ASV_502,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,,
ASV_69,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_149,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_200,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_270,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_278,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_302,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_321,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_375,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_391,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_430,d__Eukaryota,p__Chordata,c__Mammalia,o__Primates,f__Hominidae,g__Homo,s__Homo sapiens
ASV_347,d__Eukaryota,p__Chordata,c__Aves,o__Pelecaniformes,f__Sulidae,g__Sula,s__Sula sula
ASV_113,d__Eukaryota,p__Chordata,o__Squamata,,f__Gekkonidae,g__Lepidodactylus,
ASV_352,d__Eukaryota,,,,,,
ASV_602,d__Eukaryota,,,,,,
ASV_463,d__Eukaryota,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Oxyuridae,g__Enterobius,s__Enterobius vermicularis
ASV_328,d__Eukaryota,p__Arthropoda,,,,,
ASV_399,d__Eukaryota,p__Arthropoda,,,,,
ASV_434,d__Eukaryota,p__Arthropoda,,,,,
ASV_452,d__Eukaryota,p__Arthropoda,,,,,
ASV_473,d__Eukaryota,p__Arthropoda,,,,,
ASV_480,d__Eukaryota,p__Arthropoda,,,,,
ASV_500,d__Eukaryota,p__Arthropoda,,,,,
ASV_590,d__Eukaryota,p__Arthropoda,,,,,
ASV_593,d__Eukaryota,p__Arthropoda,,,,,
ASV_596,d__Eukaryota,p__Arthropoda,,,,,
ASV_23,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_148,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_166,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_202,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_204,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_237,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_251,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_256,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_267,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_292,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_330,d__Eukaryota,p__Arthropoda,c__Arachnida,,,,
ASV_518,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,f__Acaridae,,
ASV_168,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,,,
ASV_639,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,,,
ASV_569,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,,,
ASV_71,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,,,
ASV_252,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,,,
ASV_560,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,,,
ASV_56,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Araneidae,g__Neoscona,s__Neoscona theisi
ASV_185,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Araneidae,g__Neoscona,s__Neoscona theisi
ASV_277,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Araneidae,g__Neoscona,s__Neoscona theisi
ASV_2,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_33,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_38,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_52,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_63,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_80,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_106,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_116,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_117,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_126,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_136,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_156,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_160,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_183,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_195,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_197,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_205,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_214,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_224,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_227,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_242,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_259,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_287,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_296,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_311,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_315,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_318,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_332,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_339,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_408,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_472,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_486,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_513,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_528,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_536,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_539,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_654,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_671,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
ASV_704,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Sparassidae,,
