ZOTU,ID
Zotu8,Neoptera
Zotu15,Neoptera
Zotu25,Neoptera
Zotu45,Neoptera
Zotu86,Neoptera
Zotu92,Neoptera
Zotu104,Neoptera
Zotu114,Neoptera
Zotu117,Neoptera
Zotu126,Neoptera
Zotu148,Neoptera
Zotu155,Neoptera
Zotu162,Neoptera
Zotu166,Neoptera
Zotu168,Neoptera
Zotu176,Neoptera
Zotu180,Neoptera
Zotu192,Neoptera
Zotu199,Neoptera
Zotu205,Neoptera
Zotu207,Neoptera
Zotu208,Neoptera
Zotu212,Neoptera
Zotu221,Neoptera
Zotu237,Neoptera
Zotu242,Neoptera
Zotu262,Neoptera
Zotu268,Neoptera
Zotu275,Neoptera
Zotu276,Neoptera
Zotu286,Neoptera
Zotu298,Neoptera
Zotu300,Neoptera
Zotu307,Neoptera
Zotu343,Neoptera
Zotu350,Neoptera
Zotu354,Neoptera
Zotu356,Neoptera
Zotu369,Neoptera
Zotu372,Neoptera
Zotu380,Neoptera
Zotu386,Neoptera
Zotu461,Neoptera
Zotu462,Neoptera
Zotu463,Neoptera
Zotu468,Neoptera
Zotu469,Neoptera
Zotu473,Neoptera
Zotu485,Neoptera
Zotu500,Neoptera
Zotu512,Neoptera
Zotu519,Neoptera
Zotu528,Neoptera
Zotu534,Neoptera
Zotu536,Neoptera
Zotu542,Neoptera
Zotu559,Neoptera
Zotu566,Neoptera
Zotu572,Neoptera
Zotu582,Neoptera
Zotu605,Neoptera
Zotu613,Neoptera
Zotu629,Neoptera
Zotu638,Neoptera
Zotu697,Neoptera
Zotu698,Neoptera
Zotu702,Neoptera
Zotu703,Neoptera
Zotu727,Neoptera
Zotu738,Neoptera
Zotu750,Neoptera
Zotu752,Neoptera
Zotu754,Neoptera
Zotu771,Neoptera
Zotu781,Neoptera
Zotu788,Neoptera
Zotu809,Neoptera
Zotu828,Neoptera
Zotu832,Neoptera
Zotu845,Neoptera
Zotu848,Neoptera
Zotu893,Neoptera
Zotu957,Neoptera
Zotu958,Neoptera
Zotu964,Neoptera
Zotu983,Neoptera
Zotu984,Neoptera
Zotu987,Neoptera
Zotu1016,Neoptera
Zotu1019,Neoptera
Zotu1128,Neoptera
Zotu1205,Neoptera
Zotu1206,Neoptera
Zotu1208,Neoptera
Zotu82,Holometabola
Zotu95,Holometabola
Zotu137,Holometabola
Zotu169,Holometabola
Zotu204,Holometabola
Zotu234,Holometabola
Zotu253,Holometabola
Zotu387,Holometabola
Zotu431,Holometabola
Zotu442,Holometabola
Zotu513,Holometabola
Zotu627,Holometabola
Zotu758,Holometabola
Zotu760,Holometabola
Zotu879,Holometabola
Zotu1073,Holometabola
Zotu1129,Holometabola
Zotu1141,Holometabola
Zotu1155,Holometabola
Zotu1164,Holometabola
Zotu161,Lepidoptera
Zotu537,Lepidoptera
Zotu751,Obtectomera
Zotu270,unclassified Erebidae
Zotu474,Piletocera signiferalis
Zotu364,Lepidoptera sp. sc_03005
Zotu529,Lepidoptera sp. sc_03005
Zotu80,Lepidoptera sp. sc_07152
Zotu974,unclassified Sybra
Zotu989,Nephus sp. PSRU-COC007
Zotu673,Hypothenemus sp. H206
Zotu30,Conoderus pallipes
Zotu230,Dactylosternum abdominale
Zotu657,Philonthus explorator
Zotu134,Diptera
Zotu173,Diptera
Zotu213,Diptera
Zotu844,Diptera
Zotu905,Diptera
Zotu990,Diptera
Zotu1051,Diptera
Zotu1091,Diptera
Zotu258,unclassified Chloropidae
Zotu1140,unclassified Chloropidae
Zotu507,Agromyzidae
Zotu29,Scholastes lonchifer
Zotu1153,Hercostomus unicolor
Zotu382,unclassified Cephalochrysa
Zotu505,Nematocera
Zotu1184,Nematocera
Zotu333,Sciaroidea
Zotu116,Sciaridae
Zotu283,Sciaridae
Zotu841,Culicoides sp. OM-2014
Zotu581,Culex univittatus
Zotu680,Styringomyia didyma
Zotu414,unclassified Limoniidae
Zotu517,unclassified Diptera
Zotu1144,unclassified Diptera
Zotu404,Diptera sp. sc_00793
Zotu856,Hymenoptera
Zotu42,Formicidae
Zotu834,Linepithema humile
Zotu972,Linepithema humile
Zotu238,Nylanderia sp. CHR01
Zotu649,Nylanderia sp. CHR01
Zotu596,Pheidole
Zotu937,Pheidole
Zotu947,Ponera <ants>
Zotu246,Evaniella semaeoda
Zotu495,Evaniella semaeoda
Zotu443,Xiphydria sp. ZJUH 2008002
Zotu1210,Paraneoptera
Zotu940,Aleyrodidae
Zotu509,Saissetia oleae
Zotu455,unclassified Hemiptera
Zotu793,unclassified Hemiptera
Zotu892,unclassified Hemiptera
Zotu932,unclassified Hemiptera
Zotu1003,unclassified Hemiptera
Zotu1099,unclassified Hemiptera
Zotu1100,unclassified Hemiptera
Zotu395,Hemiptera sp. BIOUG03439-H02
Zotu712,Ectopsocus fullawayi
Zotu437,Ectopsocus sp. KY212
Zotu53,Ectopsocidae sp. S150708
Zotu1081,Liposcelis bostrychophila
Zotu586,Echmepteryx madagascariensis
Zotu133,unclassified Lepidopsocidae
Zotu494,unclassified Lepidopsocidae
Zotu90,Thysanoptera
Zotu274,Selenothrips rubrocinctus
Zotu41,Anisolabis
Zotu981,Anisolabis
Zotu49,Blattodea
Zotu84,Blattodea
Zotu106,Blattodea
Zotu165,Blattodea
Zotu282,Blattodea
Zotu346,Blattodea
Zotu400,Blattodea
Zotu416,Blattodea
Zotu797,Blattodea
Zotu872,Blattodea
Zotu139,Diploptera punctata
Zotu153,unclassified Ectobiidae
Zotu70,Periplaneta
Zotu711,Periplaneta
Zotu2,Orthoptera
Zotu31,Orthoptera
Zotu34,Orthoptera
Zotu35,Orthoptera
Zotu37,Orthoptera
Zotu44,Orthoptera
Zotu46,Orthoptera
Zotu52,Orthoptera
Zotu55,Orthoptera
Zotu58,Orthoptera
Zotu65,Orthoptera
Zotu71,Orthoptera
Zotu74,Orthoptera
Zotu79,Orthoptera
Zotu81,Orthoptera
Zotu85,Orthoptera
Zotu88,Orthoptera
Zotu89,Orthoptera
Zotu94,Orthoptera
Zotu97,Orthoptera
Zotu105,Orthoptera
Zotu107,Orthoptera
Zotu119,Orthoptera
Zotu124,Orthoptera
Zotu135,Orthoptera
Zotu145,Orthoptera
Zotu164,Orthoptera
Zotu171,Orthoptera
Zotu190,Orthoptera
Zotu236,Orthoptera
Zotu263,Orthoptera
Zotu284,Orthoptera
Zotu285,Orthoptera
Zotu306,Orthoptera
Zotu313,Orthoptera
Zotu329,Orthoptera
Zotu379,Orthoptera
Zotu413,Orthoptera
Zotu428,Orthoptera
Zotu438,Orthoptera
Zotu504,Orthoptera
Zotu510,Orthoptera
Zotu531,Orthoptera
Zotu532,Orthoptera
Zotu579,Orthoptera
Zotu626,Orthoptera
Zotu644,Orthoptera
Zotu762,Orthoptera
Zotu819,Orthoptera
Zotu870,Orthoptera
Zotu878,Orthoptera
Zotu880,Orthoptera
Zotu924,Orthoptera
Zotu951,Orthoptera
Zotu961,Orthoptera
Zotu967,Orthoptera
Zotu970,Orthoptera
Zotu999,Orthoptera
Zotu1000,Orthoptera
Zotu1034,Orthoptera
Zotu1057,Orthoptera
Zotu1123,Orthoptera
Zotu1181,Orthoptera
Zotu28,Acrididae
Zotu56,Acrididae
Zotu612,Acrididae
Zotu99,Ornebius novarae
Zotu1199,Ornebius novarae
Zotu1039,unclassified Tettigoniidae
