Method,Island,Habitat,Microhabitat,Year,Order,ID,Date Collected ,Extraction ID,Extr_ID2,No. Individuals,Length_mm,Sterilized,Source,Isotope_ID
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,7/24/17,CEN1,,1,20,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/18/17,CEN10,,1,21.7,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/18/17,CEN11,,1,37.7,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN12,,1,30.1,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN13,,1,36.4,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN14,,1,36.8,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN15,,1,29.2,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN16,,1,23,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN17,,1,15,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/3/17,CEN2,,1,22.4,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/3/17,CEN3,,1,17.1,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/3/17,CEN4,,1,38.4,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Class: Chilopoda,Geophilomorpha,8/6/17,CEN6,,1,40.8,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/7/17,CEN7,,1,16.9,NA,FIELD,NA
Hand,Cooper,CN,Soil,2017,Class: Chilopoda,Geophilomorpha,8/18/17,CEN8,,1,19.3,NA,FIELD,NA
Hand,North Fighter,PF,Soil,2017,Class: Chilopoda,Geophilomorpha,8/19/17,CEN9,,1,27.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB1,,5,2.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB1,,5,2.8,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB1,,5,2.6,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB1,,5,3.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB1,,5,3.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB10,,1,10.5,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB12,,1,13.2,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB13,,1,11.3,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB15,,1,9.5,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB16,,1,13.5,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB18,,1,15.8,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB19,,1,11.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB2,,5,2.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB2,,5,3.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB2,,5,3.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB2,,5,3.9,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB2,,5,3.3,NA,FIELD,NA
Hand,Sand,PG,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB20,,1,7.5,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB21,,1,12.7,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB23,,1,7.1,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB24,,1,4.6,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB25,,2,4.7,NA,FIELD,NA
