dada3_input,filtered,dada_f,dada_r,merged,nonchim,final_perc_reads_retained
121423,91632,91590,91568,91052,89005,73.3
109656,68931,68894,68888,68594,66764,60.9
92086,68594,68479,68518,60819,52387,56.9
44435,30813,30809,30807,30789,30782,69.3
108127,81675,81604,81614,73315,66297,61.3
67398,50254,50143,50140,44833,36756,54.5
25508,19637,19581,19586,17417,15954,62.5
65436,45037,45012,45015,44794,43722,66.8
109802,80695,80686,80644,80470,78618,71.6
115887,74585,74570,74536,74253,72062,62.2
115343,77751,77741,77712,77538,76399,66.2
116974,82603,82565,82547,82243,80452,68.8
117063,76172,76163,76153,76149,76149,65
105377,82477,82436,82414,81820,79857,75.8
126133,89875,89762,89712,76711,56630,44.9
112602,88366,88312,88347,88255,87481,77.7
292206,190894,190893,190887,158469,158469,54.2
228003,180418,180410,180414,179340,179340,78.7
207293,163123,163120,163118,100333,100333,48.4
359821,14883,14497,14883,1814,1814,0.5
293896,243284,243279,243277,243272,243272,82.8
208775,188153,188149,188148,188148,188148,90.1
167528,151033,151026,151022,151021,151021,90.1
426315,237565,237555,237563,233022,233022,54.7
111609,91984,91950,91960,91305,90346,80.9
62127,49119,49053,49065,48013,46345,74.6
62313,50982,50878,50779,48504,46613,74.8
51750,43178,43158,43163,42630,42108,81.4
71294,60442,60413,60407,59492,57993,81.3
71578,55190,55148,55138,54116,51769,72.3
77177,65307,65259,65264,63889,62644,81.2
59723,49199,49185,49099,48495,48032,80.4
92376,78820,78740,78746,76839,70819,76.7
76413,61480,61445,61446,60457,58479,76.5
99989,10848,10841,10840,609,609,0.6
104410,13319,13311,13301,472,470,0.5
84605,11219,11210,11195,480,480,0.6
82354,14870,14844,14846,696,696,0.8
116987,17333,17323,17323,588,588,0.5
125015,23610,23605,23604,853,853,0.7
106299,15986,15978,15980,966,966,0.9
92201,76496,76456,76440,75480,74631,80.9
165714,25003,24999,24994,970,970,0.6
95484,15903,15891,15892,704,704,0.7
