Query ID,Best ID,Search DB,Top %,Low %
ASV_1,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_2,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,97.09
ASV_3,Araneae,COI FULL DATABASE (includes records without species designation),100,85.44
ASV_4,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.68,97.41
ASV_5,Theridion melanostictum,COI FULL DATABASE (includes records without species designation),100,91.36
ASV_6,No match,COI FULL DATABASE (includes records without species designation),,
ASV_7,Proteobacteria Arachnida ,COI FULL DATABASE (includes records without species designation),100,98.8
ASV_8,No match,COI FULL DATABASE (includes records without species designation),,
ASV_9,Neoscona theisi,COI FULL DATABASE (includes records without species designation),100,97.73
ASV_10,No match,COI FULL DATABASE (includes records without species designation),,
ASV_11,Platnickina mneon,COI FULL DATABASE (includes records without species designation),100,89.97
ASV_12,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_13,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_14,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_15,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.55
ASV_16,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.75,90.91
ASV_17,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_18,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),100,98.71
ASV_19,No match,COI FULL DATABASE (includes records without species designation),,
ASV_20,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
ASV_21,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.77
ASV_22,Araneae,COI FULL DATABASE (includes records without species designation),98.06,90.42
ASV_23,No match,COI FULL DATABASE (includes records without species designation),,
ASV_24,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_25,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.35,90.61
ASV_26,No match,COI FULL DATABASE (includes records without species designation),,
ASV_27,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.19
ASV_28,Araneae,COI FULL DATABASE (includes records without species designation),98.99,85.44
ASV_29,Orthoptera,COI FULL DATABASE (includes records without species designation),100,84.21
ASV_30,No match,COI FULL DATABASE (includes records without species designation),,
ASV_31,No match,COI FULL DATABASE (includes records without species designation),,
