Query ID,Best ID,Search DB,Top %,Low %
ASV_1,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_2,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.51
ASV_3,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,99.35
ASV_4,Dermaptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_5,No match,COI FULL DATABASE (includes records without species designation),,
ASV_6,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,99.03
ASV_7,No match,COI FULL DATABASE (includes records without species designation),,
ASV_8,No match,COI FULL DATABASE (includes records without species designation),,
ASV_9,Pantala flavescens,COI FULL DATABASE (includes records without species designation),100,98.71
ASV_10,No match,COI FULL DATABASE (includes records without species designation),,
ASV_11,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.79
ASV_12,No match,COI FULL DATABASE (includes records without species designation),,
ASV_13,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.14
ASV_14,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_15,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,85.44
ASV_16,Rickettsiales,COI FULL DATABASE (includes records without species designation),99.44,98.94
ASV_17,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_18,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.44
ASV_19,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_20,Dermaptera,COI FULL DATABASE (includes records without species designation),98.6,85.98
ASV_21,No match,COI FULL DATABASE (includes records without species designation),,
ASV_22,No match,COI FULL DATABASE (includes records without species designation),,
ASV_23,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_24,Wolbachia endosymbiont,COI FULL DATABASE (includes records without species designation),97.12,88.51
ASV_25,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.75,90.91
ASV_26,No match,COI FULL DATABASE (includes records without species designation),,
ASV_27,No match,COI FULL DATABASE (includes records without species designation),,
ASV_28,No match,COI FULL DATABASE (includes records without species designation),,
ASV_29,No match,COI FULL DATABASE (includes records without species designation),,
ASV_30,Dermaptera,COI FULL DATABASE (includes records without species designation),98.95,85.76
ASV_31,No match,COI FULL DATABASE (includes records without species designation),,
ASV_32,No match,COI FULL DATABASE (includes records without species designation),,
ASV_33,Wolbachia endosymbiont,COI FULL DATABASE (includes records without species designation),97.53,88.89
ASV_34,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.19
ASV_35,No match,COI FULL DATABASE (includes records without species designation),,
ASV_36,Dermaptera,COI FULL DATABASE (includes records without species designation),98.95,85.44
ASV_37,No match,COI FULL DATABASE (includes records without species designation),,
ASV_38,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.44
ASV_39,Arthropoda Insecta ,COI FULL DATABASE (includes records without species designation),100,82.03
ASV_40,No match,COI FULL DATABASE (includes records without species designation),,
ASV_41,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.44
ASV_42,No match,COI FULL DATABASE (includes records without species designation),,
ASV_43,2012,COI FULL DATABASE (includes records without species designation),100,90.61
ASV_44,Araneae,COI FULL DATABASE (includes records without species designation),98.06,90.42
ASV_45,No match,COI FULL DATABASE (includes records without species designation),,
ASV_46,No match,COI FULL DATABASE (includes records without species designation),,
ASV_47,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.76
ASV_48,Lepidopsocus marmoratus,COI FULL DATABASE (includes records without species designation),100,87.18
ASV_49,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_50,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.51
ASV_51,Dermaptera,COI FULL DATABASE (includes records without species designation),97.18,85.39
ASV_52,No match,COI FULL DATABASE (includes records without species designation),,
ASV_53,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.77
ASV_54,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,85.76
ASV_55,No match,COI FULL DATABASE (includes records without species designation),,
ASV_56,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_57,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
ASV_58,No match,COI FULL DATABASE (includes records without species designation),,
ASV_59,No match,COI FULL DATABASE (includes records without species designation),,
ASV_60,No match,COI FULL DATABASE (includes records without species designation),,
ASV_61,Dermaptera,COI FULL DATABASE (includes records without species designation),98.95,85.76
ASV_62,No match,COI FULL DATABASE (includes records without species designation),,
ASV_63,No match,COI FULL DATABASE (includes records without species designation),,
ASV_64,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.44
ASV_65,Dermaptera,COI FULL DATABASE (includes records without species designation),99.29,85.29
ASV_66,No match,COI FULL DATABASE (includes records without species designation),,
ASV_67,No match,COI FULL DATABASE (includes records without species designation),,
ASV_68,Dermaptera,COI FULL DATABASE (includes records without species designation),98.94,85.39
ASV_69,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.98
ASV_70,No match,COI FULL DATABASE (includes records without species designation),,
ASV_71,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.45
ASV_72,No match,COI FULL DATABASE (includes records without species designation),,
ASV_73,No match,COI FULL DATABASE (includes records without species designation),,
ASV_74,No match,COI FULL DATABASE (includes records without species designation),,
ASV_75,No match,COI FULL DATABASE (includes records without species designation),,
ASV_76,Orthoptera,COI FULL DATABASE (includes records without species designation),100,84.21
ASV_77,No match,COI FULL DATABASE (includes records without species designation),,
ASV_78,No match,COI FULL DATABASE (includes records without species designation),,
ASV_79,No match,COI FULL DATABASE (includes records without species designation),,
ASV_80,No match,COI FULL DATABASE (includes records without species designation),,
ASV_81,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.76
ASV_82,No match,COI FULL DATABASE (includes records without species designation),,
ASV_83,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.76
ASV_84,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
ASV_85,No match,COI FULL DATABASE (includes records without species designation),,
ASV_86,Dermaptera,COI FULL DATABASE (includes records without species designation),98.6,85.11
ASV_87,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.44
ASV_88,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_89,No match,COI FULL DATABASE (includes records without species designation),,
ASV_90,Dermaptera,COI FULL DATABASE (includes records without species designation),98.6,85.11
ASV_91,No match,COI FULL DATABASE (includes records without species designation),,
ASV_92,No match,COI FULL DATABASE (includes records without species designation),,
ASV_93,No match,COI FULL DATABASE (includes records without species designation),,
ASV_94,No match,COI FULL DATABASE (includes records without species designation),,
ASV_95,Diptera,COI FULL DATABASE (includes records without species designation),100,99.68
ASV_96,2012,COI FULL DATABASE (includes records without species designation),100,90.6
ASV_97,No match,COI FULL DATABASE (includes records without species designation),,
ASV_98,No match,COI FULL DATABASE (includes records without species designation),,
ASV_99,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_100,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.44
