#OTU ID	EUB01	EUB02	EUB03	EUB04	EUB05	EUB06	EUB07	EUB08	EUB09	EUB10	EUB12	EUB13	EUB15	EUB16	EUB18	EUB19	EUB20	EUB21	EUB23	EUB24	EUB25	EUB26	EUB27	EUB28	EUB29	HEV083a	HEV083d	HEV087a	HEV087d	HEV088a
Zotu8	50044	77321	63301	98989	70338	58339	30968	69760	51285	94197	46536	47259	43778	59668	48828	64557	75407	61629	18	29	31	39	32	29	42	0	0	64	58	0
Zotu354	77	93	72	91	58	57	45	61	73	90	90	54	57	56	37	62	138	416	0	0	0	0	0	0	0	0	0	0	0	0
Zotu205	31	108	40	52	1	106	149	69	1	0	0	526	0	319	0	1	508	399	0	0	0	1	0	0	0	0	0	0	0	0
Zotu697	39	95	177	99	66	52	21	65	60	67	48	50	48	55	33	62	74	66	0	0	0	0	0	0	0	0	0	0	0	0
Zotu148	79	105	58	94	46	53	43	110	122	59	58	40	38	58	37	50	223	60	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	859	1341	999	1561	948	848	508	1222	834	1496	766	824	481	915	620	1025	1495	1049	0	0	2	2	1	0	0	0	0	3	1	0
Zotu2	202	330	428	187	540	310	5502	258	774	534	1398	1460	119	516	4534	831	133	37	44	7	27	64	8	16	32	0	0	0	0	0
Zotu82	115	217	317	169	188	209	593	103	272	296	509	561	207	187	1319	316	436	164	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1206	3	4	1	5	1	5	4	0	6	5	5	7	6	5	7	9	8	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu536	57	73	54	98	50	86	39	61	83	98	90	240	47	61	45	97	379	37	0	0	0	0	0	0	1	0	0	0	0	0
Zotu727	4	2	3	5	1	2	4	1	2	4	8	8	0	2	7	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu104	105	219	246	194	183	298	364	169	338	309	428	578	127	290	89	359	496	408	0	0	0	0	0	0	0	0	0	0	0	0
Zotu212	25	41	60	52	56	57	28	32	54	68	57	74	70	37	137	74	74	41	0	0	0	0	0	0	0	0	0	0	0	0
Zotu462	4	9	1	11	0	14	2	12	0	0	0	40	0	29	0	0	47	50	0	0	0	0	0	0	0	0	0	0	0	0
Zotu208	20	18	23	12	0	0	67	0	91	0	137	0	20	0	0	0	174	68	0	0	0	0	0	0	0	0	0	0	0	0
Zotu582	13	15	13	16	21	14	16	13	18	18	33	24	31	27	44	28	26	18	0	0	0	0	0	0	0	0	0	0	0	0
Zotu386	21	22	22	24	8	13	7	22	26	26	13	13	7	12	13	17	43	13	0	0	0	0	0	0	0	0	0	0	0	0
Zotu114	18	58	17	31	0	45	131	24	0	0	1	338	0	211	0	1	373	201	0	0	0	0	0	0	0	0	0	0	0	0
Zotu180	85	106	130	86	41	32	149	33	214	69	314	43	76	46	40	57	403	154	0	0	0	0	0	0	0	0	0	0	0	0
Zotu45	25	46	56	51	38	55	111	39	83	47	206	95	16	34	209	75	235	91	0	0	0	0	0	0	1	0	0	0	0	0
Zotu32	51	166	186	45	326	142	740	175	445	182	303	675	26	205	1528	314	597	134	98	77	88	206	46	54	87	545	147	0	0	8
Zotu207	2	1	2	0	2	1	4	2	0	0	6	1	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu461	9	17	18	7	24	10	8	11	14	17	20	9	14	10	32	12	18	10	0	0	0	0	0	0	0	0	0	0	0	0
Zotu500	33	45	32	49	23	28	23	45	35	44	39	45	22	40	38	50	65	50	0	0	0	0	0	0	0	0	0	0	0	0
Zotu771	11	6	9	8	2	3	1	6	11	4	6	8	3	5	1	7	19	7	0	0	1	0	0	0	0	0	0	0	0	0
Zotu34	4	6	1	1	5	4	78	2	20	9	51	14	2	9	57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu24	10	15	13	2	10	13	92	18	44	30	89	59	8	17	253	15	5	0	0	3	0	0	1	0	1	0	0	0	0	0
Zotu350	7	10	4	16	0	25	11	18	0	0	0	45	0	48	0	0	68	51	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1164	2	4	9	6	2	8	1	5	10	16	7	15	11	4	8	7	14	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu513	7	7	19	10	17	10	12	6	22	19	11	20	21	13	47	21	4	8	0	0	0	0	0	0	0	0	0	0	0	0
Zotu95	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu44	3	3	1	1	2	4	23	6	6	2	20	27	1	0	32	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu781	1	1	1	2	1	2	1	1	3	2	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu221	7	29	22	30	5	18	14	13	65	27	44	49	1	23	46	59	51	1	0	1	0	0	0	0	0	0	0	0	0	0
Zotu196	3	338	1	40	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu528	5	12	2	12	4	1	7	9	15	2	8	2	2	4	2	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0
Zotu168	7	21	15	13	6	10	46	5	46	17	68	69	0	11	142	46	37	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu52	1	2	0	0	1	0	4	0	0	1	0	1	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu9	1	0	0	1	3	1	1	0	2	2	3	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Zotu463	2	6	1	3	0	4	1	3	0	0	0	19	0	20	0	0	24	21	0	0	0	0	0	0	0	0	0	0	0	0
Zotu35	4	14	3	2	8	4	69	3	27	25	51	17	2	13	88	10	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Zotu164	2	0	2	0	2	0	18	0	2	2	6	1	0	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu31	5	13	2	4	41	21	139	1	10	24	38	50	1	22	142	15	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Zotu752	2	19	4	9	0	14	4	10	0	0	0	32	0	47	2	0	47	46	0	0	0	0	0	0	0	0	0	0	0	0
Zotu300	2	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu372	1	1	2	3	1	2	1	0	2	1	1	1	0	2	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu343	3	7	7	6	1	4	4	10	3	8	3	3	1	3	2	3	15	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu559	3	1	0	4	1	0	1	0	1	0	0	5	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu192	1	2	3	3	3	2	6	0	11	3	11	6	5	6	14	6	23	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu701	3	12	2	17	13	7	7	3	3	6	0	6	0	17	0	9	30	16	0	0	0	0	0	0	0	0	0	0	0	0
