#OTU ID	PHH043	PHH044	PHH045	PHH046	PHH047	PHH049	PHH050	PHH051	PHH052	PHH053	PHH054	PHH055	PHH056	PHH057	PHH058	PHH059	PHH060	PHH061	PHH062	PHH063	PHH065	PHH066	PHH067	PHH068	PHH069	PHH070	PHH071	PHH072	PHH073	PHH074	PHH075	QC1a	QC1b	QC1c	QC1d	SCY03	SCY04	SCY07	SCY08	SCY09	SCY10	SCY12	SCY15	SCY16	SCY17
Zotu2	110024	75560	63388	121710	83612	89005	133621	101207	101429	88124	67117	65278	94139	94222	102477	90080	101673	91628	67773	105519	73451	110502	90804	113339	87106	97313	84720	94871	112200	89122	125399	0	0	0	0	0	1	0	7	0	5	7	0	1	1
Zotu388	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu31	1291	759	1782	665	949	1208	2262	1598	2060	848	586	910	724	1213	610	1793	988	834	696	1370	442	971	1410	940	1016	1030	2796	1887	1256	1571	1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu34	689	317	754	378	1124	639	1595	798	1096	343	469	501	383	697	337	913	572	583	578	753	357	546	1111	488	567	498	1477	1225	686	986	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu44	1112	505	1223	589	581	742	1013	1249	1476	326	245	375	544	977	609	1414	930	582	252	864	261	692	582	439	661	613	1781	988	1019	977	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu52	267	110	301	155	207	244	267	411	477	61	65	125	131	311	195	439	323	179	55	233	44	204	188	84	243	160	553	324	321	345	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	1208	451	507	700	2946	1631	2892	2236	1415	1600	2641	1830	1110	1041	828	937	1453	1754	1968	1402	1485	1263	1828	2154	889	766	2047	2732	1712	1255	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu172	125	14	2	13	0	89	38	7	7	15	2	0	76	21	0	65	11	0	0	253	141	10	2	0	14	12	41	36	3	25	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	1679	886	2575	1351	7191	3	5079	6436	1897	1299	4743	3123	846	1501	2165	1606	4437	1272	2937	1	1149	3139	3857	4143	8	1817	2928	4396	4496	3946	3462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	362	168	405	214	284	294	375	541	620	49	93	115	117	406	180	554	382	254	65	286	74	259	278	110	316	193	740	386	366	445	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu107	37	6	33	15	24	25	36	49	59	6	7	19	12	44	17	43	42	18	1	24	9	27	34	12	23	24	64	43	30	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu55	242	66	105	136	256	243	201	469	303	83	101	134	164	218	201	268	315	243	74	202	68	209	110	129	175	95	379	240	319	216	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	927	601	473	429	1215	1054	1289	1108	607	365	323	546	519	598	535	618	815	747	555	819	377	759	649	511	492	448	891	792	853	711	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu164	248	118	135	260	200	164	297	290	257	167	153	141	193	217	181	262	220	170	164	225	122	192	205	193	193	188	234	211	259	215	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu35	700	619	1170	438	834	923	1794	1041	1270	484	339	547	401	979	413	1279	700	570	491	1113	287	777	1179	542	586	602	1879	1378	777	1347	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu66	93	65	49	191	113	73	43	141	92	113	0	27	116	105	72	81	90	87	6	198	53	41	166	29	48	26	63	146	167	37	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu71	100	52	182	86	56	113	148	172	176	34	13	47	58	166	71	230	139	70	32	110	30	85	82	53	81	71	264	117	150	182	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu65	39	14	11	13	11	26	7	41	17	1	0	2	13	23	21	31	31	18	1	18	2	17	5	7	15	9	37	11	32	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
