"","ASV","unique_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Class_bold","Order_bold","Family_bold","Genus_bold","Species_bold","ID_bold","ID_level_bold","ID_level"
"1","ASV_223","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"2","ASV_952","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"3","ASV_1225","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"4","ASV_1499","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"5","ASV_1505","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"6","ASV_1307","Oncorhynchus nerka","d__Eukaryota","p__Chordata","c__Actinopteri","o__Salmoniformes","f__Salmonidae","g__Oncorhynchus","s__Oncorhynchus nerka","","","","","","","","Species"
"7","ASV_352","Mus musculus","d__Eukaryota","p__Chordata","c__Mammalia","o__Rodentia","f__Muridae","g__Mus","s__Mus musculus","","","","","","","","Species"
"8","ASV_537","Mus musculus","d__Eukaryota","p__Chordata","c__Mammalia","o__Rodentia","f__Muridae","g__Mus","s__Mus musculus","","","","","","","","Species"
"9","ASV_572","Mus musculus","d__Eukaryota","p__Chordata","c__Mammalia","o__Rodentia","f__Muridae","g__Mus","s__Mus musculus","","","","","","","","Species"
"10","ASV_1165","Hominidae","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","","","","","","","","","","Family"
"11","ASV_1257","Hominidae","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","","","","","","","","","","Family"
"12","ASV_1679","Hominidae","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","","","","","","","","","","Family"
"13","ASV_166","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"14","ASV_336","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"15","ASV_356","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"16","ASV_506","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"17","ASV_514","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"18","ASV_517","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"19","ASV_533","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"20","ASV_611","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"21","ASV_728","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"22","ASV_755","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"23","ASV_885","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"24","ASV_996","Homo sapiens","d__Eukaryota","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","s__Homo sapiens","","","","","","","","Species"
"25","ASV_310","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"26","ASV_801","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"27","ASV_849","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"28","ASV_1210","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"29","ASV_1447","Eukaryota","d__Eukaryota","","","","","","","","","","","","","","Domain"
"30","ASV_1251","Chromadorea","d__Eukaryota","p__Nematoda","c__Chromadorea","","","","","","","","","","","","Class"
"31","ASV_1072","Enterobius vermicularis","d__Eukaryota","p__Nematoda","c__Chromadorea","o__Rhabditida","f__Oxyuridae","g__Enterobius","s__Enterobius vermicularis","","","","","","","","Species"
"32","ASV_30","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"33","ASV_45","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"34","ASV_144","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"35","ASV_215","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"36","ASV_273","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"37","ASV_285","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"38","ASV_296","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"39","ASV_376","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"40","ASV_476","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"41","ASV_750","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"42","ASV_762","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"43","ASV_816","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"44","ASV_864","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"45","ASV_887","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"46","ASV_915","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"47","ASV_934","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"48","ASV_1045","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"49","ASV_1052","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"50","ASV_1065","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"51","ASV_1099","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"52","ASV_1109","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"53","ASV_1110","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"54","ASV_1162","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
"55","ASV_1383","Arthropoda","d__Eukaryota","p__Arthropoda","","","","","","","","","","","","","Phylum"
