,ASV,unique_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,ID_bold,ID_level,BLAST_unique_ID,blast_Domain,blast_Phylum,blast_Class,blast_Order,blast_Family,blast_Genus,blast_Species
150,ASV_1156,Arthropoda environmental sample,Eukaryota,Arthropoda,,,,,,,,,,,,Phylum,,,,,,,,
148,ASV_936,Buthus mariefranceae,Eukaryota,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus mariefranceae,,,,,,,Species,,,,,,,,
146,ASV_270,Carapoia sp. DNA100446402,Eukaryota,Arthropoda,Arachnida,Araneae,Pholcidae,Carapoia,Carapoia sp. DNA100446402,,,,,,,Species,,,,,,,,
458,ASV_1438,Cardiocondyla minutior,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,Cardiocondyla minutior,Insecta,Hymenoptera,Formicidae,Cardiocondyla,Cardiocondyla minutior,Cardiocondyla minutior,Species,,,,,,,,
149,ASV_926,Centruroides sculpturatus,Eukaryota,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,,,,,,,Species,,,,,,,,
316,ASV_1228,Ceratopogonidae sp. sc,Eukaryota,Arthropoda,Insecta,Diptera,Ceratopogonidae,,Ceratopogonidae sp. sc_02724,,,,,,,Species,,,,,,,,
741,ASV_1357,Ceratopogonidae sp. sc,Eukaryota,Arthropoda,Insecta,Diptera,Ceratopogonidae,,Ceratopogonidae sp. sc_07781,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
438,ASV_1023,Conoderus pallipes,Eukaryota,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Conoderus pallipes,Species,,,,,,,,
435,ASV_39,Conoderus pallipes,Eukaryota,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Conoderus pallipes,Species,,,,,,,,
436,ASV_442,Conoderus pallipes,Eukaryota,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Conoderus pallipes,Species,,,,,,,,
437,ASV_458,Conoderus pallipes,Eukaryota,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,Conoderus pallipes,Species,,,,,,,,
318,ASV_1578,Culex univittatus,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex univittatus,,,,,,,Species,,,,,,,,
317,ASV_558,Culex univittatus,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex univittatus,,,,,,,Species,,,,,,,,
740,ASV_753,Culicoides sp. OM-2014,Eukaryota,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,Culicoides sp. OM-2014,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
134,ASV_1164,Cytaea cf. sinuata JXZ-2013,Eukaryota,Arthropoda,Arachnida,Araneae,Salticidae,Cytaea,Cytaea cf. sinuata JXZ-2013,,,,,,,Species,,,,,,,,
439,ASV_303,Dactylosternum abdominale,Eukaryota,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Dactylosternum,Dactylosternum abdominale,Insecta,Coleoptera,Hydrophilidae,Dactylosternum,Dactylosternum abdominale,Dactylosternum abdominale,Species,,,,,,,,
553,ASV_1636,Dermatophagoides farinae,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides farinae,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,,Dermatophagoides sp. WH_1,Species,,,,,,,,
552,ASV_997,Dermatophagoides farinae,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides farinae,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,,Dermatophagoides sp. WH_1,Species,,,,,,,,
387,ASV_1423,Dermatophagoides pteronyssinus,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides pteronyssinus,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides pteronyssinus,Dermatophagoides pteronyssinus,Species,,,,,,,,
733,ASV_1563,Diadiplosis donaldi,Eukaryota,Arthropoda,Insecta,Diptera,Cecidomyiidae,Diadiplosis,Diadiplosis donaldi,Insecta,Diptera,,,,Diptera,Species,,,,,,,,
468,ASV_181,Diploptera punctata,Eukaryota,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,Diploptera punctata,Species,,,,,,,,
451,ASV_441,Diptera sp. sc,Eukaryota,Arthropoda,Insecta,Diptera,Lonchaeidae,,Diptera sp. sc_00793,Insecta,Diptera,Lonchaeidae,Lamprolonchaea,Lamprolonchaea metatarsata,Lamprolonchaea metatarsata,Species,,,,,,,,
463,ASV_663,Echmepteryx madagascariensis,Eukaryota,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,Echmepteryx,Echmepteryx madagascariensis,Insecta,Psocoptera,Lepidopsocidae,Echmepteryx,Echmepteryx madagascariensis,Echmepteryx madagascariensis,Species,,,,,,,,
758,ASV_66,Ectopsocidae sp. S150708,Eukaryota,Arthropoda,Insecta,Psocoptera,Ectopsocidae,,Ectopsocidae sp. S150708,Insecta,,,,,Psocodea,Species,,,,,,,,
459,ASV_701,Ectopsocus fullawayi,Eukaryota,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus fullawayi,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus fullawayi,Ectopsocus fullawayi,Species,,,,,,,,
757,ASV_469,Ectopsocus sp. KY212,Eukaryota,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus sp. KY212,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,,Ectopsocus sp.,Species,,,,,,,,
31,ASV_1072,Enterobius vermicularis,Eukaryota,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius,Enterobius vermicularis,,,,,,,Species,,,,,,,,
329,ASV_1240,Evaniella semaeoda,Eukaryota,Arthropoda,Insecta,Hymenoptera,Evaniidae,Evaniella,Evaniella semaeoda,,,,,,,Species,,,,,,,,
327,ASV_279,Evaniella semaeoda,Eukaryota,Arthropoda,Insecta,Hymenoptera,Evaniidae,Evaniella,Evaniella semaeoda,,,,,,,Species,,,,,,,,
328,ASV_946,Evaniella semaeoda,Eukaryota,Arthropoda,Insecta,Hymenoptera,Evaniidae,Evaniella,Evaniella semaeoda,,,,,,,Species,,,,,,,,
415,ASV_1338,Hasarius adansoni,Eukaryota,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,Hasarius adansoni,Species,,,,,,,,
414,ASV_94,Hasarius adansoni,Eukaryota,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,Hasarius adansoni,Species,,,,,,,,
338,ASV_490,non-diet,,,,,,,,,,,,,,,Hemiptera,,,,,,,Hemiptera sp. BIOUG03439-H02
310,ASV_990,Hercostomus unicolor,Eukaryota,Arthropoda,Insecta,Diptera,Dolichopodidae,Hercostomus,Hercostomus unicolor,,,,,,,Species,,,,,,,,
