"","ASV","taxonomy"
"1","ASV_223","target"
"2","ASV_952","target"
"3","ASV_1225","target"
"4","ASV_1499","target"
"5","ASV_1505","target"
"6","ASV_1307","target"
"7","ASV_352","target"
"8","ASV_537","target"
"9","ASV_572","target"
"10","ASV_1165","target"
"11","ASV_1257","target"
"12","ASV_1679","target"
"13","ASV_166","target"
"14","ASV_336","target"
"15","ASV_356","target"
"16","ASV_506","target"
"17","ASV_514","target"
"18","ASV_517","target"
"19","ASV_533","target"
"20","ASV_611","target"
"21","ASV_728","target"
"22","ASV_755","target"
"23","ASV_885","target"
"24","ASV_996","target"
"25","ASV_310","target"
"26","ASV_801","target"
"27","ASV_849","target"
"28","ASV_1210","target"
"29","ASV_1447","target"
"30","ASV_1251","target"
"31","ASV_1072","target"
"32","ASV_30","target"
"33","ASV_45","target"
"34","ASV_144","target"
"35","ASV_215","target"
"36","ASV_273","target"
"37","ASV_285","target"
"38","ASV_296","target"
"39","ASV_376","target"
"40","ASV_476","target"
"41","ASV_750","target"
"42","ASV_762","target"
"43","ASV_816","target"
"44","ASV_864","target"
"45","ASV_887","target"
"46","ASV_915","target"
"47","ASV_934","target"
"48","ASV_1045","target"
"49","ASV_1052","target"
"50","ASV_1065","target"
"51","ASV_1099","target"
"52","ASV_1109","target"
"53","ASV_1110","target"
"54","ASV_1162","target"
"55","ASV_1383","target"
"56","ASV_1386","target"
"57","ASV_1389","target"
"58","ASV_1392","target"
"59","ASV_1395","target"
"60","ASV_1405","target"
"61","ASV_1487","target"
"62","ASV_1503","target"
"63","ASV_1729","target"
"64","ASV_193","target"
"65","ASV_265","target"
"66","ASV_269","target"
"67","ASV_1108","target"
"68","ASV_1510","target"
"69","ASV_1666","target"
"70","ASV_434","target"
"71","ASV_1133","target"
"72","ASV_1482","target"
"73","ASV_1363","target"
"74","ASV_886","target"
"75","ASV_90","target"
"76","ASV_103","target"
"77","ASV_104","target"
"78","ASV_105","target"
"79","ASV_107","target"
"80","ASV_111","target"
"81","ASV_129","target"
"82","ASV_160","target"
"83","ASV_178","target"
"84","ASV_229","target"
"85","ASV_234","target"
"86","ASV_263","target"
"87","ASV_295","target"
"88","ASV_316","target"
"89","ASV_323","target"
"90","ASV_341","target"
"91","ASV_358","target"
"92","ASV_366","target"
"93","ASV_373","target"
"94","ASV_387","target"
"95","ASV_389","target"
"96","ASV_429","target"
"97","ASV_548","target"
"98","ASV_557","target"
"99","ASV_594","target"
"100","ASV_597","target"
"101","ASV_638","target"
"102","ASV_656","target"
"103","ASV_723","target"
"104","ASV_732","target"
"105","ASV_759","target"
"106","ASV_760","target"
"107","ASV_770","target"
"108","ASV_847","target"
"109","ASV_863","target"
"110","ASV_871","target"
"111","ASV_913","target"
"112","ASV_914","target"
"113","ASV_969","target"
"114","ASV_971","target"
"115","ASV_978","target"
"116","ASV_1011","target"
"117","ASV_1106","target"
"118","ASV_1243","target"
"119","ASV_1244","target"
"120","ASV_1388","target"
"121","ASV_1391","target"
"122","ASV_119","target"
"123","ASV_192","target"
"124","ASV_534","target"
"125","ASV_709","target"
"126","ASV_714","target"
"127","ASV_752","target"
"128","ASV_942","target"
"129","ASV_1314","target"
