"","HEV07a","HEV10a","HEV11a","HEV12a","HEV13a","HEV14a","HEV15a","HEV16a","HEV17a","HEV18a","HEV20a","HEV21a","HEV22a","HEV23a","HEV24a","HEV25a","HEV26a","HEV27a","HEV29a","HEV07b","HEV10b","HEV11b","HEV12b","HEV13b","HEV14b","HEV15b","HEV16b","HEV17b","HEV18b","HEV20b","HEV21b","HEV22b","HEV23b","HEV24b","HEV25b","HEV26b","HEV27b","HEV29b","HEV07c","HEV10c","HEV11c","HEV12c","HEV13c","HEV14c","HEV15c","HEV16c","HEV17c","HEV18c","HEV20c","HEV21c","HEV22c","HEV23c","HEV24c","HEV25c","HEV26c","HEV27c","HEV29c","HEV07d","HEV10d","HEV11d","HEV12d","HEV13d","HEV14d","HEV15d","HEV16d","HEV17d","HEV18d","HEV20d","HEV21d","HEV22d","HEV23d","HEV24d","HEV25d","HEV26d","HEV27d","HEV29d"
"ASV_1",20114,22200,22459,21439,21676,21392,22435,22372,21398,22447,22437,22350,22330,22523,21931,22253,22360,22282,22411,19929,22020,22351,21227,21363,21321,22362,22305,21227,22286,22316,22073,22203,22506,21720,22170,22255,21951,22258,19897,22122,22449,21353,21610,21238,22372,22319,21417,22415,22413,22311,22319,22517,21825,22198,22401,22185,22435,20338,22248,22537,21645,21786,21413,22442,22367,21468,22451,22443,22356,22395,22532,21903,22282,22410,22259,22406
"ASV_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,2,0,0,0,0,16,1,1,0,0,0,15,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3",0,9,7,0,0,0,1,0,1,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26",0,0,0,0,0,303,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,17,0,0,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36",2247,0,0,0,0,0,22,0,0,0,0,0,0,0,46,0,42,1,9,2407,0,0,0,0,0,28,0,0,0,0,0,0,0,64,0,31,0,6,2439,0,0,0,0,0,16,0,0,0,0,0,0,0,57,0,27,0,3,2048,0,0,0,0,0,16,0,0,0,0,0,0,0,47,0,37,0,9
"ASV_39",0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_41",16,100,0,0,250,324,0,0,415,1,0,0,55,1,0,0,36,0,8,8,96,0,0,210,344,0,0,413,2,0,0,56,1,1,0,27,0,3,19,94,0,0,206,372,0,0,380,1,0,0,70,0,0,0,29,0,4,18,86,0,0,205,357,0,0,399,0,0,0,52,0,0,0,34,0,7
"ASV_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_46",0,0,0,0,0,0,0,0,1,3,0,0,0,0,204,36,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,42,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,225,35,2,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,189,42,1,0,18
"ASV_47",18,0,0,565,10,47,0,0,138,0,0,0,6,0,3,0,0,0,1,21,0,0,592,16,40,0,0,160,0,0,0,6,0,3,0,0,0,1,21,0,0,586,19,43,0,0,157,0,0,0,4,0,3,0,0,0,1,14,0,0,511,14,40,0,0,138,0,0,0,3,0,1,0,0,0,1
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,9,0,0,0,0,31,23,25,6,133,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_56",0,0,0,0,0,134,0,0,263,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,135,0,0,264,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,126,0,0,271,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,138,0,0,248,0,0,0,39,0,0,0,0,0,0
"ASV_59",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_60",0,0,0,58,88,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,42,0,79,0,38,0,51,51,0,0,53,0,62,0,42,0,58,48,39,58,43,114,0,48,42,0,0,0,0,54,0,55,53,0,53,0,0,0,0,0,88,0,0,46,0,0,0,0,0,0,55,0,0,0,0
"ASV_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,182,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,183,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,180,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,164,4,5,5
"ASV_64",0,50,0,20,1,0,13,0,11,13,5,106,0,13,22,28,34,0,2,0,44,0,26,0,0,26,0,13,16,11,104,0,19,39,35,42,0,2,0,49,0,12,0,0,24,0,13,28,16,108,0,19,26,31,34,0,4,0,42,0,20,1,0,18,1,9,7,9,99,0,7,23,31,21,0,3
"ASV_65",0,0,6,0,21,44,0,0,130,2,0,10,20,0,0,0,0,0,0,0,0,6,0,10,36,0,0,127,1,0,11,37,0,0,0,0,0,0,0,0,2,0,24,54,0,0,118,0,0,11,14,0,0,0,0,0,0,0,0,3,0,8,68,0,0,105,0,0,10,19,0,0,0,0,0,0
"ASV_71",0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_72",0,4,0,0,6,36,0,0,51,0,0,0,4,0,0,0,3,0,0,0,1,0,0,14,34,0,0,48,0,0,0,5,0,0,0,1,0,1,0,0,0,0,13,34,0,0,44,0,0,0,3,0,0,0,2,0,0,0,3,0,0,11,43,0,0,47,0,0,0,0,0,0,0,3,0,2
"ASV_75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,64,49,61,61,0,0,62,60,68,70,44,74,0,60,56,65,58,69,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_80",0,0,0,0,0,0,0,0,0,18,41,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,21,49,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,35,42,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0,0,0,0,15,0
"ASV_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,59,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0
"ASV_90",0,0,0,79,1,17,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,20,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,90,5,25,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,8,0,0,34,0,0,0,0,0,0,0,0,0,0
"ASV_91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,2,7,0,36,1,0,24,0,0,0,15,0,0,30,0,0,0,0,0,6,9,0,42,1,0,19,0,0,0,20,0,0,23,0,0,0,0,0,4,4,0,45,0,0,17,1,0,0,22,0,0,39,0,0,0,0,0,6,5,0,20,0,0,17,0,0,0,14,0,0,26,0
"ASV_113",0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_117",0,0,0,0,0,17,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,36,0,0,0,3,0,0,0,0,0,0
"ASV_118",0,0,0,43,0,7,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,40,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,5,0,0,17,0,0,1,2,0,0,0,0,0,0,0,0,0,36,2,3,0,0,16,0,0,0,1,0,0,0,0,0,0
"ASV_124",0,0,0,0,0,0,27,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,46,0,0,0,0,0,0,0
"ASV_131",0,0,0,0,0,0,7,6,1,0,0,5,6,0,29,0,0,10,0,0,0,0,0,5,0,9,2,0,0,0,9,8,2,39,0,0,12,0,0,0,0,0,6,0,9,6,0,0,0,8,6,0,30,0,0,16,0,0,0,0,0,5,0,10,10,3,0,0,9,2,0,23,0,0,10,0
"ASV_132",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"ASV_134",0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_139",0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_149",0,0,0,41,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_154",0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
"ASV_155",0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
"ASV_161",0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,32,0,1,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0
"ASV_181",0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
