"","ASV","Domain","Phylum","Class","Order","Family","Genus","Species","ID_level"
"1","ASV_1156","Eukaryota","Arthropoda","","","","","","Phylum"
"2","ASV_936","Eukaryota","Arthropoda","Arachnida","Scorpiones","Buthidae","Buthus","Buthus mariefranceae","Family"
"3","ASV_270","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Carapoia","Carapoia sp. DNA100446402","Family"
"4","ASV_1438","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","Cardiocondyla minutior","Family"
"5","ASV_926","Eukaryota","Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides","Centruroides sculpturatus","Family"
"6","ASV_1228","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","","Ceratopogonidae sp. sc_02724","Family"
"7","ASV_1357","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","","Ceratopogonidae sp. sc_07781","Family"
"8","ASV_1023","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Family"
"9","ASV_39","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Family"
"10","ASV_442","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Family"
"11","ASV_458","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Family"
"12","ASV_1578","Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex univittatus","Family"
"13","ASV_558","Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex univittatus","Family"
"14","ASV_753","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Culicoides sp. OM-2014","Family"
"15","ASV_1164","Eukaryota","Arthropoda","Arachnida","Araneae","Salticidae","Cytaea","Cytaea cf. sinuata JXZ-2013","Family"
"16","ASV_303","Eukaryota","Arthropoda","Insecta","Coleoptera","Hydrophilidae","Dactylosternum","Dactylosternum abdominale","Family"
