"","Morphospecies","Phylum","Class","Order.1","Family","Body_Length_Mean_mm","Body_Mass_Mean_mg","Body_Mass_SD_mg","Body_Mass_N"
"1","Coleosoma_floridanum","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA,NA,NA
"2","Hasarius_adansoni","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA,NA,NA
"3","Heteropoda_venatoria","Arthropoda","Arachnida","Araneae","Sparassidae",NA,NA,NA,NA
"4","Ischnothyreus_velox","Arthropoda","Arachnida","Araneae","Oonopidae",NA,NA,NA,NA
"5","Lined_theridiid","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA,NA,NA
"6","Menemerus_bivittatus","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA,NA,NA
"7","Messua_felix","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA,NA,NA
"8","Neoscona_theisi","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA,NA,NA
"9","Nesticodes_rufipes","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA,NA,NA
"10","Opopaea_deserticola","Arthropoda","Arachnida","Araneae","Oonopidae",NA,NA,NA,NA
"11","Oonopidae_sp_1","Arthropoda","Arachnida","Araneae","Oonopidae",NA,NA,NA,NA
"12","Orchestina_sp_1","Arthropoda","Arachnida","Araneae","Oonopidae",NA,NA,NA,NA
"13","Phintella_versicolor","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA,NA,NA
"14","Plexippus_paykulli","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA,NA,NA
"15","Blattella_germanica","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"16","Diploptera_punctata","Arthropoda","Insecta","Blattodea","Blaberidae",NA,NA,NA,NA
"17","Margattea_sp_1","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"18","Megamareta_sp_1","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"19","Megamareta_skinny","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"20","Onchostylus_notulatus","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"21","Periplaneta_americana","Arthropoda","Insecta","Blattodea","Blattidae",NA,NA,NA,NA
"22","Periplaneta_australasiae","Arthropoda","Insecta","Blattodea","Blattidae",NA,NA,NA,NA
"23","Supella_longipalpa","Arthropoda","Insecta","Blattodea","Ectobiidae",NA,NA,NA,NA
"24","Mecistocephalus_sp_1","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae",NA,NA,NA,NA
"25","Rattus_rattus","Chordata","Mammalia","Rodentia","Muridae",NA,NA,NA,NA
"26","Dysmicoccus_brevipes","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,NA,NA
"27","Dysmicoccus_neobrevipes","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,NA,NA
"28","Ferrisia_virgata","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,NA,NA
"29","Planococcus_citri","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,NA,NA
"30","Pulvinaria_urbicola","Arthropoda","Insecta","Hemiptera","Coccidae",NA,NA,NA,NA
"31","Brown_Aleocharinae","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA,NA,NA,NA
