res.taxonomy,res.taxonomy.level
Ceratopogonidae,family
Coleoptera,order
Aphidoidea,subfamily
Lepidoptera,order
Brachycera,suborder
Fulgoroidea,subfamily
Cicadina,
Heteroptera,order
Entomobryomorpha,order
Proctotrupoidea,superfamily
Trichoptera,order
Zygoptera,suborder
Araneae,family
Opilionida,order
Anisoptera,suborder
Eupterygini,
Blattodea,family
Oligochaeta,subclass
Sternorrhyncha,suborder
Cicadoidea,subfamily
Saltatoria,suborder
Homoptera,order
Insecta,class
Aphidina,subtribe
Ensifera,suborder
Caelifera,suborder
Diptera,order
Formica s.str. sp,genus
Harpacticoid copepods,
Nematodes,
Foraminifera,class
amoebae,
bacterivorous nematodes,phylum
ciliates,phylum
flagellates,
fungivorous nematodes,phylum
omnivorous nematodes,phylum
predacious nematodes,phylum
root feeding nematodes,phylum
Chaetoderma,genus
Chaetozone,genus
Circeis,genus
Eteone,genus
Chone,genus
Euchone,genus
Tanaidacea,order
copepod nauplii,subclass
Eucentrum sp.,genus
Rotifers,phylum
Ciliates,phylum
Bryozoan,phylum
Nemertean,phylum
green gammaridean,suborder
Oniscidea,suborder
Ephydra,genus
Epipellic flora,
unk a/sm meso,
unk c,
Phytoplankton,
Macroalgae,
renic,
Himasthla B,
Marine detritus,
Trematode,class
Dauerlarvae,
Amoebae,
Flagellatae,
Nilotanypus,genus
Tanytarsini,tribe
Thienemanniella,genus
Thienemannimyia,genus
Athripsodes,genus
Hydracarina,order
Corynoneura,genus
Pseudosmittia,genus
Zavrelimyia,genus
Dicranota,genus
Limnophyes,genus
Zooplankton,
Amphipoda,order
Asteroids,
Barnacles,subclass
Bivalvia,class
Bryozoans,phylum
Crabs,superfamily
Echinoids,subphylum
Gastropoda,class
Hemichordates,phylum
Holothurians,phylum
Hydrozoans,class
Microfauna,
Octopuses,order
Ophiuroids,order
Polychaetes,class
Sea anemones,order
Sea Fan,order
Shrimps,order
Spiny Lobsters,order
Sponges,phylum
Squids,superorder
Stony corals,phylum
Tunicates,superphylum
Chitons,family
Hermit crabs,order
Scaphopoda,subphylum
Stomatopods,order
Tanaids,order
Isopoda,order
Lasioseius sp.,genus
Telonemus,genus
Lapisma sp.,genus
Terrestrial Invertebrates,
Terrestrial invertebrates,
Terrestial invertebrates,
Unknown orthoclad,subfamily
Meiofauna,
Copepoda,order
Nematoda,phylum
Nemertea,phylum
Olivancillaria sp.,genus
Porifera,phylum
Priapulida,phylum
zooplancton,
Acari,subclass
