res.taxonomy,res.taxonomy.level.f,res.taxonomy.level.fb
Ceratopogonidae,family,family
Coleoptera,order,order
Aphidoidea,subfamily,family
Lepidoptera,order,order
Brachycera,suborder,order
Fulgoroidea,subfamily,family
Cicadina,,
Heteroptera,order,order
Entomobryomorpha,order,order
Proctotrupoidea,superfamily,family
Trichoptera,order,order
Zygoptera,suborder,order
Araneae,family,family
Opilionida,order,order
Anisoptera,suborder,order
Eupterygini,,
Blattodea,family,family
Oligochaeta,subclass,class
Sternorrhyncha,suborder,order
Cicadoidea,subfamily,family
Saltatoria,suborder,order
Homoptera,order,order
Insecta,class,class
Aphidina,subtribe,family
Ensifera,suborder,order
Caelifera,suborder,order
Diptera,order,order
Formica s.str. sp,genus,genus
Harpacticoid copepods,,
Nematodes,,
Foraminifera,class,class
amoebae,,
bacterivorous nematodes,phylum,phylum
ciliates,phylum,phylum
flagellates,,
fungivorous nematodes,phylum,phylum
omnivorous nematodes,phylum,phylum
predacious nematodes,phylum,phylum
root feeding nematodes,phylum,phylum
Chaetoderma,genus,genus
Chaetozone,genus,genus
Circeis,genus,genus
Eteone,genus,genus
Chone,genus,genus
Euchone,genus,genus
Tanaidacea,order,order
copepod nauplii,subclass,class
Eucentrum sp.,genus,genus
Rotifers,phylum,phylum
Ciliates,phylum,phylum
Bryozoan,phylum,phylum
Nemertean,phylum,phylum
green gammaridean,suborder,order
Oniscidea,suborder,order
Ephydra,genus,genus
Epipellic flora,,
unk a/sm meso,,
unk c,,
Phytoplankton,,
Macroalgae,,
renic,,
Himasthla B,,
Marine detritus,,
Trematode,class,class
Dauerlarvae,,
Amoebae,,
Flagellatae,,
Nilotanypus,genus,genus
Tanytarsini,tribe,family
Thienemanniella,genus,genus
Thienemannimyia,genus,genus
Athripsodes,genus,genus
Hydracarina,order,order
Corynoneura,genus,genus
Pseudosmittia,genus,genus
Zavrelimyia,genus,genus
Dicranota,genus,genus
Limnophyes,genus,genus
Zooplankton,,
Amphipoda,order,order
Asteroids,,
Barnacles,subclass,class
Bivalvia,class,class
Bryozoans,phylum,phylum
Crabs,superfamily,family
Echinoids,subphylum,phylum
Gastropoda,class,class
Hemichordates,phylum,phylum
Holothurians,phylum,phylum
Hydrozoans,class,class
Microfauna,,
Octopuses,order,order
Ophiuroids,order,order
Polychaetes,class,class
Sea anemones,order,order
Sea Fan,order,order
Shrimps,order,order
Spiny Lobsters,order,order
Sponges,phylum,phylum
Squids,superorder,order
Stony corals,phylum,phylum
Tunicates,superphylum,phylum
Chitons,family,family
Hermit crabs,order,order
Scaphopoda,subphylum,phylum
Stomatopods,order,order
Tanaids,order,order
Isopoda,order,order
Lasioseius sp.,genus,genus
Telonemus,genus,genus
Lapisma sp.,genus,genus
Terrestrial Invertebrates,,
Terrestrial invertebrates,,
Terrestial invertebrates,,
Unknown orthoclad,subfamily,family
Meiofauna,,
Copepoda,order,order
Nematoda,phylum,phylum
Nemertea,phylum,phylum
Olivancillaria sp.,genus,genus
Porifera,phylum,phylum
Priapulida,phylum,phylum
zooplancton,,
Acari,subclass,class
