"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class"
"1","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.1,NA,"Ana_UG","Arachnida"
"2","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3,NA,"Ana_UG","Arachnida"
"3","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida"
"4","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.4,NA,"Ana_UG","Arachnida"
"5","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.8,NA,"Ana_UG","Arachnida"
"6","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.95,NA,"Ana_UG","Arachnida"
"7","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",12.4,NA,"Ana_UG","Arachnida"
"8","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.5,NA,"Ana_UG","Arachnida"
"9","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2.8,NA,"Ana_UG","Arachnida"
"10","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.75,NA,"Ana_UG","Arachnida"
"11","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.2,NA,"Ana_UG","Arachnida"
"12","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.9,NA,"Ana_UG","Arachnida"
"13","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.93,NA,"Ana_UG","Arachnida"
"14","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.9,NA,"Ana_UG","Arachnida"
"15","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.9,NA,"Ana_UG","Arachnida"
"16","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.3,NA,"Ana_UG","Arachnida"
"17","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.5,NA,"Ana_UG","Arachnida"
"18","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10,NA,"Ana_UG","Arachnida"
"19","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10,NA,"Ana_UG","Arachnida"
"20","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida"
"21","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2,NA,"Ana_UG","Arachnida"
"22","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2,NA,"Ana_UG","Arachnida"
"23","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.58,NA,"Ana_UG","Arachnida"
"24","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",23,NA,"Ana_UG","Arachnida"
"25","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida"
"26","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida"
"27","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.4,1.42,"Ana_UG","Arachnida"
"28","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.1,1.73,"Ana_UG","Arachnida"
"29","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.3,2,"Ana_UG","Arachnida"
"30","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.2,3,"Ana_UG","Arachnida"
"31","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.8,3.89,"Ana_UG","Arachnida"
"32","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.6,6.24,"Ana_UG","Arachnida"
"33","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.5,6.5,"Ana_UG","Arachnida"
"34","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.4,7,"Ana_UG","Arachnida"
"35","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13,7.3,"Ana_UG","Arachnida"
"36","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8,10,"Ana_UG","Arachnida"
"37","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",6.71,10,"Ana_UG","Arachnida"
"38","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.51,10,"Ana_UG","Arachnida"
"39","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.5,10,"Ana_UG","Arachnida"
"40","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.96,10,"Ana_UG","Arachnida"
"41","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.19,10,"Ana_UG","Arachnida"
