"","food.web","interaction","consumer","resource","mass","Genus","Family","Order","Class","Phylum","Kingdom","sp"
"1",7,1,778,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"2",26,1,778,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"3",10,1,778,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"4",14,1,778,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"5",14,1,789,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"6",7,1,790,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"7",14,1,790,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"8",26,1,797,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"9",1,1,797,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"10",10,1,797,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"11",26,1,798,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"12",18,1,799,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"13",7,1,799,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"14",1,1,799,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"15",10,1,799,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"16",48,1,800,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"17",18,1,800,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"18",7,1,800,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"19",26,1,812,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"20",7,1,812,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"21",18,1,832,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"22",26,1,835,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"23",48,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"24",7,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"25",26,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"26",14,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"27",18,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"28",1,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"29",10,1,839,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"30",14,1,848,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"31",1,1,848,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"32",7,1,848,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"33",26,1,851,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"34",48,1,860,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"35",18,1,860,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"36",7,1,862,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"37",18,1,862,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"38",48,1,874,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"39",10,1,877,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"40",18,1,877,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"41",14,1,877,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"42",26,1,878,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"43",18,1,880,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"44",10,1,880,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"45",1,1,880,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"46",26,1,880,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"47",14,1,883,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"48",18,1,897,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"49",1,1,915,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"50",10,1,915,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"51",10,1,916,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"52",1,1,916,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"53",26,1,919,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"54",18,1,919,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"55",26,1,921,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"56",26,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"57",14,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"58",48,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"59",7,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"60",10,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"61",1,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"62",18,1,924,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"63",18,1,925,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"64",1,1,925,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"65",48,1,925,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"66",10,1,925,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"67",14,1,925,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"68",26,1,927,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"69",48,1,927,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"70",18,1,927,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"71",14,1,930,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"72",1,1,952,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"73",48,1,1078,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"74",48,1,1079,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
