"","food.web","interaction","consumer","resource","pred_mass","prey_mass"
"1",1,0,666,666,0.010170915,0.010170915
"2",26,0,666,666,0.010170915,0.010170915
"3",7,0,666,666,0.010170915,0.010170915
"4",14,0,666,666,0.010170915,0.010170915
"5",10,0,666,666,0.010170915,0.010170915
"6",48,0,666,666,0.010170915,0.010170915
"7",18,0,666,666,0.010170915,0.010170915
"8",14,0,765,666,7.418932388,0.010170915
"9",1,0,766,666,1.385543185,0.010170915
"10",7,0,769,666,2.73111602,0.010170915
"11",48,0,773,666,3.631715105,0.010170915
"12",14,0,773,666,3.631715105,0.010170915
"13",26,0,773,666,3.631715105,0.010170915
"14",48,0,774,666,1.333964254,0.010170915
"15",26,0,676,666,0.006754651,0.010170915
"16",7,0,776,666,11.60101425,0.010170915
"17",14,0,776,666,11.60101425,0.010170915
"18",26,0,776,666,11.60101425,0.010170915
"19",7,1,778,666,0.471002361,0.010170915
"20",26,1,778,666,0.471002361,0.010170915
"21",10,1,778,666,0.471002361,0.010170915
"22",14,1,778,666,0.471002361,0.010170915
"23",26,0,779,666,47.28724793,0.010170915
"24",7,0,780,666,7.401825263,0.010170915
"25",1,0,781,666,0.510973733,0.010170915
"26",26,0,782,666,0.875669041,0.010170915
"27",14,0,782,666,0.875669041,0.010170915
"28",7,0,782,666,0.875669041,0.010170915
"29",1,0,783,666,0.184086573,0.010170915
"30",48,0,783,666,0.184086573,0.010170915
"31",1,0,784,666,0.283672179,0.010170915
"32",26,0,677,666,0.005410991,0.010170915
"33",18,0,786,666,0.513792985,0.010170915
"34",14,1,789,666,0.326196243,0.010170915
"35",7,1,790,666,0.392886184,0.010170915
"36",14,1,790,666,0.392886184,0.010170915
"37",18,0,791,666,0.456893556,0.010170915
"38",7,0,791,666,0.456893556,0.010170915
"39",10,0,792,666,0.432220049,0.010170915
"40",26,0,678,666,0.005410991,0.010170915
"41",10,0,794,666,0.34998711,0.010170915
"42",26,0,795,666,0.065979831,0.010170915
"43",26,1,797,666,0.690190368,0.010170915
"44",1,1,797,666,0.690190368,0.010170915
"45",10,1,797,666,0.690190368,0.010170915
"46",26,1,798,666,0.426637697,0.010170915
"47",18,1,799,666,0.743497907,0.010170915
"48",7,1,799,666,0.743497907,0.010170915
"49",1,1,799,666,0.743497907,0.010170915
"50",10,1,799,666,0.743497907,0.010170915
"51",48,1,800,666,0.175231136,0.010170915
"52",18,1,800,666,0.175231136,0.010170915
"53",7,1,800,666,0.175231136,0.010170915
"54",7,0,679,666,0.005410991,0.010170915
"55",14,0,679,666,0.005410991,0.010170915
"56",1,0,679,666,0.005410991,0.010170915
"57",48,0,679,666,0.005410991,0.010170915
"58",10,0,679,666,0.005410991,0.010170915
"59",26,0,679,666,0.005410991,0.010170915
"60",18,0,679,666,0.005410991,0.010170915
