,taxon_Family,trophic_group,predatory_omnivory,Notes
1,Formicidae,omnivore,yes,
2,Silphidae,herbivore,,
3,Histeridae,omnivore,yes,
4,Araneomorphae,predator,,
5,Pholcidae,predator,,
6,Staphylinidae,predator,,
7,,,,
8,Carabidae,omnivore,yes,
9,Geophilidae,predator,,
10,Henicopoidae,predator,,
11,Lithobiidae,predator,,
12,Thomisidae,predator,,
13,Forficulidae,omnivore,yes,
14,Nabidae,predator,,
15,Anthicidae,omnivore,yes,
16,Cantharidae,predator,,
17,Hydrophilidae,detritovore,,
18,Agelenidae,predator,,
19,Araneidae,predator,,
20,Dictynidae,predator,,
21,Linyphiidae,predator,,
22,Lycosidae,predator,,
23,Salticidae,predator,,
24,Aeolothripidae,omnivore,yes,
25,Bolboceratidae,herbivore,,
26,Gnaphosidae,predator,,
27,Phrurolithidae,predator,,
28,Kateretidae,herbivore,,
29,Leiodidae,detritovore,,
30,Phalangiidae,predator,,
31,Theridiidae,predator,,
32,Hahniidae,predator,,
33,Pisauridae,predator,,
34,Miturgidae,predator,,
35,Tetragnathidae,predator,,
36,Philodromidae,predator,,
37,Miridae,omnivore,yes,
38,Nemastomatidae,predator,,
39,Coccinellidae,predator,,
40,Trogulidae,predator,,
41,Sclerosomatidae,predator,,
42,Anthocoridae,predator,,
43,Melyridae,herbivore,,
44,Elateridae,omnivore,yes,
45,Braconidae,parasitoid,,
46,Reduviidae,predator,,
47,Cleridae,omnivore,yes,
48,Asillidae,diet,,
49,Tachinidae,parasitoid,,
50,Crabronidae,parasitoid,,
51,Pompillidae,parasitoid,,
52,Coccinelidae,predator,,
53,Syrphidae,herbivore,,
54,Sphecidae,predator,,
55,Muscidae,detritovore,,
56,Dolichopodidae,predator,,
57,Phoridae,omnivore,yes,
58,Linotaeniidae,predator,,
59,Chthoniidae,predator,,
60,Parasitidae,predator,,
61,Megisthanidae,predator,,
62,Digamasellidae,predator,,
63,Cecidomyiidae,omnivore,yes,
64,Scolopendridae,predator,,
65,Cryptopidae,predator,,
66,Chernetidae,predator,,
67,Trombidiidae,predator,,
68,Trogossitidae,predator,,
69,Monotomidae,herbivore,,
70,Sciaridae,omnivore,no,detritus and plants
71,Xylophagidae,omnivore,yes,
72,Pseudoscorionidae,predator,,
73,Cheliferidae,predator,,
74,Dytiscidae,predator,,
75,Chelydridae,omnivore,yes,
76,Uropodidae,predator,,
77,Acaridae,omnivore,no,
78,NA,,,
79,Gryllidae,omnivore,yes,
80,Pentatomidae,omnivore,yes,
81,Largidae,herbivore,,
82,Chalcididae,parasitoid,,
83,Aphididae,herbivore,,
84,Chrysomelidae,herbivore,,
85,Curculionidae,herbivore,,
86,Lyonetiidae,herbivore,,
87,Psyllidae,herbivore,,
88,Sminthuridae,omnivore,no,
89,Bourletiellidae,omnivore,no,
90,Catopidae,detritovore,,
91,Entomobryidae,omnivore,no,
92,Isotomidae,omnivore,no,
93,Lampyridae,omnivore,yes,
94,Liodidae,predator,,
95,Pselaphidae,predator,,
96,Ptilidae,omnivore,no,
97,Scydmanidae,predator,,
98,Neanuridae,omnivore,no,
99,Amaurobiidae,predator,,
100,Clubionidae,predator,,
101,Tettigoniidae,omnivore,yes,
102,Araneidae,predator,,
103,Libellulidae,predator,,
104,Pholcidae,predator,,
105,Theridiidae,predator,,
106,Mecistocephalidae,predator,,
107,Platystomatidae,omnivore,no,
108,Acrididae,herbivore,,
109,Elateridae,herbivore,,
110,Muridae,omnivore,,
111,Anisolabididae,omnivore,yes,
112,Formicidae,omnivore,yes,
113,Ectopsocidae,omnivore,no,
114,Blaberidae,detritovore,,
115,Agonoxenidae,herbivore,,
116,Mogoplistidae,herbivore,,
117,Blattidae,detritovore,,
118,Salticidae,predator,,
119,Entomobryidae,,,
120,Isotomidae,,,
121,Himantariidae,,,
122,Ectobiidae,,,
123,Sciaridae,,,
124,Hominidae,omnivore,yes,
125,Chloropidae,,,
126,Scytodidae,,,
127,Evaniidae,,,
128,Oonopidae,,,
129,Hydrophilidae,,,
130,Erebidae,,,
131,Thripidae,,,
132,Tineidae,,,
133,Limoniidae,,,
134,Stratiomyidae,,,
135,Lonchaeidae,,,
136,Coccidae,,,
137,Staphylinidae,,,
138,Agromyzidae,,,
139,Crambidae,,,
140,Dolichopodidae,,,
141,Culicidae,,,
142,Lepidopsocidae,,,
143,Curculionidae,,,
144,Suidasiidae,,,
145,Ceratopogonidae,,,
146,Acaridae,,,
147,Sulidae,,,
148,Liposcelididae,,,
149,Coccinellidae,,,
150,Psychodidae,,,
151,Buthidae,,,
152,Aleyrodidae,,,
153,Branchipodidae,,,
154,Pyroglyphidae,,,
155,Salmonidae,,,
156,Oxyuridae,,,
157,Myopsocidae,,,
158,Philosciidae,,,
159,Oxyopidae,,,
160,Bourletiellidae,,,
161,Cecidomyiidae,,,
162,Oryidae,,,
163,Eulophidae,,,
164,Calliphoridae,,,
165,Phoridae,,,
166,Encyrtidae,,,
167,Sminthuridae,,,
168,Pseudococcidae,,,
169,Sparassidae,,,
