,taxon_Family,trophic_group,predatory_omnivory,broad_tp
46,Acaridae,omnivore,no,basal
8,Acrididae,herbivore,,basal
15,Agonoxenidae,herbivore,,basal
38,Agromyzidae,herbivore,,basal
52,Aleyrodidae,herbivore,,basal
11,Anisolabididae,omnivore,yes,omnivorous
2,Araneidae,predator,,predatory
14,Blaberidae,detritovore,,basal
17,Blattidae,detritovore,,basal
60,Bourletiellidae,omnivore,no,basal
53,Branchipodidae,omnivore,no,basal
51,Buthidae,predator,,predatory
64,Calliphoridae,detritovore,,basal
61,Cecidomyiidae,omnivore,yes,omnivorous
45,Ceratopogonidae,omnivore,yes,omnivorous
25,Chloropidae,omnivore,yes,omnivorous
36,Coccidae,herbivore,,basal
49,Coccinellidae,predator,,predatory
39,Crambidae,herbivore,,basal
41,Culicidae,parasitoid,,predatory
43,Curculionidae,herbivore,,basal
40,Dolichopodidae,predator,,predatory
22,Ectobiidae,detritovore,,basal
13,Ectopsocidae,omnivore,no,basal
9,Elateridae,herbivore,,basal
66,Encyrtidae,parasitoid,,predatory
19,Entomobryidae,omnivore,no,basal
30,Erebidae,herbivore,,basal
63,Eulophidae,parasitoid,,predatory
27,Evaniidae,predator,,predatory
12,Formicidae,omnivore,yes,omnivorous
21,Himantariidae,predator,,predatory
24,Hominidae,,,
29,Hydrophilidae,detritovore,,basal
20,Isotomidae,omnivore,no,basal
42,Lepidopsocidae,herbivore,,basal
3,Libellulidae,predator,,predatory
33,Limoniidae,omnivore,yes,omnivorous
48,Liposcelididae,herbivore,,basal
35,Lonchaeidae,omnivore,no,basal
6,Mecistocephalidae,predator,,predatory
16,Mogoplistidae,herbivore,,basal
10,Muridae,,,
57,Myopsocidae,herbivore,,basal
28,Oonopidae,predator,,predatory
62,Oryidae,predator,,predatory
59,Oxyopidae,predator,,predatory
56,Oxyuridae,parasite,,
58,Philosciidae,detritovore,,basal
4,Pholcidae,predator,,predatory
65,Phoridae,m,yes,omnivorous
7,Platystomatidae,omnivore,no,basal
68,Pseudococcidae,herbivore,,basal
50,Psychodidae,detritovore,,basal
54,Pyroglyphidae,detritovore,,basal
55,Salmonidae,,,
18,Salticidae,predator,,predatory
23,Sciaridae,omnivore,no,basal
26,Scytodidae,predator,,predatory
67,Sminthuridae,omnivore,no,basal
69,Sparassidae,predator,,predatory
37,Staphylinidae,predator,,predatory
34,Stratiomyidae,omnivore,no,basal
44,Suidasiidae,omnivore,no,basal
47,Sulidae,,,
1,Tettigoniidae,omnivore,yes,omnivorous
5,Theridiidae,predator,,predatory
31,Thripidae,herbivore,,basal
32,Tineidae,herbivore,,basal
