"","ID","Order","Family","Body_Length_Mean_mm"
"1","Guano","","",NA
"2","Ammonia","","",NA
"3","Nitrate","","",NA
"4","Phosphorus","","",NA
"5","Magnesium","","",NA
"6","Potassium","","",NA
"7","Sulphate","","",NA
"8","Calcium","","",NA
"9","Large_Woody_Detritus","","",NA
"10","Medium_Woody_Detritus","","",NA
"11","Leaf_Detritus","","",NA
"12","Fruit_Detritus","","",NA
"13","Pico_carcasses_Non-Living","","",NA
"14","Nano_carcasses_Non-Living","","",NA
"15","Micro_carcasses_Non-Living","","",NA
"16","Meso_carcasses_Non-Living","","",NA
"17","Macro_carcasses_Non-Living","","",NA
"18","Mega_carcasses_Non-Living","","",NA
"19","Cocos_nucifera","","",NA
"20","Tournefortia_argentea","","",NA
"21","Scaevola_sericea","","",NA
"22","Terminalia_catappa","","",NA
"23","Pisonia_grandis","","",NA
"24","Hibiscus_tiliaceus","","",NA
"25","Pandanus_fisherianus","","",NA
"26","Phymatosorus_scolopendria","","",NA
"27","Barringtonia_asiatica","","",NA
"28","Guettarda_speciosa","","",NA
"29","Ochrosia_oppositifolia","","",NA
"30","Calophyllum_inophyllum","","",NA
"31","Triumfetta_procumbens","","",NA
"32","Coccoloba_uvifera","","",NA
"33","Cyperus_spp.","","",NA
"34","Fimbristylis_atollensis","","",NA
"35","Lepturus_repens","","",NA
"36","Laportea_ruderalis","","",NA
"37","Asplenium_nidus","","",NA
"38","Neophrolepis_hirsutula","","",NA
"39","Cordia_subcordata","","",NA
"40","Premna_serratifolia","","",NA
"41","Pilea_microphylla","","",NA
"42","Epipremnum_aureun","","",NA
"43","Boerhavia_tetrandra","","",NA
"44","Spermacoce assurgens","","",NA
"45","Euphorbia_spp.","","",NA
"46","Digittaria_spp","","",NA
"47","Pluchea_spp","","",NA
"48","Hernandia_sonora","","",NA
"49","Portulaca_oleracea","","",NA
"50","Sporobolus_indicus","","",NA
"51","Paspalum_fimbriatum","","",NA
"52","Soil_Bacteria","","",NA
"53","Soil_Eukarya","","",NA
"54","Saprophytic_fungi","","",NA
"55","Mycorrhizae","","",NA
"56","Endophytic_fungi","","",NA
"57","Black_smut_fungus","","",NA
"58","Amblyseius_sp_1","","",NA
"59","Asca_sp_1","","",NA
"60","Bdellidae_sp_1","","",NA
"61","Brachypylina_sp_1","","",NA
"62","Brachypylina_sp_2","","",NA
"63","Brachypylina_sp_3","","",NA
"64","Brachypylina_sp_4","","",NA
"65","Carabodidae_maybe_sp_2","","",NA
"66","Carabodidae_sp_1","","",NA
"67","Cheyletidae_sp_1","","",NA
"68","Erythracaridae_sp_1","","",NA
"69","Eupodidae_sp_1","","",NA
"70","Galumnidae_spp","","",NA
"71","Hemileiidae_sp_1","","",NA
"72","Lohmaniidae_sp_1","","",NA
"73","Okiseius_sp_1","","",NA
"74","Orbatida_sp_1","","",NA
"75","Oribotritiidae_sp_1","","",NA
"76","Oripodoidea_sp_1","","",NA
"77","Oripodoidea_sp_2","","",NA
"78","Phytoseiidae_sp_1","","",NA
"79","Phytoseius_sp_1","","",NA
"80","Scapheremaeus_sp_1","","",NA
"81","Scapheremaeus_sp_2","","",NA
"82","Tetranychidae_sp_1","","",NA
"83","Tetranychidae_sp_2","","",NA
"84","Trhypochthoniellus_sp_1","","",NA
"85","Tuckerella_sp_1","","",NA
"86","Uropodina_sp_1","","",NA
"87","Uropodoidea_sp_1","","",NA
"88","Amphipod_sp_1","Amphipoda","Talitridae",NA
"89","Amphipod_sp_2","Amphipoda","Talitridae",NA
"90","Amynthas_sp_1","Crassiclitellata","Megascolecidae",NA
"91","Anapidae_sp_1","Araneae","Anapidae",NA
"92","Coleosoma_floridanum","Araneae","Theridiidae",NA
"93","Grey_body_spider","Araneae","",NA
"94","Holocneminus_piritarsis","Araneae","Pholicidae",NA
"95","Ischnothyreus_velox","Araneae","Oonopidae",NA
"96","Lined_theridiid","Araneae","Theridiidae",NA
"97","Menemerus_bivittatus","Araneae","Salticidae",NA
"98","Messua_felix","Araneae","Salticidae",NA
"99","Nesticodes_rufipes","Araneae","Theridiidae",NA
"100","Opopaea_deserticola","Araneae","Oonopidae",NA
"101","Oonopidae_sp_1","Araneae","Oonopidae",NA
"102","Orchestina_sp_1","Araneae","Oonopidae",NA
"103","Scytodes_sp_2","Araneae","Scytotidae",NA
"104","Blattella_germanica","Blattodea","Ectobiidae",NA
"105","Diploptera_punctata","Blattodea","Blaberidae",NA
"106","Margattea_sp_1","Blattodea","Ectobiidae",NA
"107","Megamareta_sp_1","Blattodea","Ectobiidae",NA
"108","Megamareta_skinny","Blattodea","Ectobiidae",NA
"109","Onchostylus_notulatus","Blattodea","Ectobiidae",NA
"110","Periplaneta_americana","Blattodea","Blattidae",NA
"111","Periplaneta_australasiae","Blattodea","Blattidae",NA
"112","Small_hairy_cockroach","Blattodea","",NA
"113","Supella_longipalpa","Blattodea","Ectobiidae",NA
"114","Albino_centipede","","Schendylida",NA
"115","Mecistocephalus_sp_1","Geophilomorpha","Mecistocephalidae",NA
"116","Hemidactylus_frenatus","Squamata","Gekkonidae",NA
"117","Lepidodactylus_legubris","Squamata","Gekkonidae",NA
"118","Lepidodactylus_sp_nov","Squamata","Gekkonidae",NA
"119","Rattus_rattus","Rodentia","Muridae",NA
"120","Dysmicoccus_brevipes","Hemiptera","Pseudococcidae",NA
"121","Dysmicoccus_neobrevipes","Hemiptera","Pseudococcidae",NA
"122","Ferrisia_virgata","Hemiptera","Pseudococcidae",NA
"123","Icerya_purchasi","Hemiptera","",NA
"124","Planococcus_citri","Hemiptera","Pseudococcidae",NA
"125","Pulvinaria_urbicola","Hemiptera","Coccidae",NA
"126","Abraeomorphus_atomarius","Coleoptera","Histeridae",NA
"127","Aderidae_sp_1","Coleoptera","Aderidae",NA
"128","Anthicus_oceanicus","Coleoptera","Anthicidae",NA
"129","Araecerus_vieillardi","Coleoptera","Anthribidae",NA
"130","Brown_Aleocharinae","Coleoptera","Staphylinidae",NA
"131","Ceresium_unicolor","Coleoptera","Cerambycidae",NA
"132","Conoderus_pallipes","Coleoptera","Elatridae",NA
"133","Cossoninae_sp_1","Coleoptera","Curculionidae",NA
"134","Cossoninae_sp_2","Coleoptera","Curculionidae",NA
"135","Cossoninae_sp_3","Coleoptera","Curculionidae",NA
"136","Cossoninae_sp_4","Coleoptera","Curculionidae",NA
"137","Cossoninae_sp_5","Coleoptera","Curculionidae",NA
"138","Cossoninae_sp_6","Coleoptera","Curculionidae",NA
"139","Curculioninae_sp_1","Coleoptera","Curculionidae",NA
"140","Curinus_coeruleus","Coleoptera","Coccinellidae",NA
"141","Dactylosternum_abdominale","Coleoptera","Hyrdrophilidae",NA
"142","Derolathrus_atomus","Coleoptera","Jacobsoniidae",NA
"143","Dermestidae_sp_1","Coleoptera","Dermestidae",NA
"144","Diocalandra_taitensis","Coleoptera","Curculionidae",NA
"145","Endynomena_pradieri","Coleoptera","Carabidae",NA
"146","Eobia_bicolor","Coleoptera","Oedemeridae",NA
"147","Eobia_bilineata","Coleoptera","Oedemeridae",NA
"148","Eobia_kanack","Coleoptera","Oedemeridae",NA
"149","Gloeosoma_sp_1","Coleoptera","Corylophidae",NA
"150","Hypothenemus_areccae","Coleoptera","Curculionidae",NA
"151","Hypothenemus_pubescens","Coleoptera","Curculionidae",NA
"152","Hypothenemus_ruficeps","Coleoptera","Curculionidae",NA
"153","Long_elytra_ptilidae","Coleoptera","Ptillidae",NA
"154","Mauia_subnotatus","Coleoptera","Anthribidae",NA
"155","Nephus_roepkei","Coleoptera","Coccinellidae",NA
"156","Orthoperus_aequalis","Coleoptera","Corylophidae",NA
"157","Oxydema_fusiforme","Coleoptera","Curculionidae",NA
"158","Perigonia_nigriceps","Coleoptera","Carabidae",NA
"159","Philothermus_sp_1","Coleoptera","Cerlyonidae",NA
"160","Cryptamorpha_desjardinsii","Coleoptera","Silvanidae",NA
"161","Ptinella_sp_1","Coleoptera","Ptillidae",NA
"162","Rhyzobius_lophanthae","Coleoptera","Coccinellidae",NA
"163","Saprosites_pygmaeus","Coleoptera","Scarabaeidae",NA
"164","Scymnus_sp_1","Coleoptera","Coccinellidae",NA
"165","Sticholotis_ruficeps","Coleoptera","Coccinellidae",NA
"166","Sunius_sp_1","Coleoptera","Staphylinidae",NA
"167","Sybra_alternans","Coleoptera","Cerambycidae",NA
"168","Thesiastes_femoratus","Coleoptera","Staphylinidae",NA
"169","Trichiorhyssemus_esakii","Coleoptera","Scarabaeidae",NA
"170","Urophorus_humeralis","Coleoptera","Nitidulidae",NA
"171","Xyleborus_perforans","Coleoptera","Curculionidae",NA
"172","Collembola_Morph_A","Entomobryomorpha","",NA
"173","Collembola_Morph_B","Entomobryomorpha","",NA
"174","Collembola_Morph_C","Entomobryomorpha","",NA
"175","Collembola_Morph_D","Poduromorpha","",NA
"176","Collembola_Morph_F","Entomobryomorpha","",NA
"177","Collembola_Morph_H","Entomobryomorpha","",NA
"178","Collembola_Morph_L","Poduromorpha","",NA
"179","Collembola_Morph_M","Entomobryomorpha","",NA
"180","Collembola_Morph_P","Poduromorpha","",NA
"181","Collembola_Morph_Q","Poduromorpha","",NA
"182","Collembola_Morph_S","Poduromorpha","",NA
"183","Collembola_Morph_E","Poduromorpha","",NA
"184","Symphypleona_Blue","Symphypleona","",NA
"185","Symphypleona_Pink","Symphypleona","",NA
"186","Symphypleona_Striped","Symphypleona","",NA
"187","Birgus_latro","Decapoda","Coenobitidae",NA
"188","Cardisoma_carnifex","Decapoda","Gecarcinidae",NA
"189","Chiromantes_sp_1","Decapoda","Sesarmidae",NA
"190","Coenobita_brevimanus","Decapoda","Coenobitidae",NA
"191","Coenobita_perlatus","Decapoda","Coenobitidae",NA
"192","Geograpsus_crinipes","Decapoda","Grapsidae",NA
"193","Geograpsus_grayi","Decapoda","Grapsidae",NA
"194","Geograpsus_stormi","Decapoda","Grapsidae",NA
"195","Grapsus_grapsus_tenuicrustatus","Decapoda","Grapsidae",NA
"196","Ocypode_ceratophthalma","Decapoda","Ocypodidae",NA
"197","Ocypode_cordimanus","Decapoda","Ocypodidae",NA
"198","Tuerkayana_rotundum","Decapoda","Gecarcinidae",NA
"199","Uca_tetragonum","Decapoda","Ocypodidae",NA
"200","Winged_dermaptera","Dermaptera","Anisolabididae",NA
"201","Pale_dicellurata","Diplura","Japygidae",NA
"202","Aschistodesmini_sp_1","Polydesmida","Paradoxosomatidae",NA
"203","Trigoniulus_corallinus","Spirobolida","Trigoniulidae",NA
"204","Aedes_albopictus","Diptera","Culicidae",NA
"205","Atherigona_orientalis","Diptera","Muscidae",NA
"206","Bradysia_sp_1","Diptera","Sciaridae",NA
"207","Brown_patterned_nematocera","Diptera","",NA
"208","Brown_sciaridae","Diptera","Cosmosciara",NA
"209","Brown_yellow_dasyhelea_sp_1","Diptera","Ceratopogonidae",NA
"210","Cacoxenus_(Gitonides)_perspicax","Diptera","Drosophilidae",NA
"211","Cadrema_pallida","Diptera","Chloropidae",NA
"212","Cephalochrysa_maxima","Diptera","Stratiomyidae",NA
"213","Chonocephalus_sp_1","Diptera","Phoridae",NA
"214","Chrysosoma_complicatum","Diptera","Dolichopodidae",NA
"215","Chrysosoma_megacephala","Diptera","Dolichopodidae",NA
"216","Chrysosoma_molestum","Diptera","Dolichopodidae",NA
"217","Chrysotus_cockerellae","Diptera","Dolichopodidae",NA
"218","Chrysotus_sp_1","Diptera","Dolichopodidae",NA
"219","Chyromyidae_sp_1","Diptera","Chyromyidae",NA
"220","Clunio_sp_1","Diptera","Chironomidae",NA
"221","Colobostema_sp_1","Diptera","Scatopsidae",NA
"222","Coquillettomyia_sp_1","Diptera","Ceciomyiidae",NA
"223","Dark_brown_acalyptrate","Diptera","",NA
"224","Dasyhelea_sp_1","Diptera","Ceratopogonidae",NA
"225","Dasyrhicnoessa_sp_1","Diptera","Canacidae",NA
"226","Dasyrhicnoessa_sp_2","Diptera","Canacidae",NA
"227","Discocerina_sp_1","Diptera","Ephydridae",NA
"228","Dohrniphora_cornuta","Diptera","Phoridae",NA
"229","Drosophila_ananassae","Diptera","Drosophilidae",NA
"230","Fannia_pusio","Diptera","Fanniidae",NA
"231","Fat_antennae_fly","Diptera","",NA
"232","Gaurax_bicoloripes","Diptera","Chloropidae",NA
"233","Lamprolonchaea_sp_1","Diptera","Lonchaeidae",NA
"234","Leg_hair_no_dip","Diptera","",NA
"235","Leptocera_sp_1","Diptera","Sphaeroceridae",NA
"236","Liriomyza_sativae","Diptera","Agromyzidae",NA
"237","Lucilia_sericata","Diptera","Calliphoridae",NA
"238","Milichiella_lacteipennis","Diptera","Milichiidae",NA
"239","Nocticanace_marshallensis","Diptera","Canacidae",NA
"240","Olfesia_aenescens","Diptera","Hippoboscidae",NA
"241","Ornithoica_vicina","Diptera","Hippoboscidae",NA
"242","Orthocladiinae_sp_1","Diptera","Chironomidae",NA
"243","Pale_fringed_wing_fly","Diptera","",NA
"244","Pale_unknown_fly","Diptera","",NA
"245","Pale_yellow_nematocera","Diptera","",NA
"246","Psectrosciara_sp_1","Diptera","Scatopsidae",NA
"247","Pseudeuxesta_prima","Diptera","Ulidiidae",NA
"248","Psychodinae_sp_1","Diptera","Psychodidae",NA
"249","Rhegmoclema_sp_1","Diptera","Scatopsidae",NA
"250","Sarcophaga_gressitti","Diptera","Sarcophagidae",NA
"251","Sarcophaga_misera","Diptera","Sarcophagidae",NA
"252","Sarcophaga_peregrina","Diptera","Sarcophagidae",NA
"253","Scatella_stagnalis","Diptera","Ephydridae",NA
"254","Scholastes_palmyra","Diptera","Platystomatidae",NA
"255","Siphunculina_striolata","Diptera","Chloropidae",NA
"256","Small_wings_striped_legs_fly","Diptera","",NA
"257","Striped Ceratopogonid","Diptera","",NA
"258","Styringomyia_didyma","Diptera","Limoniidae",NA
"259","Syritta_aenigmatopatria","Diptera","Syrphidae",NA
"260","Thalassomya_setosipennis","Diptera","Chironomidae",NA
"261","Thin_cecidomyiid_spp","Diptera","",NA
"262","Xenasteia_sp_1","Diptera","Xenasteiidae",NA
"263","Yellow_patterned_Dasyhelea","Diptera","",NA
"264","Cardiocondyla_emeryi","Hymenoptera","Formicidae",NA
"265","Cardiocondyla_minutior","Hymenoptera","Formicidae",NA
"266","Hypoponera_punctatissima","Hymenoptera","Formicidae",NA
"267","Monomorium_floricola","Hymenoptera","Formicidae",NA
"268","Nylanderia_bourbonica","Hymenoptera","Formicidae",NA
"269","Nylanderia_vaga","Hymenoptera","Formicidae",NA
"270","Strumigenys_emmae","Hymenoptera","Formicidae",NA
"271","Paratrenchina_longicornis","Hymenoptera","Formicidae",NA
"272","Pheidole_megacephala","Hymenoptera","Formicidae",NA
"273","Syllophopsis_sechellensis","Hymenoptera","Formicidae",NA
"274","Tapinoma_melanocephalum","Hymenoptera","Formicidae",NA
"275","Tetramorium_bicarinatum","Hymenoptera","Formicidae",NA
"276","Aleurodicus_dispersus","Hemiptera","Aleyrodidae",NA
"277","Aphis_sp_1","Hemiptera","Aphididae",NA
"278","Brown_and_white_Nymph","Hemiptera","",NA
"279","Plant_hopper_sp_1","Hemiptera","",NA
"280","Emesinae_sp_1","Hemiptera","Reduviidae",NA
"281","Geotomus_pygmaeus","Hemiptera","Cydnidae",NA
"282","Emesinae_sp_2","Hemiptera","Reduviidae",NA
"283","Lygaeidae_sp_1","Hemiptera","Lygaeidae",NA
"284","Trigonotylus_brevipes","Hemiptera","Miridae",NA
"285","Aphytis_sp_1","Hymenoptera","Aphelinidae",NA
"286","Aprostocetus_(Tetrastichodes)_hagenowii","Hymenoptera","Eulophidae",NA
"287","Baryscapus_sp_1","Hymenoptera","Eulophidae",NA
"288","Blepyrus_insularis","Hymenoptera","Encytridae",NA
"289","Calliscelio_elegans","Hymenoptera","Platygastridae",NA
"290","Camptoptera_(Camptoptera)","Hymenoptera","Mymaridae",NA
"291","Camptoptera_(Zemicamptoptera)","Hymenoptera","Mymaridae",NA
"292","Catolaccus_sp_1","Hymenoptera","Pteromalidae",NA
"293","Ceraphron_sp_1","Hymenoptera","Ceraphonidae",NA
"294","Chelonus_blackburni","Hymenoptera","Braconidae",NA
"295","Coccophagus_ceroplastae","Hymenoptera","Aphelinidae",NA
"296","Coccophagus_sp_1","Hymenoptera","Aphelinidae",NA
"297","Encarsia_citrina","Hymenoptera","Aphelinidae",NA
"298","Encyrtidae_sp_1","Hymenoptera","Encytridae",NA
"299","Encyrtus_aurantii","Hymenoptera","Encytridae",NA
"300","Evania_appendigaster","Hymenoptera","Evaniidae",NA
"301","Ganaspis_sp_1","Hymenoptera","Figitidae",NA
"302","Ganaspis_sp_2","Hymenoptera","Figitidae",NA
"303","Goniozus_sp_1","Hymenoptera","Bethylidae",NA
"304","Gryon_sp_1","Hymenoptera","Platygastridae",NA
"305","Idris_sp_1","Hymenoptera","Platygastridae",NA
"306","Liris_sp_1","Hymenoptera","",NA
"307","Megachile_fullawayi","Hymenoptera","Megachilidae",NA
"308","Megachilidae_sp_2","Hymenoptera","",NA
"309","Hylaeus_strenuus","Hymenoptera","",NA
"310","Carpenter_Bee","Hymenoptera","",NA
"311","Melittobia_chalybii","Hymenoptera","Eulophidae",NA
"312","Metaphycus_sp_2","Hymenoptera","Encytridae",NA
"313","Metaphycus_flavus","Hymenoptera","Encytridae",NA
"314","Microterys_nietneri","Hymenoptera","Encytridae",NA
"315","Moranila_californica","Hymenoptera","Pteomalidae",NA
"316","Mymarid_sp_1","Hymenoptera","Mymaridae",NA
"317","Mymaromma_sp_1","Hymenoptera","Mymarommatidae",NA
"318","Neocalosoter_sp_1","Hymenoptera","Pteomalidae",NA
"319","Neochrysocharis_sp_1","Hymenoptera","Eulophidae",NA
"320","Pachodynerus_nasidens","Hymenoptera","Vespidae",NA
"321","Parapanteles_sp_1","Hymenoptera","Braconidae",NA
"322","Polistes_aurifer","Hymenoptera","Vespidae",NA
"323","Probaryconus_sp_1","Hymenoptera","Scelionidae",NA
"324","Sceliphron_caementarium","Hymenoptera","Sphecidae",NA
"325","Sclerodermus_sp_1","Hymenoptera","Bethylidae",NA
"326","Sierola_sp_1","Hymenoptera","Bethylidae",NA
"327","Telenomus_sp_1","Hymenoptera","Platygastridae",NA
"328","Alloniscus_oahuensis","Isopoda","Alloniscidae",NA
"329","Anchiphiloscia_pilosa","Isopoda","Philosciidae",NA
"330","Cubaris_n_sp_1","Isopoda","Armadillidae",NA
"331","Hybodillo_n_sp_1","Isopoda","Armadillidae",NA
"332","Ligia_vitiensis","Isopoda","Ligiidae",NA
"333","Littorphiloscia_sp_1","Isopoda","Halophilosciidae",NA
"334","Littorphiloscia_sp_2","Isopoda","Halophilosciidae",NA
"335","Nagurus_sundaicus","Isopoda","Tracheliopodidae",NA
"336","Reductoniscus_costulatus","Isopoda","Armadillidae",NA
"337","Coprotermes_formosanus","Blattodea","Rhinotermitidae",NA
"338","Agonoxena_argaula","Lepidoptera","Agonoxenidae",NA
"339","Anatrachyntis_incertulella","Lepidoptera","Cosmopterigidae",NA
"340","Erechthias_simulans","Lepidoptera","Tineidae",NA
"341","Ketapangia_leucochorda","Lepidoptera","Gracillaridae",NA
"342","Opogona_aurisquamosa","Lepidoptera","Tineidae",NA
"343","Piletocera_signiferalis","Lepidoptera","Crambidae",NA
"344","Spodoptera_litura","Lepidoptera","Noctuidae",NA
"345","Stoeberhinus_testaceus","Lepidoptera","Autostichidae",NA
"346","Allopeas_sp_1","Stylommatophora","Achatinidae",NA
"347","Elasmius_apertum","","Elasmidae",NA
"348","Gastropecta_sp_1","Stylommatophora","Pupillidae",NA
"349","Lamellidea_oblonga","Stylommatophora","Achatinidae",NA
"350","Lamellidea_pusilla","Stylommatophora","Achatinidae",NA
"351","Melampus_luteus","Ellobida","Ellobiidae",NA
"352","Omphalotropis_sp_1","","Assimineidae",NA
"353","Opeas_hennense","Stylommatophora","Achatinidae",NA
"354","Pupoidopsis_hawaiiensis","Stylommatophora","Pupillidae",NA
"355","Truncatella_guerinii","","Truncatellidae",NA
"356","Mastophorus_muris","Spirurida","Spiruridae",NA
"357","Anax_junius","Odonata","Aeshnidae",NA
"358","Crocothemis_servilla","Odonata","Libellulidae",NA
"359","Ischnura_aurora","Odonata","Coenagrionidae",NA
"360","Atractomorpha_sinensis","Orthoptera","Pyrgomorphidae",NA
"361","Conoccephalus_saltator","Orthoptera","Tettigonidae",NA
"362","Myrmecophilus_sp_1","Orthoptera","Myrmecophilidae",NA
"363","Myrmecophilus_sp_2","Orthoptera","Myrmecophilidae",NA
"364","Myrmecophilus_sp_3","Orthoptera","Myrmecophilidae",NA
"365","Ornebius_n_sp_1","Orthoptera","Mogoplistidae",NA
