"","Family"
"1","Tettigoniidae"
"2","Araneidae"
"3","Libellulidae"
"4","Pholcidae"
"5","Theridiidae"
"6","Mecistocephalidae"
"7","Platystomatidae"
"8","Acrididae"
"9","Elateridae"
"10","Muridae"
"11","Anisolabididae"
"12","Formicidae"
"13","Ectopsocidae"
"14","Blaberidae"
"15","Agonoxenidae"
"16","Mogoplistidae"
"17","Blattidae"
"18","Salticidae"
"19","Entomobryidae"
"20","Isotomidae"
"21","Himantariidae"
"22","Ectobiidae"
"23","Sciaridae"
"24","Hominidae"
"25","Chloropidae"
"26","Scytodidae"
"27","Evaniidae"
"28","Oonopidae"
"29","Hydrophilidae"
"30","Erebidae"
"31","Thripidae"
"32","Tineidae"
"33","Limoniidae"
"34","Stratiomyidae"
"35","Lonchaeidae"
"36","Coccidae"
"37","Staphylinidae"
"38","Agromyzidae"
"39","Crambidae"
"40","Dolichopodidae"
"41","Culicidae"
"42","Lepidopsocidae"
"43","Curculionidae"
"44","Suidasiidae"
"45","Ceratopogonidae"
"46","Acaridae"
"47","Sulidae"
"48","Liposcelididae"
"49","Coccinellidae"
"50","Psychodidae"
"51","Buthidae"
"52","Aleyrodidae"
"53","Branchipodidae"
"54","Pyroglyphidae"
"55","Salmonidae"
"56","Oxyuridae"
"57","Myopsocidae"
"58","Philosciidae"
"59","Oxyopidae"
"60","Bourletiellidae"
"61","Cecidomyiidae"
"62","Oryidae"
"63","Eulophidae"
"64","Calliphoridae"
"65","Phoridae"
"66","Encyrtidae"
"67","Sminthuridae"
"68","Pseudococcidae"
"69","Sparassidae"
