,Family,min_length,max_length,Source
1,Mecistocephalidae,54,92,https://www.researchgate.net/publication/242369911_The_centipede_genus_Mecistocephalus_Newport_1843_in_the_Indian_Peninsula_Chilopoda_Geophilomorpha_Mecistocephalidae/figures?lo=1
2,Acrididae,15,30,BugGuide
3,Elateridae,1,60,BugGuide
4,Muridae,,,rats
5,Entomobryidae,0.9,2.6,https://zookeys.pensoft.net/article/31635/
6,Isotomidae,0.4,0.7,https://www.scielo.br/pdf/zool/v33n3/1984-4689-zool-33-03-e20160005.pdf
7,Himantariidae,130,220,https://en.wikipedia.org/wiki/Himantarium_gabrielis
8,Hominidae,,,humans
9,Hydrophilidae,1,40,BugGuide
10,Erebidae,21,39,https://www.fs.fed.us/nrs/pubs/jrnl/2015/nrs_2015_shi_001.pdf
11,Coccidae,1.7,5.3,"http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-87062013000100006#:~:text=Body%20outline%20oval%20to%20elongate,mm%20wide%20(Figure%202)."
12,Suidasiidae,0.188,0.2,https://www-jstor-org.proxy.library.ucsb.edu:9443/stable/pdf/3282305.pdf
13,Acaridae,0.188,0.2,https://www-jstor-org.proxy.library.ucsb.edu:9443/stable/pdf/3282305.pdf
14,Sulidae,,,birds
15,Liposcelididae,1.25,2,http://tolweb.org/Liposcelididae/14455
16,Branchipodidae,,,shrimp
17,Pyroglyphidae,0.112,0.241,file:///Users/Ana/Downloads/Solarzetal.2016.Bodysizevariabilityindifferentforms.pdf
18,Salmonidae,,,fish
19,Oxyuridae,,,parasitic nematode
20,Myopsocidae,2.7,3.4,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1440-6055.1978.tb01753.x
21,Philosciidae,0.488,11,https://en.wikipedia.org/wiki/Philoscia_muscorum
22,Oxyopidae,3,25,BugGuide
23,Bourletiellidae,0.8,1.15,file:///Users/Ana/Downloads/252.Arlesminthurusfranzkafkaisp.nov.fromNicaragua.pdf
24,Cecidomyiidae,1,5,BugGuide
25,Oryidae,,,centipede
26,Encyrtidae,2,3,BugGuide
27,Sminthuridae,3,3,"https://en.wikipedia.org/wiki/Sminthurus_viridis#:~:text=Like%20other%20members%20of%20the,about%203%20mm%20in%20length."
28,Pseudococcidae,1,11,file:///Users/Ana/Downloads/Pseudococcidae_and_monophlebidae.pdf
