"","Family"
"1","Mecistocephalidae"
"2","Acrididae"
"3","Elateridae"
"4","Muridae"
"5","Entomobryidae"
"6","Isotomidae"
"7","Himantariidae"
"8","Hominidae"
"9","Hydrophilidae"
"10","Erebidae"
"11","Coccidae"
"12","Suidasiidae"
"13","Acaridae"
"14","Sulidae"
"15","Liposcelididae"
"16","Branchipodidae"
"17","Pyroglyphidae"
"18","Salmonidae"
"19","Oxyuridae"
"20","Myopsocidae"
"21","Philosciidae"
"22","Oxyopidae"
"23","Bourletiellidae"
"24","Cecidomyiidae"
"25","Oryidae"
"26","Encyrtidae"
"27","Sminthuridae"
"28","Pseudococcidae"
