"","taxon_Family"
"1","Formicidae"
"2","Silphidae"
"3","Histeridae"
"4","Araneomorphae"
"5","Pholcidae"
"6","Staphylinidae"
"7",""
"8","Carabidae"
"9","Geophilidae"
"10","Henicopoidae"
"11","Lithobiidae"
"12","Thomisidae"
"13","Forficulidae"
"14","Nabidae"
"15","Anthicidae"
"16","Cantharidae"
"17","Hydrophilidae"
"18","Agelenidae"
"19","Araneidae"
"20","Dictynidae"
"21","Linyphiidae"
"22","Lycosidae"
"23","Salticidae"
"24","Aeolothripidae"
"25","Bolboceratidae"
"26","Gnaphosidae"
"27","Phrurolithidae"
"28","Kateretidae"
"29","Leiodidae"
"30","Phalangiidae"
"31","Theridiidae"
"32","Hahniidae"
"33","Pisauridae"
"34","Miturgidae"
"35","Tetragnathidae"
"36","Philodromidae"
"37","Miridae"
"38","Nemastomatidae"
"39","Coccinellidae"
"40","Trogulidae"
"41","Sclerosomatidae"
"42","Anthocoridae"
"43","Melyridae"
"44","Elateridae"
"45","Braconidae"
"46","Reduviidae"
"47","Cleridae"
"48","Asillidae"
"49","Tachinidae"
"50","Crabronidae"
"51","Pompillidae"
"52","Coccinelidae"
"53","Syrphidae"
"54","Sphecidae"
"55","Muscidae"
"56","Dolichopodidae"
"57","Phoridae"
"58","Linotaeniidae"
"59","Chthoniidae"
"60","Parasitidae"
"61","Megisthanidae"
"62","Digamasellidae"
"63","Cecidomyiidae"
"64","Scolopendridae"
"65","Cryptopidae"
"66","Chernetidae"
"67","Trombidiidae"
"68","Trogossitidae"
"69","Monotomidae"
"70","Sciaridae"
"71","Xylophagidae"
"72","Pseudoscorionidae"
"73","Cheliferidae"
"74","Dytiscidae"
"75","Chelydridae"
"76","Uropodidae"
"77","Acaridae"
"78",NA
"79","Gryllidae"
"80","Pentatomidae"
"81","Largidae"
"82","Chalcididae"
"83","Aphididae"
"84","Chrysomelidae"
"85","Curculionidae"
"86","Lyonetiidae"
"87","Psyllidae"
"88","Sminthuridae"
"89","Bourletiellidae"
"90","Catopidae"
"91","Entomobryidae"
"92","Isotomidae"
"93","Lampyridae"
"94","Liodidae"
"95","Pselaphidae"
"96","Ptilidae"
"97","Scydmanidae"
"98","Neanuridae"
"99","Amaurobiidae"
"100","Clubionidae"
"101","Tettigoniidae"
"102","Araneidae"
"103","Libellulidae"
"104","Pholcidae"
"105","Theridiidae"
"106","Mecistocephalidae"
"107","Platystomatidae"
"108","Acrididae"
"109","Elateridae"
"110","Muridae"
"111","Anisolabididae"
"112","Formicidae"
"113","Ectopsocidae"
"114","Blaberidae"
"115","Agonoxenidae"
"116","Mogoplistidae"
"117","Blattidae"
"118","Salticidae"
"119","Entomobryidae"
"120","Isotomidae"
"121","Himantariidae"
"122","Ectobiidae"
"123","Sciaridae"
"124","Hominidae"
"125","Chloropidae"
"126","Scytodidae"
"127","Evaniidae"
"128","Oonopidae"
"129","Hydrophilidae"
"130","Erebidae"
"131","Thripidae"
"132","Tineidae"
"133","Limoniidae"
"134","Stratiomyidae"
"135","Lonchaeidae"
"136","Coccidae"
"137","Staphylinidae"
"138","Agromyzidae"
"139","Crambidae"
"140","Dolichopodidae"
"141","Culicidae"
"142","Lepidopsocidae"
"143","Curculionidae"
"144","Suidasiidae"
"145","Ceratopogonidae"
"146","Acaridae"
"147","Sulidae"
"148","Liposcelididae"
"149","Coccinellidae"
"150","Psychodidae"
"151","Buthidae"
"152","Aleyrodidae"
"153","Branchipodidae"
"154","Pyroglyphidae"
"155","Salmonidae"
"156","Oxyuridae"
"157","Myopsocidae"
"158","Philosciidae"
"159","Oxyopidae"
"160","Bourletiellidae"
"161","Cecidomyiidae"
"162","Oryidae"
"163","Eulophidae"
"164","Calliphoridae"
"165","Phoridae"
"166","Encyrtidae"
"167","Sminthuridae"
"168","Pseudococcidae"
"169","Sparassidae"
