"","consumer","resource","pred_mass","prey_mass","frequency"
"1",722,766,3.677257341,1.385543185,3
"2",722,767,3.677257341,2.349297641,1
"3",722,771,3.677257341,17.68597554,2
"4",722,774,3.677257341,1.333964254,1
"5",722,776,3.677257341,11.60101425,2
"6",722,778,3.677257341,0.471002361,3
"7",722,780,3.677257341,7.401825263,1
"8",722,782,3.677257341,0.875669041,2
"9",722,784,3.677257341,0.283672179,1
"10",722,786,3.677257341,0.513792985,1
"11",722,788,3.677257341,0.326196243,1
"12",722,789,3.677257341,0.326196243,1
"13",722,793,3.677257341,0.55058902,2
"14",722,794,3.677257341,0.34998711,2
"15",722,799,3.677257341,0.743497907,1
"16",722,800,3.677257341,0.175231136,1
"17",722,803,3.677257341,1.056938395,3
"18",722,804,3.677257341,1.92992544,1
"19",722,805,3.677257341,1.056938395,2
"20",722,811,3.677257341,2.792223696,2
"21",722,812,3.677257341,0.715590793,1
"22",722,815,3.677257341,2.088640733,2
"23",722,819,3.677257341,0.198338301,1
"24",722,820,3.677257341,10.91666944,1
"25",722,821,3.677257341,1.552368522,1
"26",722,824,3.677257341,8.190922557,1
"27",722,825,3.677257341,12.06814669,4
"28",722,829,3.677257341,3.123892183,2
"29",722,831,3.677257341,35.74029019,2
"30",722,833,3.677257341,1.612679448,4
"31",723,765,3.348347366,7.418932388,1
"32",723,766,3.348347366,1.385543185,6
"33",723,768,3.348347366,14.26802965,1
"34",723,769,3.348347366,2.73111602,2
"35",723,771,3.348347366,17.68597554,1
"36",723,772,3.348347366,9.457605612,2
"37",723,773,3.348347366,3.631715105,1
"38",723,774,3.348347366,1.333964254,2
"39",723,776,3.348347366,11.60101425,3
"40",723,778,3.348347366,0.471002361,8
"41",723,780,3.348347366,7.401825263,3
"42",723,782,3.348347366,0.875669041,8
"43",723,783,3.348347366,0.184086573,1
"44",723,784,3.348347366,0.283672179,3
"45",723,785,3.348347366,2.114100662,1
"46",723,786,3.348347366,0.513792985,2
"47",723,790,3.348347366,0.392886184,1
"48",723,791,3.348347366,0.456893556,1
"49",723,792,3.348347366,0.432220049,1
"50",723,793,3.348347366,0.55058902,1
"51",723,794,3.348347366,0.34998711,3
"52",723,795,3.348347366,0.065979831,1
"53",723,797,3.348347366,0.690190368,2
"54",723,798,3.348347366,0.426637697,1
"55",723,799,3.348347366,0.743497907,3
"56",723,800,3.348347366,0.175231136,3
"57",723,801,3.348347366,3.846050926,1
"58",723,803,3.348347366,1.056938395,5
"59",723,804,3.348347366,1.92992544,1
"60",723,805,3.348347366,1.056938395,2
"61",723,810,3.348347366,3.693546703,1
"62",723,811,3.348347366,2.792223696,2
"63",723,812,3.348347366,0.715590793,2
"64",723,814,3.348347366,25.92311695,1
"65",723,815,3.348347366,2.088640733,2
"66",723,817,3.348347366,0.442552331,1
"67",723,819,3.348347366,0.198338301,2
"68",723,821,3.348347366,1.552368522,2
"69",723,823,3.348347366,NA,2
"70",723,824,3.348347366,8.190922557,3
"71",723,825,3.348347366,12.06814669,10
"72",723,826,3.348347366,4.670553274,1
"73",723,827,3.348347366,1.238988657,1
"74",723,828,3.348347366,4.287796634,1
"75",723,829,3.348347366,3.123892183,2
"76",723,830,3.348347366,9.930466259,2
"77",723,833,3.348347366,1.612679448,10
"78",724,666,0.951285814,0.010170915,2
"79",724,766,0.951285814,1.385543185,3
"80",724,769,0.951285814,2.73111602,2
"81",724,772,0.951285814,9.457605612,1
"82",724,773,0.951285814,3.631715105,1
"83",724,778,0.951285814,0.471002361,4
"84",724,780,0.951285814,7.401825263,2
"85",724,782,0.951285814,0.875669041,4
"86",724,784,0.951285814,0.283672179,2
"87",724,785,0.951285814,2.114100662,1
"88",724,786,0.951285814,0.513792985,2
"89",724,791,0.951285814,0.456893556,1
"90",724,794,0.951285814,0.34998711,1
"91",724,795,0.951285814,0.065979831,1
"92",724,797,0.951285814,0.690190368,1
"93",724,798,0.951285814,0.426637697,1
"94",724,799,0.951285814,0.743497907,2
"95",724,800,0.951285814,0.175231136,1
"96",724,801,0.951285814,3.846050926,1
"97",724,803,0.951285814,1.056938395,5
"98",724,804,0.951285814,1.92992544,1
"99",724,805,0.951285814,1.056938395,1
"100",724,810,0.951285814,3.693546703,1
"101",724,811,0.951285814,2.792223696,1
"102",724,812,0.951285814,0.715590793,2
"103",724,815,0.951285814,2.088640733,1
"104",724,821,0.951285814,1.552368522,3
"105",724,824,0.951285814,8.190922557,2
"106",724,826,0.951285814,4.670553274,1
"107",724,827,0.951285814,1.238988657,1
"108",724,828,0.951285814,4.287796634,1
"109",724,832,0.951285814,0.672299021,1
"110",724,833,0.951285814,1.612679448,5
"111",725,679,0.038697749,0.005410991,1
"112",725,794,0.038697749,0.34998711,1
"113",725,800,0.038697749,0.175231136,1
"114",725,819,0.038697749,0.198338301,1
"115",726,766,7.029911632,1.385543185,2
"116",726,769,7.029911632,2.73111602,1
"117",726,771,7.029911632,17.68597554,1
"118",726,772,7.029911632,9.457605612,1
"119",726,776,7.029911632,11.60101425,4
"120",726,778,7.029911632,0.471002361,3
"121",726,780,7.029911632,7.401825263,1
"122",726,782,7.029911632,0.875669041,5
"123",726,784,7.029911632,0.283672179,2
"124",726,785,7.029911632,2.114100662,1
"125",726,792,7.029911632,0.432220049,1
"126",726,794,7.029911632,0.34998711,3
"127",726,797,7.029911632,0.690190368,1
"128",726,799,7.029911632,0.743497907,3
"129",726,800,7.029911632,0.175231136,2
"130",726,803,7.029911632,1.056938395,2
"131",726,804,7.029911632,1.92992544,2
"132",726,805,7.029911632,1.056938395,2
"133",726,811,7.029911632,2.792223696,2
"134",726,812,7.029911632,0.715590793,1
"135",726,815,7.029911632,2.088640733,1
"136",726,821,7.029911632,1.552368522,1
"137",726,824,7.029911632,8.190922557,2
"138",726,825,7.029911632,12.06814669,7
"139",726,829,7.029911632,3.123892183,1
"140",726,830,7.029911632,9.930466259,2
"141",726,831,7.029911632,35.74029019,1
"142",726,833,7.029911632,1.612679448,6
"143",727,766,5.704818614,1.385543185,1
"144",727,776,5.704818614,11.60101425,1
"145",727,778,5.704818614,0.471002361,2
"146",727,780,5.704818614,7.401825263,1
"147",727,782,5.704818614,0.875669041,2
"148",727,784,5.704818614,0.283672179,1
"149",727,786,5.704818614,0.513792985,1
"150",727,794,5.704818614,0.34998711,1
"151",727,800,5.704818614,0.175231136,1
"152",727,802,5.704818614,0.197532202,1
"153",727,814,5.704818614,25.92311695,1
"154",727,815,5.704818614,2.088640733,1
"155",727,817,5.704818614,0.442552331,1
"156",727,821,5.704818614,1.552368522,1
"157",727,822,5.704818614,1.446130459,1
"158",727,824,5.704818614,8.190922557,1
"159",727,825,5.704818614,12.06814669,2
"160",727,829,5.704818614,3.123892183,1
"161",727,831,5.704818614,35.74029019,1
"162",727,833,5.704818614,1.612679448,2
"163",728,766,5.282778905,1.385543185,2
"164",728,771,5.282778905,17.68597554,1
"165",728,776,5.282778905,11.60101425,3
"166",728,778,5.282778905,0.471002361,1
"167",728,782,5.282778905,0.875669041,4
"168",728,784,5.282778905,0.283672179,1
"169",728,794,5.282778905,0.34998711,3
"170",728,799,5.282778905,0.743497907,1
"171",728,800,5.282778905,0.175231136,1
"172",728,803,5.282778905,1.056938395,2
"173",728,804,5.282778905,1.92992544,2
"174",728,805,5.282778905,1.056938395,1
"175",728,811,5.282778905,2.792223696,1
"176",728,812,5.282778905,0.715590793,1
"177",728,815,5.282778905,2.088640733,1
"178",728,824,5.282778905,8.190922557,1
"179",728,825,5.282778905,12.06814669,4
"180",728,829,5.282778905,3.123892183,1
"181",728,831,5.282778905,35.74029019,1
"182",728,833,5.282778905,1.612679448,3
"183",729,766,3.646737876,1.385543185,1
"184",729,774,3.646737876,1.333964254,1
"185",729,778,3.646737876,0.471002361,1
"186",729,780,3.646737876,7.401825263,1
"187",729,786,3.646737876,0.513792985,1
"188",729,793,3.646737876,0.55058902,1
"189",729,805,3.646737876,1.056938395,1
"190",729,811,3.646737876,2.792223696,1
"191",729,825,3.646737876,12.06814669,1
"192",729,829,3.646737876,3.123892183,1
"193",729,833,3.646737876,1.612679448,1
"194",730,765,4.660423644,7.418932388,1
"195",730,766,4.660423644,1.385543185,4
"196",730,768,4.660423644,14.26802965,1
"197",730,769,4.660423644,2.73111602,1
"198",730,770,4.660423644,8.260424802,1
"199",730,771,4.660423644,17.68597554,1
"200",730,772,4.660423644,9.457605612,1
"201",730,773,4.660423644,3.631715105,2
"202",730,774,4.660423644,1.333964254,3
"203",730,775,4.660423644,5.370979155,1
"204",730,776,4.660423644,11.60101425,7
"205",730,778,4.660423644,0.471002361,10
"206",730,780,4.660423644,7.401825263,4
"207",730,782,4.660423644,0.875669041,11
"208",730,783,4.660423644,0.184086573,1
"209",730,784,4.660423644,0.283672179,2
"210",730,786,4.660423644,0.513792985,3
"211",730,789,4.660423644,0.326196243,1
"212",730,791,4.660423644,0.456893556,1
"213",730,792,4.660423644,0.432220049,3
"214",730,793,4.660423644,0.55058902,2
"215",730,794,4.660423644,0.34998711,6
"216",730,795,4.660423644,0.065979831,1
"217",730,796,4.660423644,0.746442043,2
"218",730,797,4.660423644,0.690190368,3
"219",730,798,4.660423644,0.426637697,1
"220",730,799,4.660423644,0.743497907,7
"221",730,800,4.660423644,0.175231136,5
"222",730,801,4.660423644,3.846050926,1
"223",730,802,4.660423644,0.197532202,1
"224",730,803,4.660423644,1.056938395,6
"225",730,804,4.660423644,1.92992544,4
"226",730,805,4.660423644,1.056938395,2
"227",730,806,4.660423644,0.345256039,1
"228",730,807,4.660423644,2.02802544,1
"229",730,810,4.660423644,3.693546703,4
"230",730,811,4.660423644,2.792223696,5
"231",730,812,4.660423644,0.715590793,5
"232",730,813,4.660423644,0.658372652,1
"233",730,814,4.660423644,25.92311695,1
"234",730,815,4.660423644,2.088640733,1
"235",730,817,4.660423644,0.442552331,1
"236",730,821,4.660423644,1.552368522,2
"237",730,822,4.660423644,1.446130459,3
"238",730,824,4.660423644,8.190922557,1
"239",730,825,4.660423644,12.06814669,16
"240",730,826,4.660423644,4.670553274,1
"241",730,827,4.660423644,1.238988657,1
"242",730,828,4.660423644,4.287796634,1
"243",730,829,4.660423644,3.123892183,4
"244",730,830,4.660423644,9.930466259,1
"245",730,831,4.660423644,35.74029019,2
"246",730,832,4.660423644,0.672299021,1
"247",730,833,4.660423644,1.612679448,14
"248",731,766,1.784674203,1.385543185,4
"249",731,767,1.784674203,2.349297641,1
"250",731,769,1.784674203,2.73111602,1
"251",731,770,1.784674203,8.260424802,2
"252",731,771,1.784674203,17.68597554,2
"253",731,772,1.784674203,9.457605612,1
"254",731,773,1.784674203,3.631715105,4
"255",731,774,1.784674203,1.333964254,3
"256",731,776,1.784674203,11.60101425,7
"257",731,778,1.784674203,0.471002361,10
"258",731,780,1.784674203,7.401825263,5
"259",731,782,1.784674203,0.875669041,11
"260",731,783,1.784674203,0.184086573,2
"261",731,784,1.784674203,0.283672179,2
"262",731,785,1.784674203,2.114100662,1
"263",731,786,1.784674203,0.513792985,3
"264",731,788,1.784674203,0.326196243,1
"265",731,789,1.784674203,0.326196243,2
"266",731,791,1.784674203,0.456893556,1
"267",731,792,1.784674203,0.432220049,1
"268",731,793,1.784674203,0.55058902,2
"269",731,794,1.784674203,0.34998711,3
"270",731,795,1.784674203,0.065979831,1
"271",731,796,1.784674203,0.746442043,1
"272",731,797,1.784674203,0.690190368,2
"273",731,798,1.784674203,0.426637697,1
"274",731,799,1.784674203,0.743497907,4
"275",731,800,1.784674203,0.175231136,3
"276",731,803,1.784674203,1.056938395,5
"277",731,804,1.784674203,1.92992544,2
"278",731,805,1.784674203,1.056938395,2
"279",731,806,1.784674203,0.345256039,2
"280",731,807,1.784674203,2.02802544,1
"281",731,810,1.784674203,3.693546703,3
"282",731,811,1.784674203,2.792223696,5
"283",731,812,1.784674203,0.715590793,4
"284",731,813,1.784674203,0.658372652,1
"285",731,815,1.784674203,2.088640733,2
"286",731,817,1.784674203,0.442552331,1
"287",731,819,1.784674203,0.198338301,2
"288",731,820,1.784674203,10.91666944,1
"289",731,821,1.784674203,1.552368522,3
"290",731,822,1.784674203,1.446130459,1
"291",731,823,1.784674203,NA,1
"292",731,824,1.784674203,8.190922557,2
"293",731,825,1.784674203,12.06814669,12
"294",731,828,1.784674203,4.287796634,1
"295",731,829,1.784674203,3.123892183,4
"296",731,830,1.784674203,9.930466259,2
"297",731,833,1.784674203,1.612679448,12
"298",732,765,6.53721251,7.418932388,1
"299",732,766,6.53721251,1.385543185,1
"300",732,769,6.53721251,2.73111602,1
"301",732,772,6.53721251,9.457605612,1
"302",732,773,6.53721251,3.631715105,1
"303",732,776,6.53721251,11.60101425,2
"304",732,778,6.53721251,0.471002361,2
"305",732,780,6.53721251,7.401825263,1
"306",732,782,6.53721251,0.875669041,2
"307",732,784,6.53721251,0.283672179,1
"308",732,785,6.53721251,2.114100662,1
"309",732,789,6.53721251,0.326196243,1
"310",732,790,6.53721251,0.392886184,1
"311",732,803,6.53721251,1.056938395,1
"312",732,821,6.53721251,1.552368522,2
"313",732,823,6.53721251,NA,1
"314",732,824,6.53721251,8.190922557,1
"315",732,825,6.53721251,12.06814669,3
"316",732,830,6.53721251,9.930466259,1
"317",732,833,6.53721251,1.612679448,3
"318",733,766,3.039921979,1.385543185,1
"319",733,769,3.039921979,2.73111602,2
"320",733,778,3.039921979,0.471002361,2
"321",733,780,3.039921979,7.401825263,1
"322",733,782,3.039921979,0.875669041,2
"323",733,786,3.039921979,0.513792985,1
"324",733,789,3.039921979,0.326196243,1
"325",733,794,3.039921979,0.34998711,1
"326",733,801,3.039921979,3.846050926,1
"327",733,803,3.039921979,1.056938395,2
"328",733,804,3.039921979,1.92992544,1
"329",733,810,3.039921979,3.693546703,1
"330",733,812,3.039921979,0.715590793,1
"331",733,821,3.039921979,1.552368522,1
"332",733,825,3.039921979,12.06814669,1
"333",733,826,3.039921979,4.670553274,1
"334",733,827,3.039921979,1.238988657,1
"335",733,828,3.039921979,4.287796634,1
"336",733,833,3.039921979,1.612679448,2
"337",734,666,0.467175617,0.010170915,1
"338",734,679,0.467175617,0.005410991,7
"339",734,680,0.467175617,0.005410991,4
"340",734,766,0.467175617,1.385543185,4
"341",734,769,0.467175617,2.73111602,1
"342",734,773,0.467175617,3.631715105,1
"343",734,774,0.467175617,1.333964254,2
"344",734,778,0.467175617,0.471002361,5
"345",734,782,0.467175617,0.875669041,4
"346",734,783,0.467175617,0.184086573,1
"347",734,784,0.467175617,0.283672179,1
"348",734,786,0.467175617,0.513792985,1
"349",734,790,0.467175617,0.392886184,1
"350",734,791,0.467175617,0.456893556,2
"351",734,793,0.467175617,0.55058902,2
"352",734,794,0.467175617,0.34998711,5
"353",734,799,0.467175617,0.743497907,3
"354",734,800,0.467175617,0.175231136,2
"355",734,803,0.467175617,1.056938395,3
"356",734,804,0.467175617,1.92992544,2
"357",734,805,0.467175617,1.056938395,2
"358",734,811,0.467175617,2.792223696,2
"359",734,812,0.467175617,0.715590793,2
"360",734,815,0.467175617,2.088640733,1
"361",734,829,0.467175617,3.123892183,2
"362",734,832,0.467175617,0.672299021,1
"363",734,833,0.467175617,1.612679448,7
"364",735,666,0.0411443,0.010170915,3
"365",735,675,0.0411443,0.005103613,1
"366",735,676,0.0411443,0.006754651,1
"367",735,677,0.0411443,0.005410991,1
"368",735,678,0.0411443,0.005410991,1
"369",735,679,0.0411443,0.005410991,10
"370",735,680,0.0411443,0.005410991,5
"371",735,681,0.0411443,0.006355782,1
"372",735,682,0.0411443,0.002697626,1
"373",735,784,0.0411443,0.283672179,3
"374",735,790,0.0411443,0.392886184,1
"375",735,794,0.0411443,0.34998711,4
"376",735,800,0.0411443,0.175231136,5
"377",735,802,0.0411443,0.197532202,1
"378",736,666,0.066043048,0.010170915,2
"379",736,676,0.066043048,0.006754651,1
"380",736,677,0.066043048,0.005410991,1
"381",736,678,0.066043048,0.005410991,1
"382",736,679,0.066043048,0.005410991,9
"383",736,680,0.066043048,0.005410991,4
"384",736,682,0.066043048,0.002697626,1
"385",736,778,0.066043048,0.471002361,6
"386",736,784,0.066043048,0.283672179,2
"387",736,786,0.066043048,0.513792985,1
"388",736,789,0.066043048,0.326196243,2
"389",736,790,0.066043048,0.392886184,1
"390",736,791,0.066043048,0.456893556,1
"391",736,793,0.066043048,0.55058902,1
"392",736,794,0.066043048,0.34998711,3
"393",736,798,0.066043048,0.426637697,1
"394",736,800,0.066043048,0.175231136,2
"395",736,802,0.066043048,0.197532202,1
"396",737,666,0.007956664,0.010170915,1
"397",737,679,0.007956664,0.005410991,2
"398",738,765,3.593440061,7.418932388,2
"399",738,766,3.593440061,1.385543185,11
"400",738,767,3.593440061,2.349297641,1
"401",738,768,3.593440061,14.26802965,2
"402",738,769,3.593440061,2.73111602,4
"403",738,770,3.593440061,8.260424802,2
"404",738,771,3.593440061,17.68597554,4
"405",738,772,3.593440061,9.457605612,2
"406",738,773,3.593440061,3.631715105,12
"407",738,774,3.593440061,1.333964254,7
"408",738,775,3.593440061,5.370979155,1
"409",738,776,3.593440061,11.60101425,13
"410",738,778,3.593440061,0.471002361,27
"411",738,780,3.593440061,7.401825263,8
"412",738,781,3.593440061,0.510973733,1
"413",738,782,3.593440061,0.875669041,25
"414",738,783,3.593440061,0.184086573,11
"415",738,784,3.593440061,0.283672179,5
"416",738,785,3.593440061,2.114100662,1
"417",738,786,3.593440061,0.513792985,6
"418",738,787,3.593440061,16.50289632,1
"419",738,788,3.593440061,0.326196243,1
"420",738,789,3.593440061,0.326196243,5
"421",738,790,3.593440061,0.392886184,3
"422",738,791,3.593440061,0.456893556,8
"423",738,792,3.593440061,0.432220049,4
"424",738,793,3.593440061,0.55058902,4
"425",738,794,3.593440061,0.34998711,14
"426",738,795,3.593440061,0.065979831,1
"427",738,796,3.593440061,0.746442043,3
"428",738,797,3.593440061,0.690190368,8
"429",738,798,3.593440061,0.426637697,1
"430",738,799,3.593440061,0.743497907,14
"431",738,800,3.593440061,0.175231136,17
"432",738,801,3.593440061,3.846050926,1
"433",738,802,3.593440061,0.197532202,1
"434",738,803,3.593440061,1.056938395,19
"435",738,804,3.593440061,1.92992544,6
"436",738,805,3.593440061,1.056938395,8
"437",738,806,3.593440061,0.345256039,2
"438",738,807,3.593440061,2.02802544,2
"439",738,809,3.593440061,22.56244779,2
"440",738,810,3.593440061,3.693546703,7
"441",738,811,3.593440061,2.792223696,15
"442",738,812,3.593440061,0.715590793,8
"443",738,813,3.593440061,0.658372652,1
"444",738,814,3.593440061,25.92311695,1
"445",738,815,3.593440061,2.088640733,5
"446",738,816,3.593440061,0.996944107,1
"447",738,817,3.593440061,0.442552331,2
"448",738,819,3.593440061,0.198338301,6
"449",738,820,3.593440061,10.91666944,1
"450",738,821,3.593440061,1.552368522,11
"451",738,822,3.593440061,1.446130459,6
"452",738,823,3.593440061,NA,3
"453",738,824,3.593440061,8.190922557,3
"454",738,825,3.593440061,12.06814669,30
"455",738,826,3.593440061,4.670553274,1
"456",738,827,3.593440061,1.238988657,1
"457",738,828,3.593440061,4.287796634,2
"458",738,829,3.593440061,3.123892183,5
"459",738,830,3.593440061,9.930466259,4
"460",738,831,3.593440061,35.74029019,6
"461",738,832,3.593440061,0.672299021,3
"462",738,833,3.593440061,1.612679448,33
"463",739,765,4.253992615,7.418932388,1
"464",739,766,4.253992615,1.385543185,10
"465",739,767,4.253992615,2.349297641,1
"466",739,768,4.253992615,14.26802965,2
"467",739,769,4.253992615,2.73111602,4
"468",739,770,4.253992615,8.260424802,1
"469",739,771,4.253992615,17.68597554,3
"470",739,772,4.253992615,9.457605612,2
"471",739,773,4.253992615,3.631715105,2
"472",739,774,4.253992615,1.333964254,4
"473",739,775,4.253992615,5.370979155,1
"474",739,776,4.253992615,11.60101425,6
"475",739,778,4.253992615,0.471002361,14
"476",739,780,4.253992615,7.401825263,7
"477",739,781,4.253992615,0.510973733,1
"478",739,782,4.253992615,0.875669041,12
"479",739,783,4.253992615,0.184086573,3
"480",739,784,4.253992615,0.283672179,4
"481",739,785,4.253992615,2.114100662,1
"482",739,786,4.253992615,0.513792985,5
"483",739,788,4.253992615,0.326196243,1
"484",739,789,4.253992615,0.326196243,2
"485",739,790,4.253992615,0.392886184,2
"486",739,791,4.253992615,0.456893556,4
"487",739,792,4.253992615,0.432220049,4
"488",739,793,4.253992615,0.55058902,4
"489",739,794,4.253992615,0.34998711,8
"490",739,796,4.253992615,0.746442043,2
"491",739,797,4.253992615,0.690190368,3
"492",739,799,4.253992615,0.743497907,8
"493",739,800,4.253992615,0.175231136,6
"494",739,801,4.253992615,3.846050926,1
"495",739,803,4.253992615,1.056938395,7
"496",739,804,4.253992615,1.92992544,5
"497",739,805,4.253992615,1.056938395,2
"498",739,807,4.253992615,2.02802544,1
"499",739,809,4.253992615,22.56244779,2
"500",739,810,4.253992615,3.693546703,4
"501",739,811,4.253992615,2.792223696,4
"502",739,812,4.253992615,0.715590793,4
"503",739,813,4.253992615,0.658372652,1
"504",739,814,4.253992615,25.92311695,1
"505",739,815,4.253992615,2.088640733,2
"506",739,816,4.253992615,0.996944107,1
"507",739,817,4.253992615,0.442552331,1
"508",739,819,4.253992615,0.198338301,3
"509",739,820,4.253992615,10.91666944,1
"510",739,821,4.253992615,1.552368522,4
"511",739,822,4.253992615,1.446130459,2
"512",739,823,4.253992615,NA,2
"513",739,824,4.253992615,8.190922557,2
"514",739,825,4.253992615,12.06814669,20
"515",739,826,4.253992615,4.670553274,1
"516",739,827,4.253992615,1.238988657,1
"517",739,828,4.253992615,4.287796634,2
"518",739,829,4.253992615,3.123892183,4
"519",739,830,4.253992615,9.930466259,3
"520",739,831,4.253992615,35.74029019,5
"521",739,832,4.253992615,0.672299021,2
"522",739,833,4.253992615,1.612679448,20
"523",740,766,5.906475701,1.385543185,5
"524",740,767,5.906475701,2.349297641,1
"525",740,768,5.906475701,14.26802965,1
"526",740,769,5.906475701,2.73111602,2
"527",740,770,5.906475701,8.260424802,1
"528",740,771,5.906475701,17.68597554,3
"529",740,772,5.906475701,9.457605612,1
"530",740,773,5.906475701,3.631715105,1
"531",740,774,5.906475701,1.333964254,2
"532",740,775,5.906475701,5.370979155,1
"533",740,776,5.906475701,11.60101425,4
"534",740,778,5.906475701,0.471002361,9
"535",740,780,5.906475701,7.401825263,6
"536",740,782,5.906475701,0.875669041,5
"537",740,783,5.906475701,0.184086573,1
