#OTU ID	HEV010d	HEV011a	HEV011b	HEV011c	HEV011d	HEV012a	HEV012b	HEV012c	HEV012d	HEV013a	HEV013b	HEV013c	HEV013d	HEV014a	HEV014b	HEV014c	HEV014d	HEV015a	HEV015b	HEV015c	HEV015d	HEV016a	HEV016b	HEV016c	HEV016d	HEV017a	HEV017b	HEV017c	HEV017d	HEV098
Zotu403	35396	97413	81379	67370	66587	73926	63839	49182	62890	43942	31959	22094	37389	41688	26918	14927	35286	108138	100105	78312	97753	82690	69074	56582	67214	76312	59303	43725	62192	128083
Zotu1	19581	51331	48485	37318	37057	26730	27228	19635	24968	22322	18453	12017	19884	18987	13941	7233	17199	52400	54586	39557	49389	35398	33807	25771	30640	37341	33225	23264	32219	65274
Zotu38	212	4	0	1	0	1	0	0	0	716	528	326	585	1021	680	388	861	1	0	0	0	1	0	0	0	2333	1936	1293	1890	1
Zotu390	81	231	213	183	140	132	139	112	130	146	121	67	117	106	75	34	65	235	284	200	275	151	148	109	131	141	147	99	154	318
Zotu28	150	0	0	1	0	101	102	71	88	2	3	1	2	1	0	1	0	407	459	356	385	4	0	0	1	57	48	38	42	0
Zotu39	200	32	31	18	28	2768	2636	1987	2141	86	83	63	52	289	163	105	243	0	0	0	0	3	0	0	2	1452	1213	895	1016	154
Zotu50	81	0	0	1	0	0	0	0	0	1	0	0	0	372	262	132	333	0	1	0	0	0	0	0	0	1352	1135	802	1167	0
Zotu32	28	30	286	156	17	57	330	212	19	245	1606	792	101	0	0	0	0	0	0	0	0	103	1014	587	52	58	442	243	20	0
Zotu131	5	1	0	1	0	194	181	120	160	0	1	2	3	17	10	5	9	0	0	0	0	0	0	0	0	90	64	47	64	25
Zotu141	5	7	0	0	1	2	0	2	0	0	0	0	1	2	1	1	1	0	3	2	4	1	2	2	2	10	13	5	6	3
Zotu154	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu132	2	1	2	1	0	251	226	151	203	0	2	0	2	3	8	3	9	0	0	0	1	0	0	0	1	59	50	28	33	15
Zotu686	2	0	0	0	0	2	1	1	1	0	0	0	0	10	10	9	8	0	0	0	0	0	0	0	0	35	29	21	20	0
Zotu76	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	3	3
Zotu715	0	17	7	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3	0	42	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	3	0	0	0	6	0	0	0	18	0	0	0	0
Zotu19	0	39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Zotu245	0	7	13	10	0	125	192	102	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu290	0	36	20	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	37	45	49	0
Zotu143	0	17	72	39	2	172	653	245	5	4	2	1	0	2	10	4	0	1	3	0	0	9	53	17	0	31	124	56	2	0
Zotu894	0	6	3	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu763	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu170	0	2	7	0	3	0	0	0	0	15	23	15	19	47	32	16	35	0	0	0	0	68	64	56	62	7	5	4	8	0
Zotu1210	0	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu926	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	5	2	0
Zotu859	0	7	8	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu63	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu493	0	1	1	0	0	8	9	4	7	0	0	0	0	13	12	6	9	0	0	0	0	0	0	0	0	1	2	0	0	0
Zotu49	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	0	0	88	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	5	0	0	0	74	0	0	110
Zotu55	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu44	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu152	0	0	1	0	0	0	0	0	0	18	10	7	16	0	0	0	0	60	74	45	52	41	35	30	23	13	4	2	9	0
Zotu190	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0
Zotu8	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	422
Zotu33	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
