Island,Date,Tree,Number,Weight_mg,Length_mm,Order,Family,Genus,Species
Ainsley,9/4/10,TA,1074,14.164,9.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Ainsley,9/4/10,TA,1072,55.415,15.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,8/26/10,TA,209,65.188,16.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/1/10,TA,624,7.03,7.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/1/10,TA,623,0.845,4.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/1/10,TA,629,1.052,4,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/19/10,TA,1500,81.097,17.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/19/10,TA,1510,1.497,5.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/19/10,TA,1507,66.595,15.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/19/10,TA,1502,52.387,13.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Aviation,9/19/10,TA,1503,20.976,11,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,288,34.125,12.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,290,82.373,17.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,286,46.022,13.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,291,9.455,7,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,285,51.239,13.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,289,36.963,13.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,292,47.922,13.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,293,35.942,12.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,284,67.484,16.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,287,46.527,13.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Bird,8/28/10,TA,283,62.735,15.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Castor,8/30/10,PG,492,5.27,6.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Castor,9/11/10,TA,777,1.64,5.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Castor,9/11/10,TA,778,8.006,7.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Castor,9/11/10,TA,776,34.926,12.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Claire,8/29/10,TA,364,8.758,8.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,8/23/10,PG,101,5.386,6.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,970,1.371,4.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,971,1.894,4.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,973,1.322,4.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,980,10.231,10,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,976,16.675,10.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,978,5.754,7.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,975,37.975,12.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,974,10.103,9.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,977,17.507,11.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,972,1.675,5.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,979,13.265,9.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,645,6.481,7.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Dudley,9/1/10,PG,644,2.968,4.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,PG,462,10.648,8.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,PG,516,15.613,8.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,PG,463,54.904,13,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,PG,501,12.486,8.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,PS,460,13.953,11.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,TA,513,39.195,11.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,TA,512,64.222,17.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,TA,456,4.43,9.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,TA,457,84.432,16.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Eastern,8/30/10,TA,458,51.029,14.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Engineer,8/30/10,PG,496,14.147,13.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Engineer,9/10/10,PG,765,0.415,2.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Engineer,9/10/10,PG,766,1.296,4.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Fern,8/30/10,TA,403,81.016,23.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Fern,8/30/10,TA,404,43.645,15.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,8/26/10,PS,215,0.319,1.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,8/26/10,PG,178,20.389,10.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,8/28/10,PG,308,17.004,12.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1190,27.042,11.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,779,50.355,14.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1161,46.247,15,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1162,69.472,16.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1174,80.501,17.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1175,16.891,9.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Frigate,9/9/10,TA,1182,13.048,8.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,8/31/10,PG,617,1.345,5.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,988,2.598,5.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,987,41.214,14.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,648,53.091,15.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,675,39.2,14.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,649,41.156,13.6,Orthoptera,Tettigonidae,Phisis,holdhausi
