Order,Suborder,Family,Live body mass (mg),Body length (mm),Body width (mm),Geographic Region,Groups for Table S1,Analysis
araneae,labidognatha,agelenidae,34.22,7.28,3.21,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.36,2.14,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,5.53,3.89,1.57,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,12.48,4.83,1.95,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.67,5.96,2.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,18.1,2.4,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.95,3.31,1.23,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,1.78,2.63,0.96,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.96,3.05,1.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.69,6.11,2.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.66,3.28,1.19,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.79,4.1,1.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.65,3.44,1.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,20.69,6.19,2.18,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.5,2.97,1.05,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,1.84,2.64,0.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.16,3.15,1.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.47,3.6,1.25,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,19.69,6.2,2.14,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.16,3.55,1.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.73,3.02,1.03,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,18.69,6.22,2.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.15,3.14,1.07,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,22.3,6.74,2.28,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,19.19,6.72,2.26,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,76.11,9.79,3.19,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,7.18,4.33,1.41,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.14,3.24,1.05,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,48.19,8.59,2.7,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.47,5.94,1.85,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,26.98,6.99,2.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,38.28,8.3,2.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,33.03,7.98,2.37,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,16.98,5.32,2.15,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,57.66,9.07,3.49,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,22.44,6.62,2.41,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,29.14,7.55,2.73,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,6.62,2.82,0.99,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,60.59,9.17,3.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,13.54,5.9,2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
