Morphospecies,Order,Present in Vials,Species_Stage_Name,Stage_Name,Group,Specialist,Standard_Sorting_Name,Barcode_Status,Authority,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,specific_epithet,subspecies,Body_Length_Mean_mm,Body_Mass_Mean_mg,Body_Mass_SD_mg,Body_Mass_N,Body_Mass_Source,Body_Mass_Proxy,Body_Mass_Notes
Guano,1,#N/A,Guano_Non_living,Non_living,Guano,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia,2,#N/A,Ammonia_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrate,3,#N/A,Nitrate_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphorus,4,#N/A,Phosphorus_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium,5,#N/A,Magnesium_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Potassium,6,#N/A,Potassium_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphate,7,#N/A,Sulphate_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium,8,#N/A,Calcium_Nutrients,Nutrients,Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,
Large_Woody_Detritus,9,#N/A,Large_Woody_Detritus_Detritus,Detritus,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_Woody_Detritus,10,#N/A,Medium_Woody_Detritus_Detritus,Detritus,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf_Detritus,11,#N/A,Leaf_Detritus_Detritus,Detritus,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit_Detritus,12,#N/A,Fruit_Detritus_Detritus,Detritus,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,
Pico_carcasses_Non-Living,13,#N/A,Pico_carcasses_Non-Living_Carrion,Carrion,Carrion,,,,,,,,,,,,,,,,,,,,,,,,,
Nano_carcasses_Non-Living,14,#N/A,Nano_carcasses_Non-Living_Carrion,Carrion,Carrion,,,,,,,,,,,,,,,,,,,,,,,,,
Micro_carcasses_Non-Living,15,#N/A,Micro_carcasses_Non-Living_Carrion,Carrion,Carrion,,,,,,,,,,,,,,,,,,,,,,,,,
Meso_carcasses_Non-Living,16,#N/A,Meso_carcasses_Non-Living_Carrion,Carrion,Carrion,,,,,,,,,,,,,,,,,,,,,,,,,
Macro_carcasses_Non-Living,17,#N/A,Macro_carcasses_Non-Living_Carrion,Carrion,Carrion,,,,,,,,,,,,,,,,,,,,,,,,,
